Model,Label Fraction,Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
model_BT-UNet_5pct.keras,5%,0.8156206,0.828564,0.49458706,0.61587167,0.6236328627476015,7.228198731421076,0.035176066790191196,0.18437941,0.8746342,0.91209394,0.57815236,0.6999202,0.6948225081731112,6.324788269810193,0.02700063818663173,0.12536582,0.7925803,0.71952504,0.4898414,0.5843662,0.543307350707566,8.239021845200718,0.02196781497076277,0.20741971
model_BT-UNet_10pct.keras,10%,0.96060586,0.942721,0.9291379,0.912099,0.9285834234063797,4.781775139788297,0.7401749539594851,0.039394148,0.94395155,0.96664596,0.89785457,0.8903812,0.9266083316925244,5.207668213112643,0.7350427350427348,0.056048468,0.8093356,0.632175,0.85023266,0.65704477,0.7326957464914121,7.85142596135141,0.3070944327894329,0.19066446
model_BT-UNet_20pct.keras,20%,0.9661633,0.9757758,0.92232335,0.92630863,0.9451571218875232,4.5530966810276565,0.822624309392266,0.033836704,0.9085532,0.77222866,0.8915847,0.7943852,0.7843087228635947,6.487460240445181,0.5260576923076925,0.0914468,0.89525646,0.81711596,0.83222,0.7812953,0.8308785898112601,6.109926506364281,0.5272472588522592,0.1047435
model_BT-UNet_50pct.keras,50%,0.9724334,0.960415,0.9406937,0.93405366,0.9439520264145032,4.367736848594282,0.8048875150942338,0.02756661,0.92334616,0.8429714,0.8468321,0.8172837,0.8311611838136927,5.5984478568262706,0.5273670749328649,0.076653816,0.9082162,0.8576246,0.82706213,0.80284846,0.843088435121812,5.739084407306983,0.49220933009800694,0.091783844
model_SimSiam-UNET_5.keras,5%,0.8699819,0.76478076,0.82525736,0.74237597,0.7876105752256182,6.944704851286997,0.21959989091273363,0.1300181,0.83052415,0.6188221,0.92284775,0.68236196,0.7286737160040782,8.123977002846727,0.10450087461831976,0.16947585,0.6294209,0.43599385,0.86031795,0.45503354,0.5737739485950005,10.87791169487483,0.06744104885145973,0.3705791
model_SimSiam-UNET_10.keras,10%,0.9626318,0.95063233,0.92739254,0.91618717,0.9308205085564714,4.596033585967207,0.7556537753222842,0.037368186,0.926302,0.96330774,0.85761976,0.8575719,0.9035392181995587,5.628173006332432,0.6419871794871792,0.07369799,0.8468507,0.73812526,0.7475606,0.6971072,0.7396381955288616,6.988269994238362,0.33972304556554617,0.1531493
model_SimSiam-UNET_20.keras,20%,0.9776825,0.98021805,0.95289546,0.95103407,0.9616901825146121,4.193515434133226,0.9004143646408832,0.022317538,0.9075883,0.7745045,0.88127023,0.79165137,0.7822306172486443,6.437359835550881,0.5161965811965812,0.09241173,0.88603526,0.80829364,0.80593294,0.76347876,0.8107462102848313,6.295757696842591,0.49968611111111094,0.113964766
model_SimSiam-UNET_50.keras,50%,0.97513884,0.97128487,0.939317,0.9400788,0.9485828202246568,4.224116027213765,0.8478684307239907,0.024861211,0.9255862,0.8658795,0.82613426,0.8194825,0.8417654059896729,5.420202716094092,0.5670564620564627,0.07441379,0.91042113,0.87175894,0.81746817,0.80578125,0.8443550689912372,5.675695386032819,0.5347478144078146,0.08957886
model_UNet_5pct.keras,5%,0.702307,0.5519751,0.09957249,0.39258036,0.18198216088027644,10.254534892152664,0.0050105820105820105,0.29769304,0.7577366,0.71546715,0.1280416,0.435574,0.23535936738353952,9.26143395209015,0.0021367521367521365,0.2422634,0.7367144,0.8431453,0.13522159,0.4288231,0.2012511187299042,9.808930925202096,0.010613941416214046,0.26328558
model_UNet_10pct.keras,10%,0.9802089,0.9737174,0.9620045,0.95473886,0.9639481092026221,3.917198001426612,0.9005524861878464,0.019791156,0.9349835,0.9721639,0.8704984,0.8733494,0.9186019179148551,5.368903391949761,0.7014957264957261,0.06501652,0.8598979,0.75302225,0.7833708,0.7204366,0.7720498685651892,6.746604787645738,0.39273276695526677,0.14010213
model_UNet_20pct.keras,20%,0.9875544,0.99390733,0.96894705,0.9723804,0.9768578337700986,3.6703579443668026,0.9662983425414352,0.01244565,0.9301565,0.8385806,0.8871061,0.8341775,0.8188051163839797,5.88578767655646,0.5403739316239313,0.069843486,0.9014176,0.86391926,0.79144573,0.78749716,0.8272894664324322,5.860818248552735,0.5456463095238084,0.098582365
model_UNet_50pct.keras,50%,0.983793,0.97524166,0.96688384,0.9607321,0.9628941369424713,3.9329595808997633,0.9059536934950287,0.01620697,0.9236655,0.83698595,0.85736233,0.81894433,0.8307875540110473,5.687237842448791,0.556115858500475,0.07633444,0.91231966,0.84153867,0.86685985,0.81364787,0.8458488264779408,5.808641771267029,0.5233922258297254,0.08768038
