Model,Label Fraction,Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
model_BT-UNet_5pct.keras,5%,0.94205153,0.9308175,0.87394744,0.87089276,0.8886213,5.013212132640493,0.6598148148148146,0.057948474,0.95053685,0.8924484,0.9227822,0.8825785,0.89664245,4.771621558552415,0.7012820512820513,0.049463127,0.88067573,0.8254036,0.75674367,0.7492897,0.77863777,6.200317200511903,0.42615675685425713,0.11932428
model_BT-UNet_10pct.keras,10%,0.94694275,0.93860584,0.8865139,0.8824065,0.9095031,5.046751824362481,0.7065193370165753,0.053057253,0.93976825,0.9613282,0.8928554,0.88269365,0.9268817,5.2972973068594955,0.7461396011396008,0.060231723,0.89805377,0.8572342,0.78637516,0.7812296,0.8245342,5.93950284185184,0.5152802380952387,0.10194623
model_BT-UNet_20pct.keras,20%,0.9497359,0.95810425,0.8894941,0.8922311,0.9255678,4.938992470813387,0.7483070244672467,0.050264094,0.95133954,0.8999599,0.90272343,0.8789154,0.87972844,5.184026413789301,0.6681623931623931,0.048660476,0.9006766,0.87013555,0.7808089,0.7850783,0.830406,5.89040785566614,0.517867738095238,0.09932333
model_BT-UNet_50pct.keras,50%,0.96016264,0.94983107,0.90612406,0.9056436,0.92155766,4.621838448577969,0.7458103638368205,0.039837368,0.9424204,0.90857184,0.8522076,0.8560012,0.87095463,5.057332317845946,0.6454206349206363,0.05757959,0.9043884,0.855477,0.81440717,0.7949742,0.83511645,5.742325308687873,0.5143998813767938,0.09561154
model_SimSiam-UNET_5.keras,5%,0.9334298,0.9204278,0.85444057,0.85290074,0.872405,5.308055155619424,0.5953306878306878,0.0665702,0.94634736,0.87482536,0.9284652,0.87432,0.876918,4.769106233960221,0.6029914529914532,0.05365264,0.86881727,0.76709986,0.7992485,0.7356837,0.7651153,6.510908168664623,0.4117160858585866,0.13118277
model_SimSiam-UNET_10.keras,10%,0.9485486,0.9354408,0.89552116,0.8861115,0.91038656,5.030489648762905,0.6352275716916608,0.051451374,0.9324388,0.94335014,0.89316535,0.86971,0.9124035,5.623823747580553,0.5947435897435894,0.067561224,0.8961961,0.83501065,0.8089765,0.78051096,0.82726574,6.026825167624215,0.46564166666666723,0.10380394
model_SimSiam-UNET_20.keras,20%,0.9501791,0.9411652,0.9087223,0.89405775,0.9228373,5.059429786509012,0.7418495132859785,0.049821,0.95042527,0.88411474,0.9191392,0.8781175,0.8803628,5.307886311200327,0.6699358974358973,0.04957473,0.90226954,0.84967464,0.8136038,0.7912576,0.8350293,5.821174732159713,0.5258571428571428,0.09773049
model_SimSiam-UNET_50.keras,50%,0.96301126,0.9519464,0.9145659,0.9122101,0.9269813,4.599187263939197,0.7566464535097354,0.036988616,0.94941956,0.91534746,0.8758394,0.8728515,0.88644063,4.876439262312447,0.6713885836385851,0.05058042,0.9093512,0.8686335,0.81718224,0.8038735,0.84708107,5.699990848573944,0.5239740467702242,0.0906488
model_UNet_5pct.keras,5%,0.6824098,1.1932462e-05,5.5884027e-07,0.34120515,7.342929e-05,11.915076974348286,0.0,0.31759018,0.73104274,0.0,0.0,0.36552137,9.444258e-05,11.210465471843046,0.0,0.2689573,0.7027835,0.34879014,0.0053335153,0.35379735,0.006482992,11.33651396154006,0.00035,0.29721645
model_UNet_10pct.keras,10%,0.9735402,0.96984076,0.94383645,0.93977463,0.95322716,4.255806444708299,0.8551565377532245,0.026459835,0.9277635,0.97346896,0.8516351,0.85985076,0.9067285,5.339581893637563,0.7016025641025638,0.07223648,0.8620304,0.78058463,0.74230194,0.71868014,0.77258915,6.524392419003134,0.4396460561660566,0.13796958
model_UNet_20pct.keras,20%,0.9877449,0.98426384,0.97922945,0.9729295,0.97803277,3.776722345176398,0.9723756906077339,0.012255126,0.9277019,0.82283324,0.9002025,0.8305809,0.8173012,5.9307419368317795,0.5557371794871795,0.0722981,0.9014412,0.85348797,0.80505884,0.7889688,0.83172107,5.843668930977551,0.5256519444444443,0.09855882
model_UNet_50pct.keras,50%,0.98420274,0.97920936,0.96426857,0.96162605,0.9638092,3.9066356351215408,0.9120176405733088,0.015797323,0.92484224,0.8505172,0.8433816,0.8198096,0.82890016,5.649893409753028,0.5412331329639027,0.075157635,0.91239285,0.8514151,0.8526846,0.812536,0.84725416,5.772397613791848,0.5291143442668437,0.08760713
