Dataset,Model,Label Fraction (%),Kind,Fold,Val Source,File,Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,BT-UNet,10,ensemble,,val folder,model_ISIC2018_BT-UNet_10pct_ensemble.keras,0.9696058,0.94255835,0.9273221,0.9194219,0.91347134,4.336380309469096,0.7179237911380769,0.030394211,0.91085404,0.8478235,0.83520067,0.8047728,0.8345012,5.488628695487156,0.5251666666666668,0.089145966,0.892298,0.8352481,0.7922196,0.77224094,0.81167275,5.9342079042399245,0.4811705591630591,0.10770207
ISIC2018,BT-UNet,10,fold,0.0,val folder,model_ISIC2018_BT-UNet_10pct_fold0.keras,0.93955773,0.94530755,0.7886691,0.84002197,0.8207778,5.010566420315232,0.5426489533011272,0.060442276,0.90326124,0.87961817,0.7628923,0.783682,0.80943924,5.628113888136896,0.5055857142857143,0.09673874,0.88310647,0.8628577,0.7191958,0.74846554,0.78580433,6.079494492895061,0.46380511494252874,0.11689349
ISIC2018,BT-UNet,10,fold,1.0,val folder,model_ISIC2018_BT-UNet_10pct_fold1.keras,0.6462729,0.4000963,0.88914514,0.46443233,0.5249358,10.127269159209922,0.08521379139796778,0.3537271,0.5365126,0.3676197,0.88341826,0.3662145,0.52869505,10.928950461487105,0.0605591709015622,0.4634874,0.5680122,0.39305678,0.8456427,0.39531046,0.5238641,10.692453756814224,0.06479666191600739,0.4319878
ISIC2018,BT-UNet,10,fold,2.0,val folder,model_ISIC2018_BT-UNet_10pct_fold2.keras,0.962354,0.91458035,0.907829,0.8951073,0.87452817,4.52802095558491,0.6346106510236946,0.037646014,0.9021344,0.84045583,0.80786437,0.78676957,0.81982076,5.6369100119933035,0.4825833333333333,0.097865604,0.8850053,0.82951134,0.7694495,0.757747,0.79498565,6.037094742615392,0.4471379761904761,0.114994675
ISIC2018,BT-UNet,10,fold,3.0,val folder,model_ISIC2018_BT-UNet_10pct_fold3.keras,0.98592794,0.9766244,0.9660507,0.962873,0.95803875,3.8288884150958036,0.8819645732689213,0.014072068,0.91087705,0.8644911,0.81277335,0.8025737,0.8385467,5.5883815839528825,0.5025583333333333,0.08912292,0.89419395,0.8502041,0.77974606,0.7740146,0.81955194,6.053715843582573,0.47606956709956705,0.10580597
ISIC2018,BT-UNet,10,fold,4.0,val folder,model_ISIC2018_BT-UNet_10pct_fold4.keras,0.972128,0.950479,0.93081295,0.92600286,0.9166327,4.504601280335812,0.6799324633699635,0.027872013,0.9132848,0.8563075,0.8337839,0.8089584,0.83698374,5.655418296280092,0.49834155844155836,0.086715244,0.895767,0.84262484,0.796428,0.7784691,0.82305276,6.030967726229887,0.4563182183176301,0.104233004
ISIC2018,BT-UNet,20,ensemble,,val folder,model_ISIC2018_BT-UNet_20pct_ensemble.keras,0.980731,0.9764033,0.9417224,0.94796914,0.9479768,3.9378636483449325,0.8480855855855857,0.019268993,0.9207292,0.89451724,0.8164261,0.8208049,0.8555545,5.296928284185231,0.5832761904761905,0.07927078,0.9060831,0.8856522,0.7837406,0.79472756,0.8434734,5.609502127990903,0.555019126984127,0.09391684
ISIC2018,BT-UNet,20,fold,0.0,val folder,model_ISIC2018_BT-UNet_20pct_fold0.keras,0.97647446,0.97955215,0.92208374,0.9371916,0.93216544,4.170076179217678,0.7550885668276973,0.023525478,0.9169255,0.89197665,0.80410546,0.8125856,0.85112923,5.466692222370723,0.5330499999999999,0.083074495,0.90060866,0.8867065,0.7613189,0.78277117,0.83088434,5.8684490089622425,0.484144715007215,0.099391416
ISIC2018,BT-UNet,20,fold,1.0,val folder,model_ISIC2018_BT-UNet_20pct_fold1.keras,0.9867625,0.978219,0.9655313,0.96402764,0.9595661,3.7814331569330917,0.8837359098228665,0.013237553,0.9139548,0.8815298,0.8043317,0.80721724,0.84807914,5.644827576500277,0.4931670995670995,0.08604523,0.8996833,0.8751947,0.77084273,0.78227377,0.83251965,5.905209038478304,0.4770423776876718,0.10031671
ISIC2018,BT-UNet,20,fold,2.0,val folder,model_ISIC2018_BT-UNet_20pct_fold2.keras,0.96873665,0.9558792,0.9076331,0.9157481,0.91251254,4.454919216968872,0.7056521739130436,0.031263378,0.9167552,0.8765685,0.821849,0.8140499,0.85271376,5.494423322541781,0.5450833333333333,0.08324478,0.90189546,0.86632216,0.7903509,0.7881982,0.83546054,5.841054437703919,0.5051332692307693,0.09810454
