Dataset,Model,Label Fraction (%),Kind,Fold,Val Source,File,Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
KDSB,BT-UNet,10,ensemble,,val folder,model_KDSB_BT-UNet_10pct_ensemble.keras,0.84498835,0.494455,0.94694734,0.6500473,0.6110885,8.406359084851973,0.06421282959218313,0.15501164,0.8093005,0.5039047,0.94309443,0.6278798,0.62404925,8.792501947327958,0.06537562166185025,0.19069949,0.8126937,0.49794865,0.9330525,0.62708193,0.61804116,8.581782293316168,0.07343314650067959,0.18730631
KDSB,BT-UNet,20,ensemble,,val folder,model_KDSB_BT-UNet_20pct_ensemble.keras,0.87684315,0.53539604,0.9358019,0.68731,0.6392926,7.780477347864743,0.07028336445398047,0.12315683,0.8528662,0.57711166,0.8970767,0.68161416,0.65797293,8.239239150113663,0.08665197255360775,0.14713384,0.86419857,0.5900075,0.8829809,0.69237643,0.65757585,7.7099716331157575,0.10200800206980716,0.13580143
KDSB,BT-UNet,50,ensemble,,val folder,model_KDSB_BT-UNet_50pct_ensemble.keras,0.9705033,0.88647103,0.9314423,0.8988118,0.8760368,4.735015871934816,0.4540621212730408,0.029496724,0.96355367,0.89531624,0.9191441,0.89280874,0.8810205,5.074455618458628,0.4400841021604046,0.03644631,0.9603571,0.8796824,0.9113783,0.881318,0.8700095,5.101352235973206,0.43512703223793014,0.039642885
KDSB,BT-UNet,5,ensemble,,val folder,model_KDSB_BT-UNet_5pct_ensemble.keras,0.83051085,0.46066827,0.8425707,0.61524606,0.52388173,9.880584807401336,0.056104679161785506,0.16948913,0.822756,0.5287277,0.7743173,0.6248213,0.5486929,9.112260649487409,0.05895704032439167,0.17724401,0.8415387,0.55157137,0.78875417,0.647447,0.55770385,8.548550888002422,0.06529493407989936,0.15846129
KDSB,SimSiam,10,ensemble,,val folder,model_KDSB_SimSiam-UNET_10pct_ensemble.keras,0.8874458,0.59995914,0.77569455,0.69184303,0.6457494,7.794630525260419,0.07600826845565395,0.112554215,0.87948775,0.6550138,0.7971187,0.70946205,0.6777802,8.105809376274959,0.07455795400379385,0.120512255,0.8864027,0.6722457,0.7588251,0.7108247,0.667212,7.606764014497143,0.0915970156761265,0.11359729
KDSB,SimSiam,20,ensemble,,val folder,model_KDSB_SimSiam-UNET_20pct_ensemble.keras,0.9127103,0.71877056,0.62248886,0.702456,0.6488675,6.751876013146261,0.1606654086918295,0.0872897,0.8756511,0.7326958,0.5627774,0.66368306,0.60516363,7.794326964543681,0.11857320522948077,0.124348864,0.86783856,0.7272508,0.46240768,0.6247393,0.55284727,7.79284206905193,0.11755756477380698,0.13216145
KDSB,SimSiam,50,ensemble,,val folder,model_KDSB_SimSiam-UNET_50pct_ensemble.keras,0.9378396,0.78093356,0.83968776,0.8040031,0.77545595,6.322551190637896,0.24351545309502765,0.062160388,0.926866,0.79055315,0.84632397,0.8019284,0.7955934,6.883165818189328,0.22621377866760858,0.07313399,0.92359567,0.7845177,0.8119777,0.7869619,0.76721424,6.671933972649491,0.2377386988168803,0.07640433
KDSB,SimSiam,5,ensemble,,val folder,model_KDSB_SimSiam-UNET_5pct_ensemble.keras,0.869173,0.542669,0.7443432,0.65518403,0.61069983,8.78027407947062,0.07820682683727302,0.13082702,0.8753915,0.65326387,0.75895685,0.6974771,0.67275065,8.054993436259203,0.09433745004831784,0.12460854,0.87847143,0.66094345,0.710845,0.69043314,0.66190565,7.854670682806224,0.11489101149595718,0.12152856
KDSB,Baseline,10,ensemble,,val folder,model_KDSB_UNet_10pct_ensemble.keras,0.8490122,0.7256921,0.0084738415,0.42863226,0.023525871,8.884525087337286,0.0009518408888156787,0.15098782,0.80733794,0.715172,0.007436551,0.40723744,0.033701856,9.60560481287507,0.0021790922351061746,0.19266205,0.81467515,0.880227,0.003440411,0.40899768,0.016195962,9.316992566460865,0.0006192697497045323,0.18532486
KDSB,Baseline,20,ensemble,,val folder,model_KDSB_UNet_20pct_ensemble.keras,0.9836302,0.93049973,0.95484686,0.93618727,0.9193238,3.957161394275763,0.629093490941404,0.016369838,0.96048224,0.8883517,0.91019726,0.88439864,0.89139885,5.1144171074164735,0.4663488056118933,0.039517768,0.95405906,0.8602263,0.89890057,0.8645923,0.8753453,5.164321768713323,0.45844714251323554,0.045940913
