Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
ISIC2018,BT-UNet,base,1,0,fold,ISIC2018_BT-UNet_1pct_fold0,25,94.3,False,0.9999996423721313,0.5910658240318298,0.736798107624054,0.40398210287094116,0.9871891140937805,0.5410641431808472,0.5843052268028259,0.26320189237594604,0.6132528185844421,0.42313048243522644,0.8456280827522278,0.4385024309158325,0.5349715948104858,0.38674718141555786
ISIC2018,BT-UNet,base,1,1,fold,ISIC2018_BT-UNet_1pct_fold1,25,51.1,False,1.0,0.6605532169342041,0.8876892328262329,0.7010464072227478,0.879075288772583,0.7495752573013306,0.5320454835891724,0.11231078952550888,0.5665404796600342,0.39662954211235046,0.8923664689064026,0.3947887420654297,0.5351964831352234,0.4334595203399658
ISIC2018,BT-UNet,base,1,2,fold,ISIC2018_BT-UNet_1pct_fold2,25,55.8,False,0.9999641180038452,0.6589875221252441,0.649700939655304,0.35552236437797546,0.9867658615112305,0.460196316242218,0.4929618835449219,0.35029906034469604,0.5717537999153137,0.4033983051776886,0.9343962669372559,0.4002140462398529,0.5390065908432007,0.4282462000846863
ISIC2018,BT-UNet,base,1,3,fold,ISIC2018_BT-UNet_1pct_fold3,25,51.6,False,0.9999221563339233,0.4692756235599518,0.856524646282196,0.722413182258606,0.8377153873443604,0.7214361429214478,0.626116931438446,0.14347533881664276,0.7133463621139526,0.510379433631897,0.7641143202781677,0.5352640151977539,0.5840829610824585,0.2866535782814026
ISIC2018,BT-UNet,base,1,4,fold,ISIC2018_BT-UNet_1pct_fold4,25,51.6,False,0.9999997615814209,0.4767216742038727,0.7411712408065796,0.44670772552490234,0.6204096078872681,0.5249518156051636,0.576244056224823,0.258828729391098,0.6838930249214172,0.47854241728782654,0.7635746598243713,0.504215657711029,0.5624595284461975,0.31610700488090515
ISIC2018,BT-UNet,base,5,0,fold,ISIC2018_BT-UNet_5pct_fold0,129,0.0,False,1.0,0.5686917304992676,0.5998846292495728,0.37244662642478943,0.8965952396392822,0.42132681608200073,0.5369445085525513,0.40011537075042725,0.6313499808311462,0.435718297958374,0.8339897990226746,0.4557706117630005,0.5586947202682495,0.36864998936653137
ISIC2018,BT-UNet,base,5,1,fold,ISIC2018_BT-UNet_5pct_fold1,129,0.0,False,1.0,0.6377874612808228,0.7095624208450317,0.5621445178985596,0.9383769631385803,0.5497335195541382,0.6562607288360596,0.2904375493526459,0.5763770937919617,0.4009351134300232,0.873976469039917,0.40383380651474,0.5294941067695618,0.4236229360103607
ISIC2018,BT-UNet,base,5,2,fold,ISIC2018_BT-UNet_5pct_fold2,129,0.0,False,0.9950593113899231,0.5197321772575378,0.7943843007087708,0.40770548582077026,0.9291321635246277,0.578923761844635,0.6058360934257507,0.20561569929122925,0.7667776942253113,0.5739399790763855,0.8215667009353638,0.6011075377464294,0.6511543989181519,0.23322230577468872
ISIC2018,BT-UNet,base,5,3,fold,ISIC2018_BT-UNet_5pct_fold3,129,0.0,False,1.0,0.6212767958641052,0.7150250673294067,0.4335964620113373,0.896495521068573,0.5282552242279053,0.4952020049095154,0.2849749028682709,0.6202101707458496,0.43119388818740845,0.8890443444252014,0.44692009687423706,0.5574183464050293,0.3797898590564728
ISIC2018,BT-UNet,base,5,4,fold,ISIC2018_BT-UNet_5pct_fold4,129,0.0,False,1.0,0.5759343504905701,0.6521380543708801,0.34886765480041504,0.9041833281517029,0.4570399224758148,0.46689021587371826,0.3478619456291199,0.6292558908462524,0.43484970927238464,0.8448529839515686,0.45420074462890625,0.547996461391449,0.37074407935142517
