Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
ISIC2018,BT-UNet,base,1,ensemble,filtered,5,5,,0.6435583233833313,0.44621390104293823,0.8495692014694214,0.4687158763408661,0.5657573938369751,0.3564416170120239,9.850692640684068,0.06403637832032899
ISIC2018,BT-UNet,base,1,ensemble,unfiltered,5,5,,0.6435583233833313,0.44621390104293823,0.8495692014694214,0.4687158763408661,0.5657573938369751,0.3564416170120239,9.850692640684068,0.06403637832032899
ISIC2018,BT-UNet,base,5,ensemble,filtered,5,5,,0.634750247001648,0.4402274191379547,0.8638632297515869,0.4605112671852112,0.5657050013542175,0.36524978280067444,10.51520940147751,0.0711416970889714
ISIC2018,BT-UNet,base,5,ensemble,unfiltered,5,5,,0.634750247001648,0.4402274191379547,0.8638632297515869,0.4605112671852112,0.5657050013542175,0.36524978280067444,10.51520940147751,0.0711416970889714
ISIC2018,BT-UNet,base,10,ensemble,filtered,5,5,,0.8922979831695557,0.8352481126785278,0.7922195792198181,0.772240936756134,0.8116726279258728,0.10770206898450851,5.934207904239924,0.48117055916305923
ISIC2018,BT-UNet,base,10,ensemble,unfiltered,5,5,,0.8922979831695557,0.8352481126785278,0.7922195792198181,0.772240936756134,0.8116726279258728,0.10770206898450851,5.934207904239924,0.48117055916305923
ISIC2018,BT-UNet,base,20,ensemble,filtered,5,5,,0.9060831069946289,0.8856521844863892,0.7837405800819397,0.7947275638580322,0.8434730768203735,0.09391684085130692,5.609502127990903,0.5550191269841264
ISIC2018,BT-UNet,base,20,ensemble,unfiltered,5,5,,0.9060831069946289,0.8856521844863892,0.7837405800819397,0.7947275638580322,0.8434730768203735,0.09391684085130692,5.609502127990903,0.5550191269841264
ISIC2018,BT-UNet,base,50,ensemble,filtered,5,5,,0.9153237342834473,0.8768742084503174,0.8303825855255127,0.8157094717025757,0.8605533838272095,0.08467625081539154,5.493647894547845,0.5485974292374287
ISIC2018,BT-UNet,base,50,ensemble,unfiltered,5,5,,0.9153237342834473,0.8768742084503174,0.8303825855255127,0.8157094717025757,0.8605533838272095,0.08467625081539154,5.493647894547845,0.5485974292374287
