Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
ISIC2018,BT-UNet,frozen,1,0,fold,ISIC2018_BT-UNet_1pct_frozen_fold0,25,70.8,False,0.9999996423721313,0.4581834673881531,0.8798888921737671,0.6028545498847961,0.9656558632850647,0.7224827408790588,0.7502427101135254,0.12011108547449112,0.7462221384048462,0.5527930855751038,0.7444998025894165,0.5695905685424805,0.6094938516616821,0.25377777218818665
ISIC2018,BT-UNet,frozen,1,1,fold,ISIC2018_BT-UNet_1pct_frozen_fold1,25,38.3,False,1.0,0.4881170690059662,0.9229888916015625,0.9397698640823364,0.7052325010299683,0.7915412187576294,0.5475879907608032,0.0770111083984375,0.7027588486671448,0.49849382042884827,0.7791213989257812,0.5252448320388794,0.588952898979187,0.2972412109375
ISIC2018,BT-UNet,frozen,1,2,fold,ISIC2018_BT-UNet_1pct_frozen_fold2,25,37.8,False,1.0,0.5048914551734924,0.6900665163993835,0.381496399641037,0.9567025899887085,0.4971392750740051,0.497549831867218,0.30993348360061646,0.6807283163070679,0.47585466504096985,0.7801716923713684,0.5022592544555664,0.5686014294624329,0.31927159428596497
ISIC2018,BT-UNet,frozen,1,3,fold,ISIC2018_BT-UNet_1pct_frozen_fold3,25,38.8,False,0.9993858337402344,0.4314963221549988,0.7772979736328125,0.5907033681869507,0.8090544939041138,0.6127485036849976,0.5020771622657776,0.2227020263671875,0.7508715391159058,0.5645264983177185,0.690793514251709,0.5687655210494995,0.6011408567428589,0.24912849068641663
ISIC2018,BT-UNet,frozen,1,4,fold,ISIC2018_BT-UNet_1pct_frozen_fold4,25,36.7,False,1.0,0.5108988285064697,0.7213134765625,0.43281179666519165,0.7604802846908569,0.5222668647766113,0.4727477431297302,0.2786865234375,0.6254112720489502,0.41992488503456116,0.6978672742843628,0.44163843989372253,0.4822787344455719,0.3745887279510498
ISIC2018,BT-UNet,frozen,5,0,fold,ISIC2018_BT-UNet_5pct_frozen_fold0,129,60.5,False,0.9999966621398926,0.5392789244651794,0.5787488222122192,0.3601630926132202,0.9006674289703369,0.402035117149353,0.5164057612419128,0.4212511479854584,0.6705899834632874,0.46816450357437134,0.8341273665428162,0.4954792857170105,0.5857583284378052,0.32941004633903503
ISIC2018,BT-UNet,frozen,5,1,fold,ISIC2018_BT-UNet_5pct_frozen_fold1,129,45.8,False,0.9999451637268066,0.6013393402099609,0.7190686464309692,0.5748700499534607,0.8961008191108704,0.5603245496749878,0.666200578212738,0.2809313237667084,0.6058966517448425,0.42139604687690735,0.890228807926178,0.4327854514122009,0.5448880195617676,0.3941033184528351
ISIC2018,BT-UNet,frozen,5,2,fold,ISIC2018_BT-UNet_5pct_frozen_fold2,129,45.9,False,0.9999864101409912,0.5107478499412537,0.7311114072799683,0.33113667368888855,0.8410998582839966,0.5027412176132202,0.47992271184921265,0.2688886225223541,0.7026075124740601,0.49840205907821655,0.8139720559120178,0.5278557538986206,0.5995412468910217,0.29739251732826233
ISIC2018,BT-UNet,frozen,5,3,fold,ISIC2018_BT-UNet_5pct_frozen_fold3,129,45.9,False,0.9999955892562866,0.5216225981712341,0.7323878407478333,0.444299578666687,0.7854234576225281,0.5357950925827026,0.5007048845291138,0.26761215925216675,0.6781116127967834,0.47385531663894653,0.7976357936859131,0.5008469223976135,0.562961995601654,0.32188835740089417
ISIC2018,BT-UNet,frozen,5,4,fold,ISIC2018_BT-UNet_5pct_frozen_fold4,129,37.8,False,0.9999269247055054,0.5698143243789673,0.724851667881012,0.40569356083869934,0.8832057118415833,0.5263110399246216,0.4732447564601898,0.27514830231666565,0.6232092380523682,0.43271204829216003,0.8797101378440857,0.44959163665771484,0.5440611839294434,0.37679076194763184
