Dataset,Label Fraction (%),Fold,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal HD,FoldVal MyIoU,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,5,0,0.4272995,0.29803783,0.96685207,0.27089977,0.47506574,12.566187263437609,0.014152951687710625,0.5727005,0.527671,0.3753831,0.89845467,0.35838735,0.5283767,12.402983102960192,0.0277104222333683,0.47232905
ISIC2018,5,1,0.63352966,0.0,0.0,0.31676483,0.0001055805,11.912135605452683,0.0,0.36647034,0.7041517,0.0,0.0,0.35207585,0.0001120642,11.37965017945359,0.0,0.29584834
ISIC2018,5,2,0.90041,0.71082133,0.52581364,0.6626813,0.62902683,5.593533863871623,0.09864468285246274,0.09959001,0.7863702,0.6680824,0.5523042,0.5890153,0.5765288,8.276454151426867,0.09940615152337505,0.21362978
ISIC2018,5,3,0.77661544,0.9352332,0.00094758364,0.38875782,0.00089657935,10.330369135870313,0.0,0.22338456,0.71619534,0.85573256,0.04896364,0.38029328,0.062652834,10.923795932202234,0.003650778984649979,0.28380466
ISIC2018,5,4,0.80494446,0.0,0.0,0.40247223,0.00024304054,10.00576283399608,0.0,0.19505554,0.7041517,0.0,0.0,0.35207585,0.0001120642,11.37965017945359,0.0,0.29584834
ISIC2018,10,0,0.93383175,0.8407078,0.88703924,0.83788484,0.80458546,5.6484586017977225,0.5354166666666665,0.06616827,0.89481574,0.82821244,0.8131229,0.7786362,0.8136492,5.890799121136294,0.4767550427350433,0.10518434
ISIC2018,10,1,0.9401935,0.845811,0.85107934,0.8324696,0.8026819,5.157747060087127,0.5173076923076924,0.05980653,0.8813469,0.79861206,0.80090517,0.7554157,0.7971724,6.240815879537808,0.4332573809523807,0.118653215
ISIC2018,10,2,0.92965055,0.9190382,0.8591939,0.8505698,0.84958214,5.729265043519766,0.49150641025641034,0.07034947,0.88693386,0.81934446,0.7925776,0.7634883,0.805061,6.159452873945861,0.4345724458874457,0.113066144
ISIC2018,10,3,0.95290756,0.8806501,0.8704737,0.86108935,0.83074665,4.877264835581612,0.4762660256410255,0.047092438,0.88283944,0.81960696,0.77443516,0.7548367,0.7945389,6.149666102165553,0.4327370346320354,0.117160566
ISIC2018,10,4,0.94907427,0.8786751,0.90201896,0.86897206,0.8439219,5.201667798421899,0.5245588235294116,0.05092576,0.8783003,0.77580804,0.8278814,0.7534398,0.79855806,6.373827299918735,0.3894423554876496,0.12169975
ISIC2018,20,0,0.9497964,0.9221473,0.8435525,0.8628973,0.8473075,4.945453979973753,0.5839423076923074,0.050203618,0.9038976,0.8745716,0.7882048,0.7914132,0.83429307,5.816638080109545,0.5143613217338218,0.096102476
ISIC2018,20,1,0.93805665,0.9200142,0.81580037,0.8422641,0.85608524,4.941459594996305,0.6190705128205125,0.06194335,0.90502644,0.867096,0.80188787,0.79480183,0.83911276,5.797483423012602,0.5155008549783551,0.09497363
ISIC2018,20,2,0.9374322,0.8945143,0.8581125,0.84947604,0.8399926,5.406341195798239,0.5808894230769229,0.062567785,0.90168184,0.85151565,0.8086904,0.78975356,0.82931095,5.897990618810356,0.5050000144300142,0.098318145
ISIC2018,20,3,0.94429475,0.9045069,0.85720223,0.8580116,0.8677463,5.02028890049805,0.5846890892279238,0.055705246,0.90406317,0.8651414,0.80050606,0.7929951,0.8377067,5.9160652831845555,0.4696395346320348,0.09593683
ISIC2018,20,4,0.9426939,0.93036824,0.81083363,0.8470224,0.8738537,4.863190216741287,0.582936157693439,0.057306085,0.90365887,0.8566996,0.80981404,0.793255,0.83532476,5.98294057893787,0.47571301587301473,0.09634117
ISIC2018,50,0,0.95136327,0.9178517,0.8780683,0.8761462,0.8842025,4.96176983496068,0.6267280219780224,0.048636746,0.91324335,0.85724586,0.847961,0.81361437,0.85278165,5.76823246578949,0.523471556107292,0.08675661
ISIC2018,50,1,0.94752675,0.9106246,0.8601449,0.86374485,0.8706679,5.048966373738024,0.5940965309200614,0.052473273,0.9091605,0.8514829,0.83935434,0.80565774,0.84809875,5.816005237717043,0.48737307189542434,0.0908394
ISIC2018,50,2,0.9457873,0.89624816,0.85608107,0.8559408,0.8537668,4.974233528993331,0.577911840411841,0.05421271,0.9128961,0.852311,0.8534691,0.81349254,0.8508305,5.762599216653429,0.5072983318903314,0.08710382
ISIC2018,50,3,0.94116354,0.91066074,0.8619645,0.8592808,0.8678137,5.130917802934674,0.6122495361781084,0.058836475,0.9068553,0.84393704,0.8406077,0.80177015,0.84343016,5.865806872364467,0.48417004329004293,0.093144745
ISIC2018,50,4,0.9459217,0.9147265,0.8403361,0.85622346,0.86521655,4.8269876900965025,0.6081101158412089,0.054078266,0.9133894,0.8610339,0.84336036,0.81345785,0.8528237,5.734751208951402,0.517531221694972,0.08661055
