Dataset,Label Fraction (%),Fold,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal HD,FoldVal MyIoU,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,5,0,0.5998846,0.37244663,0.89659524,0.42132682,0.5369445,11.022528776971804,0.026258044328586264,0.40011537,0.63135,0.4357183,0.8339898,0.4557706,0.5586947,10.665880337317361,0.05174668979437683,0.36865
ISIC2018,5,1,0.7095624,0.5621445,0.93837696,0.5497335,0.6562607,10.482463282462913,0.049158283224779394,0.29043755,0.5763771,0.4009351,0.87397647,0.4038338,0.5294941,11.285668399007466,0.03505354126027524,0.42362294
ISIC2018,5,2,0.7943843,0.4077055,0.92913216,0.57892376,0.6058361,7.615924660167547,0.06481036173717741,0.2056157,0.7667777,0.57394,0.8215667,0.60110754,0.6511544,8.908074810978826,0.08368954282764007,0.2332223
ISIC2018,5,3,0.71502507,0.43359646,0.8964955,0.5282552,0.495202,10.302327656377644,0.013811229912802037,0.2849749,0.6202102,0.4311939,0.88904434,0.4469201,0.55741835,11.033234316606148,0.01954700406931638,0.37978986
ISIC2018,5,4,0.65213805,0.34886765,0.9041833,0.45703992,0.46689022,10.31306896128999,0.01855860280687328,0.34786195,0.6292559,0.4348497,0.844853,0.45420074,0.54799646,10.481358150627347,0.02441321566544202,0.37074408
ISIC2018,10,0,0.93156666,0.91571766,0.78125465,0.8224937,0.77942014,5.327058381544704,0.4798076923076924,0.06843332,0.88310647,0.8628577,0.7191958,0.74846554,0.7858045,6.079494492895061,0.4638051149425289,0.11689349
ISIC2018,10,1,0.71681535,0.40010762,0.88073546,0.5185125,0.54864854,9.274991163256972,0.07475546635086108,0.28318465,0.5680122,0.39305678,0.8456427,0.39531046,0.52386457,10.692453756814224,0.06479666191600739,0.4319878
ISIC2018,10,2,0.912882,0.9127334,0.8092749,0.81647646,0.8310979,5.684531582754387,0.5208333333333333,0.087118,0.8850053,0.82951134,0.7694495,0.757747,0.7949852,6.037094742615393,0.4471379761904761,0.114994675
ISIC2018,10,3,0.9520352,0.89501363,0.8473086,0.8567617,0.83969223,5.244611994775196,0.5270787545787545,0.04796483,0.89419395,0.8502041,0.77974606,0.7740146,0.8195517,6.053715843582573,0.4760695670995675,0.10580597
ISIC2018,10,4,0.94918466,0.8987449,0.8767279,0.8671721,0.8472566,5.099442596105038,0.5288235294117647,0.05081536,0.895767,0.84262484,0.796428,0.7784691,0.8230532,6.030967726229887,0.45631821831763064,0.104233004
ISIC2018,20,0,0.944756,0.9224634,0.81825536,0.8490963,0.83701205,5.035100988466626,0.520321026462853,0.055244006,0.90060866,0.8867065,0.7613189,0.78277117,0.8308842,5.8684490089622425,0.48414471500721434,0.099391416
ISIC2018,20,1,0.933192,0.918133,0.79579777,0.8301313,0.8432007,5.255758156070741,0.5659935897435893,0.06680797,0.8996833,0.8751947,0.77084273,0.78227377,0.83251977,5.905209038478304,0.47704237768767194,0.10031671
ISIC2018,20,2,0.9383567,0.91202235,0.8417058,0.84990203,0.84013325,5.311376357728194,0.5353582875457876,0.061643306,0.90189546,0.86632216,0.7903509,0.7881982,0.83546007,5.841054437703919,0.5051332692307694,0.09810454
ISIC2018,20,3,0.9430945,0.91104895,0.84409,0.85427624,0.86463016,5.133912613445039,0.5615453074433654,0.056905504,0.897887,0.8649755,0.77597857,0.7797989,0.82807875,5.981573826641685,0.43626198667345817,0.10211304
ISIC2018,20,4,0.9347306,0.9058936,0.7983646,0.8286611,0.8531906,5.153395759834222,0.5268018955154877,0.065269396,0.89680517,0.8468929,0.79489696,0.7800465,0.82487863,6.045558926944725,0.42811744671994717,0.103194825
ISIC2018,50,0,0.9488416,0.92378145,0.860044,0.8692078,0.8715404,5.072969501316958,0.5534762820763959,0.051158436,0.9100527,0.8624785,0.8279903,0.8061483,0.8517197,5.855790311007481,0.4483416974610354,0.08994737
ISIC2018,50,1,0.94729114,0.9050909,0.86547166,0.8636848,0.8693244,5.136752873903809,0.5333867564059872,0.052708846,0.9059613,0.83995754,0.8427048,0.80042267,0.8415345,6.118033755880507,0.407480458517769,0.09403868
ISIC2018,50,2,0.94379467,0.8941634,0.84847564,0.8508568,0.84807974,5.034287438843146,0.5356340683126398,0.056205306,0.9135419,0.87717205,0.82300544,0.81183803,0.8555326,5.664549693072193,0.49693834643254964,0.08645802
ISIC2018,50,3,0.93642557,0.91599464,0.83616126,0.8474982,0.8589582,5.158761270325161,0.608866519580806,0.06357442,0.9070692,0.86926174,0.8073034,0.7989016,0.8476562,5.679110560789275,0.5383997649572649,0.09293076
ISIC2018,50,4,0.94474614,0.9033335,0.84751725,0.8543063,0.85370314,5.141870828826738,0.5435250037392896,0.05525384,0.9062468,0.846613,0.834251,0.8001188,0.8427246,6.088370500911371,0.39504935046048467,0.093753204
