Dataset,Model,Variant,Beta,Label Fraction (%),Fold,Kind,Keyname,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal HD,FoldVal MyIoU,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,DBT-UNet,b1,1.0,1,0,fold,ISIC2018_DBT-UNet_1pct_b1_fold0,0.8537323,0.5507353,0.9959114,0.6857319,0.6614459,7.0579009649037925,0.016547619047619047,0.1462677,0.7859735,0.6020527,0.8157933,0.62394345,0.657525,8.162912842238498,0.062201361783094114,0.21402647
ISIC2018,DBT-UNet,b1,1.0,1,1,fold,ISIC2018_DBT-UNet_1pct_b1_fold1,0.89039004,0.7118667,0.8670852,0.75271386,0.564968,7.291909505315113,0.0910144927536232,0.109609984,0.6858164,0.48177123,0.8189781,0.5103776,0.5764557,8.956149294941811,0.03921904379345278,0.3141836
ISIC2018,DBT-UNet,b1,1.0,1,2,fold,ISIC2018_DBT-UNet_1pct_b1_fold2,0.8756744,0.6196082,0.9336096,0.7207837,0.57117826,8.04889393387052,0.07242424242424242,0.12432556,0.82555795,0.68865937,0.74897623,0.66770977,0.68609,7.672009959995996,0.06676707699704744,0.17444205
ISIC2018,DBT-UNet,b1,1.0,1,3,fold,ISIC2018_DBT-UNet_1pct_b1_fold3,0.76679385,0.56854635,0.88341004,0.6064799,0.63746566,8.764584009534484,0.146,0.23320618,0.7216365,0.51772046,0.86333597,0.55232686,0.601544,9.126154062510226,0.0686512223898019,0.2783636
ISIC2018,DBT-UNet,b1,1.0,1,4,fold,ISIC2018_DBT-UNet_1pct_b1_fold4,0.78782046,0.5204076,0.7507614,0.5941664,0.5604207,8.777510416085178,0.006183574879227052,0.21217957,0.7568291,0.56084114,0.8206683,0.58923477,0.63566154,8.460562796326597,0.058972323369204896,0.24317092
ISIC2018,DBT-UNet,b1,1.0,5,0,fold,ISIC2018_DBT-UNet_5pct_b1_fold0,0.8028969,0.5776769,0.761759,0.62314683,0.5989594,8.754478270836689,0.03308813570066249,0.19710305,0.8249506,0.7078674,0.6952311,0.6599262,0.66500574,8.131054063573512,0.06661976860661688,0.1750495
ISIC2018,DBT-UNet,b1,1.0,5,1,fold,ISIC2018_DBT-UNet_5pct_b1_fold1,0.84815216,0.7703492,0.83438975,0.72472644,0.7518263,7.10076820249038,0.15979350359785144,0.15184784,0.81487584,0.6488585,0.81568,0.66093946,0.6852323,7.879449296272665,0.12486448059307105,0.18512414
ISIC2018,DBT-UNet,b1,1.0,5,2,fold,ISIC2018_DBT-UNet_5pct_b1_fold2,0.77503324,0.38716775,0.95111793,0.5593678,0.5044168,8.306992601919733,0.08826923076923077,0.22496678,0.8192513,0.6635099,0.7893654,0.66394246,0.6833492,7.68573688017763,0.157121868480328,0.18074872
ISIC2018,DBT-UNet,b1,1.0,5,3,fold,ISIC2018_DBT-UNet_5pct_b1_fold3,0.83893996,0.59555334,0.8714436,0.6737106,0.6490892,7.350185067758487,0.0742047903077315,0.16106004,0.80559474,0.6315968,0.8228444,0.64951706,0.67382514,8.17401769867968,0.04915746303376902,0.19440527
ISIC2018,DBT-UNet,b1,1.0,5,4,fold,ISIC2018_DBT-UNet_5pct_b1_fold4,0.8384113,0.5531994,0.89207363,0.6614342,0.58024466,7.256124515790521,0.12813333333333335,0.16158874,0.8148869,0.66088164,0.7687833,0.65584564,0.6723864,7.7362746196537975,0.12933540745004912,0.18511309
