Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
ISIC2018,UNet,base,1,ensemble,filtered,3,5,"3,4",0.6920741200447083,0.48613759875297546,0.7158149480819702,0.5084176063537598,0.5840202569961548,0.30792585015296936,9.811220056582659,0.047882786509930005
ISIC2018,UNet,base,1,ensemble,unfiltered,5,5,,0.7424001097679138,0.7505865097045898,0.19362303614616394,0.45433294773101807,0.23214370012283325,0.25759992003440857,9.729111184459297,0.00723061143998817
ISIC2018,UNet,base,5,ensemble,filtered,2,5,"1,3,4",0.7413933277130127,0.5506340861320496,0.6844638586044312,0.5574436187744141,0.6115514039993286,0.2586066424846649,9.10202203750719,0.10887431461561542
ISIC2018,UNet,base,5,ensemble,unfiltered,5,5,,0.7077686786651611,0.9208589196205139,0.013374997302889824,0.3599836826324463,0.01931791380047798,0.29223138093948364,11.217649895478159,0.0010455042016806722
ISIC2018,UNet,base,10,ensemble,filtered,5,5,,0.8919060230255127,0.8217612504959106,0.8104062676429749,0.7735344171524048,0.8128191232681274,0.1080939769744873,5.862422947148798,0.49739928571428554
ISIC2018,UNet,base,10,ensemble,unfiltered,5,5,,0.8919060230255127,0.8217612504959106,0.8104062676429749,0.7735344171524048,0.8128191232681274,0.1080939769744873,5.862422947148798,0.49739928571428554
ISIC2018,UNet,base,20,ensemble,filtered,5,5,,0.9100764989852905,0.8804765343666077,0.8053775429725647,0.80397629737854,0.8475614786148071,0.08992349356412888,5.54638548335148,0.5606312301587294
ISIC2018,UNet,base,20,ensemble,unfiltered,5,5,,0.9100764989852905,0.8804765343666077,0.8053775429725647,0.80397629737854,0.8475614786148071,0.08992349356412888,5.54638548335148,0.5606312301587294
ISIC2018,UNet,base,50,ensemble,filtered,5,5,,0.9177253246307373,0.8691809177398682,0.8498053550720215,0.8217658996582031,0.8603432178497314,0.0822746604681015,5.4445170449492615,0.5774063888888888
ISIC2018,UNet,base,50,ensemble,unfiltered,5,5,,0.9177253246307373,0.8691809177398682,0.8498053550720215,0.8217658996582031,0.8603432178497314,0.0822746604681015,5.4445170449492615,0.5774063888888888
