Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
ISIC2018,SimSiam-UNET,base,1,0,fold,ISIC2018_SimSiam-UNET_1pct_fold0,25,96.6,False,0.9996390342712402,0.5353127717971802,0.833221435546875,0.5178918242454529,0.9985519647598267,0.6571962237358093,0.7409238815307617,0.166778564453125,0.6858577728271484,0.48140251636505127,0.8003137111663818,0.5090916156768799,0.6027737259864807,0.3141421377658844
ISIC2018,SimSiam-UNET,base,1,1,fold,ISIC2018_SimSiam-UNET_1pct_fold1,25,50.5,False,1.0,0.6085007190704346,0.8842010498046875,0.7255143523216248,0.78628009557724,0.7325568795204163,0.4944259226322174,0.1157989501953125,0.5744410753250122,0.3928723931312561,0.8039451241493225,0.4000798463821411,0.5105732679367065,0.4255588948726654
ISIC2018,SimSiam-UNET,base,1,2,fold,ISIC2018_SimSiam-UNET_1pct_fold2,25,50.7,False,1.0,0.5679677724838257,0.7766357660293579,0.4600815773010254,0.858820378780365,0.5798016786575317,0.5611798167228699,0.22336426377296448,0.5927570462226868,0.4019870460033417,0.7721365094184875,0.4157711863517761,0.5161850452423096,0.4072429835796356
ISIC2018,SimSiam-UNET,base,1,3,fold,ISIC2018_SimSiam-UNET_1pct_fold3,25,51.4,False,1.0,0.5734769105911255,0.808337390422821,0.6196242570877075,0.914769172668457,0.6614335179328918,0.660072922706604,0.19166259467601776,0.6352100968360901,0.43824127316474915,0.8267931342124939,0.4592386484146118,0.562413215637207,0.3647899031639099
ISIC2018,SimSiam-UNET,base,1,4,fold,ISIC2018_SimSiam-UNET_1pct_fold4,25,54.0,False,0.9999871253967285,0.7526993751525879,0.37487488985061646,0.25500598549842834,0.9225875735282898,0.23018141090869904,0.39110779762268066,0.6251251101493835,0.409268856048584,0.3307393193244934,0.9738232493400574,0.2490125447511673,0.45984622836112976,0.5907310843467712
ISIC2018,SimSiam-UNET,base,5,0,fold,ISIC2018_SimSiam-UNET_5pct_fold0,129,0.0,False,1.0,0.49221470952033997,0.6617748737335205,0.4102625846862793,0.8330930471420288,0.47642600536346436,0.591276228427887,0.3382251560688019,0.6988337635993958,0.49434006214141846,0.78498375415802,0.5215610861778259,0.6158578395843506,0.30116626620292664
ISIC2018,SimSiam-UNET,base,5,1,fold,ISIC2018_SimSiam-UNET_5pct_fold1,129,0.0,False,1.0,0.5381016731262207,0.7932897806167603,0.6738584637641907,0.8448358774185181,0.6501177549362183,0.7091305255889893,0.20671023428440094,0.662863552570343,0.4608727991580963,0.8219180703163147,0.4867878556251526,0.5929050445556641,0.3371364176273346
ISIC2018,SimSiam-UNET,base,5,2,fold,ISIC2018_SimSiam-UNET_5pct_fold2,129,0.0,False,1.0,0.5701487064361572,0.608684241771698,0.2607313096523285,0.9282765984535217,0.40176665782928467,0.5118270516395569,0.391315758228302,0.6655727028846741,0.4642876386642456,0.8476578593254089,0.4910818934440613,0.5953750610351562,0.3344273567199707
ISIC2018,SimSiam-UNET,base,5,3,fold,ISIC2018_SimSiam-UNET_5pct_fold3,129,0.0,False,1.0,0.6413951516151428,0.6186529397964478,0.3578398525714874,0.8880879878997803,0.43328624963760376,0.5431221127510071,0.38134706020355225,0.5750097632408142,0.3992980718612671,0.8654215931892395,0.40235230326652527,0.5469202399253845,0.4249902367591858
ISIC2018,SimSiam-UNET,base,5,4,fold,ISIC2018_SimSiam-UNET_5pct_fold4,129,0.0,False,0.9858227968215942,0.3369206488132477,0.9619922041893005,0.8799201250076294,0.9323829412460327,0.8903408050537109,0.8250159621238708,0.03800781071186066,0.8869565725326538,0.8556374907493591,0.7433114647865295,0.7577848434448242,0.804386556148529,0.11304347217082977
ISIC2018,SimSiam-UNET,base,10,0,fold,ISIC2018_SimSiam-UNET_10pct_fold0,259,0.0,False,0.9809200167655945,0.4027528166770935,0.9369099140167236,0.8620489239692688,0.8715066313743591,0.8427304029464722,0.7925297021865845,0.06309010088443756,0.8906391859054565,0.8262873291969299,0.7981442809104919,0.7701475620269775,0.8083348274230957,0.10936087369918823
ISIC2018,SimSiam-UNET,base,10,1,fold,ISIC2018_SimSiam-UNET_10pct_fold1,259,0.0,False,1.0,0.5799376368522644,0.7479382753372192,0.42701342701911926,0.8235834836959839,0.5452215075492859,0.5810095071792603,0.2520616948604584,0.6609975695610046,0.4602174460887909,0.8437098860740662,0.486148476600647,0.5950128436088562,0.33900243043899536
ISIC2018,SimSiam-UNET,base,10,2,fold,ISIC2018_SimSiam-UNET_10pct_fold2,259,0.0,False,0.997946560382843,0.29675331711769104,0.9306332468986511,0.9479271769523621,0.8322463631629944,0.8503907918930054,0.8667080402374268,0.06936674565076828,0.897297203540802,0.8557437062263489,0.7852211594581604,0.7798259258270264,0.8275268077850342,0.10270281881093979
ISIC2018,SimSiam-UNET,base,10,3,fold,ISIC2018_SimSiam-UNET_10pct_fold3,259,0.0,False,0.998788595199585,0.2716010808944702,0.9525639414787292,0.9071326851844788,0.8363143801689148,0.8569726943969727,0.8421582579612732,0.047436054795980453,0.8992640376091003,0.867351233959198,0.7785724997520447,0.7824236154556274,0.8312694430351257,0.10073600709438324
ISIC2018,SimSiam-UNET,base,10,4,fold,ISIC2018_SimSiam-UNET_10pct_fold4,259,0.0,False,1.0,0.5070761442184448,0.7546443343162537,0.4797174036502838,0.8529402017593384,0.5691035985946655,0.6402662396430969,0.24535565078258514,0.6844344735145569,0.4798634946346283,0.7941105961799622,0.5071489214897156,0.6014865636825562,0.3155655562877655
ISIC2018,SimSiam-UNET,base,20,0,fold,ISIC2018_SimSiam-UNET_20pct_fold0,518,0.0,False,0.9997562766075134,0.27625077962875366,0.9522923827171326,0.9111101031303406,0.8683745861053467,0.8707722425460815,0.8513624668121338,0.047707632184028625,0.9079890251159668,0.8720207810401917,0.8075031042098999,0.8005266189575195,0.8435103297233582,0.09201100468635559
ISIC2018,SimSiam-UNET,base,20,1,fold,ISIC2018_SimSiam-UNET_20pct_fold1,518,0.0,False,0.9999645948410034,0.27488330006599426,0.9362364411354065,0.923055112361908,0.8044348955154419,0.8373208045959473,0.847899317741394,0.06376354396343231,0.9065554141998291,0.8707789182662964,0.8033635020256042,0.7976062893867493,0.8431153893470764,0.09344463795423508
ISIC2018,SimSiam-UNET,base,20,2,fold,ISIC2018_SimSiam-UNET_20pct_fold2,518,0.0,False,0.999850869178772,0.28038662672042847,0.9419891834259033,0.909270703792572,0.8604849576950073,0.8589649200439453,0.8581696152687073,0.05801083520054817,0.9057939052581787,0.8648210763931274,0.8078463077545166,0.7967406511306763,0.8378617167472839,0.09420608729124069
ISIC2018,SimSiam-UNET,base,20,3,fold,ISIC2018_SimSiam-UNET_20pct_fold3,518,0.0,False,0.9997909069061279,0.2810474634170532,0.9467993974685669,0.9121791124343872,0.8599892258644104,0.8636410236358643,0.8815957903862,0.05320058390498161,0.9062504172325134,0.8660396337509155,0.8081167340278625,0.7975599765777588,0.8414045572280884,0.09374959021806717
ISIC2018,SimSiam-UNET,base,20,4,fold,ISIC2018_SimSiam-UNET_20pct_fold4,518,0.0,False,0.9996029138565063,0.2802024185657501,0.9372437000274658,0.9322178959846497,0.7833428978919983,0.8323144912719727,0.856897234916687,0.06275628507137299,0.9036905765533447,0.861903727054596,0.8031451106071472,0.792626142501831,0.8352803587913513,0.09630947560071945
ISIC2018,SimSiam-UNET,base,50,0,fold,ISIC2018_SimSiam-UNET_50pct_fold0,1297,0.0,False,0.9999899864196777,0.29167208075523376,0.9539993405342102,0.9248010516166687,0.8820732235908508,0.8822598457336426,0.8868195414543152,0.04600067064166069,0.9095614552497864,0.8543946146965027,0.8369385004043579,0.8061327338218689,0.8473817110061646,0.09043846279382706
ISIC2018,SimSiam-UNET,base,50,1,fold,ISIC2018_SimSiam-UNET_50pct_fold1,1297,0.0,False,0.999976396560669,0.2882651388645172,0.9503670930862427,0.9259029030799866,0.8563989400863647,0.8697001934051514,0.879244863986969,0.049632906913757324,0.9135239124298096,0.8683685660362244,0.8341448903083801,0.8128516674041748,0.8563359975814819,0.08647608757019043
ISIC2018,SimSiam-UNET,base,50,2,fold,ISIC2018_SimSiam-UNET_50pct_fold2,1297,0.0,False,0.9999756813049316,0.29842713475227356,0.9473450183868408,0.8909534215927124,0.8705060482025146,0.8606724143028259,0.8559589982032776,0.05265495926141739,0.9164003133773804,0.8577780723571777,0.860016942024231,0.8202797770500183,0.8574095964431763,0.08359968662261963
ISIC2018,SimSiam-UNET,base,50,3,fold,ISIC2018_SimSiam-UNET_50pct_fold3,1297,0.0,False,0.9999822378158569,0.29471006989479065,0.9405676126480103,0.913906991481781,0.8557636737823486,0.85755854845047,0.8678305149078369,0.05943239480257034,0.910176694393158,0.8518566489219666,0.8429884910583496,0.8077691793441772,0.850346565246582,0.08982327580451965
ISIC2018,SimSiam-UNET,base,50,4,fold,ISIC2018_SimSiam-UNET_50pct_fold4,1297,0.0,False,0.9999995231628418,0.2896902561187744,0.9468548893928528,0.9188746809959412,0.8402917385101318,0.8582857251167297,0.8665062189102173,0.05314512550830841,0.9128689765930176,0.8613615036010742,0.8408198356628418,0.8123056888580322,0.8507272601127625,0.08713100850582123
