Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
ISIC2018,SimSiam-UNET,base,1,ensemble,filtered,5,5,,0.5824090242385864,0.40119457244873047,0.8354453444480896,0.40856093168258667,0.5371633172035217,0.41759100556373596,11.254259025693445,0.05369197935078891
ISIC2018,SimSiam-UNET,base,1,ensemble,unfiltered,5,5,,0.5824090242385864,0.40119457244873047,0.8354453444480896,0.40856093168258667,0.5371633172035217,0.41759100556373596,11.254259025693445,0.05369197935078891
ISIC2018,SimSiam-UNET,base,5,ensemble,filtered,5,5,,0.6872362494468689,0.48348283767700195,0.8368155360221863,0.5130773186683655,0.6232956051826477,0.3127637207508087,9.746012263001466,0.1429423474876144
ISIC2018,SimSiam-UNET,base,5,ensemble,unfiltered,5,5,,0.6872362494468689,0.48348283767700195,0.8368155360221863,0.5130773186683655,0.6232956051826477,0.3127637207508087,9.746012263001466,0.1429423474876144
ISIC2018,SimSiam-UNET,base,10,ensemble,filtered,5,5,,0.8913581967353821,0.8168897032737732,0.8155996799468994,0.7731720805168152,0.8159894943237305,0.10864183306694031,6.030989021596833,0.44675567252192255
ISIC2018,SimSiam-UNET,base,10,ensemble,unfiltered,5,5,,0.8913581967353821,0.8168897032737732,0.8155996799468994,0.7731720805168152,0.8159894943237305,0.10864183306694031,6.030989021596833,0.44675567252192255
ISIC2018,SimSiam-UNET,base,20,ensemble,filtered,5,5,,0.9114741086959839,0.881596028804779,0.809492826461792,0.8068559169769287,0.8497920036315918,0.08852584660053253,5.556566874545505,0.5698663095238088
ISIC2018,SimSiam-UNET,base,20,ensemble,unfiltered,5,5,,0.9114741086959839,0.881596028804779,0.809492826461792,0.8068559169769287,0.8497920036315918,0.08852584660053253,5.556566874545505,0.5698663095238088
ISIC2018,SimSiam-UNET,base,50,ensemble,filtered,5,5,,0.9183555245399475,0.8734022378921509,0.846770167350769,0.8226336240768433,0.8630213737487793,0.0816444382071495,5.433421011574132,0.5826518986568976
ISIC2018,SimSiam-UNET,base,50,ensemble,unfiltered,5,5,,0.9183555245399475,0.8734022378921509,0.846770167350769,0.8226336240768433,0.8630213737487793,0.0816444382071495,5.433421011574132,0.5826518986568976
