Dataset,Label Fraction (%),Fold,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal HD,FoldVal MyIoU,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,5,0,0.6617749,0.41026258,0.83309305,0.476426,0.5912762,9.630458134009428,0.05959590112658667,0.33822516,0.69883376,0.49434006,0.78498375,0.5215611,0.61585784,9.961760205135963,0.09140050062939137,0.30116627
ISIC2018,5,1,0.7932898,0.67385846,0.8448359,0.65011775,0.7091305,7.925315957082744,0.1282797939020435,0.20671023,0.66286355,0.4608728,0.8219181,0.48678786,0.59290504,10.16980208084276,0.07582387829402834,0.33713642
ISIC2018,5,2,0.60868424,0.2607313,0.9282766,0.40176666,0.51182705,9.706653513105762,0.09828671328671329,0.39131576,0.6655727,0.46428764,0.84765786,0.4910819,0.59537506,10.267781494638484,0.08166550013392175,0.33442736
ISIC2018,5,3,0.61865294,0.35783985,0.888088,0.43328625,0.5431221,10.029525456307443,0.053586240248382995,0.38134706,0.57500976,0.39929807,0.8654216,0.4023523,0.54692024,10.9489033649738,0.043279329983862885,0.42499024
ISIC2018,5,4,0.9619922,0.8799201,0.93238294,0.8903408,0.82501596,4.663050746919101,0.548,0.03800781,0.8869566,0.8556375,0.74331146,0.75778484,0.80438656,6.068756452336933,0.4612438095238098,0.11304347
ISIC2018,10,0,0.9369099,0.8620489,0.87150663,0.8427304,0.7925297,5.437007743377852,0.5237179487179489,0.0630901,0.8906392,0.8262873,0.7981443,0.77014756,0.8083348,5.957767717746051,0.47899359307359357,0.10936087
ISIC2018,10,1,0.7479383,0.42701343,0.8235835,0.5452215,0.5810095,8.536740114284855,0.05971310919676414,0.2520617,0.66099757,0.46021745,0.8437099,0.48614848,0.59501284,10.613025641573632,0.04143731841598174,0.33900243
ISIC2018,10,2,0.93063325,0.9479272,0.83224636,0.8503908,0.86670804,5.559349197763172,0.5486858974358972,0.069366746,0.8972972,0.8557437,0.78522116,0.7798259,0.8275268,5.916199378929369,0.48707218253968315,0.10270282
ISIC2018,10,3,0.95256394,0.9071327,0.8363144,0.8569727,0.84215826,5.035189222301993,0.526602564102564,0.047436055,0.89926404,0.86735123,0.7785725,0.7824236,0.83126944,5.921913769607383,0.4825497366522366,0.10073601
ISIC2018,10,4,0.75464433,0.4797174,0.8529402,0.5691036,0.64026624,8.880062729267115,0.09751168941792558,0.24535565,0.6844345,0.4798635,0.7941106,0.5071489,0.60148656,10.556616870879319,0.07024337356956324,0.31556556
ISIC2018,20,0,0.9522924,0.9111101,0.8683746,0.87077224,0.85136247,4.949516517260028,0.5730950299700298,0.047707632,0.907989,0.8720208,0.8075031,0.8005266,0.8435103,5.808443825951609,0.5270974999999994,0.092011005
ISIC2018,20,1,0.93623644,0.9230551,0.8044349,0.8373208,0.8478993,5.155358200616605,0.5678205128205125,0.063763544,0.9065554,0.8707789,0.8033635,0.7976063,0.8431154,5.822727755133074,0.5132122619047613,0.09344464
ISIC2018,20,2,0.9419892,0.9092707,0.86048496,0.8589649,0.8581696,5.213176497388029,0.5674816849816847,0.058010835,0.9057939,0.8648211,0.8078463,0.79674065,0.8378617,5.819976343195333,0.4943337054612053,0.09420609
ISIC2018,20,3,0.9467994,0.9121791,0.8599892,0.863641,0.8815958,4.963824296012203,0.6112297734627828,0.053200584,0.9062504,0.86603963,0.80811673,0.79756,0.84140456,5.805305324337013,0.5128868326118324,0.09374959
ISIC2018,20,4,0.9372437,0.9322179,0.7833429,0.8323145,0.85689723,4.931320998774078,0.5705293573740173,0.062756285,0.9036906,0.8619037,0.8031451,0.79262614,0.83528036,5.939908641766728,0.4677386904761899,0.096309476
ISIC2018,50,0,0.95399934,0.92480105,0.8820732,0.88225985,0.88681954,4.870729410930944,0.642567460317461,0.04600067,0.90956146,0.8543946,0.8369385,0.80613273,0.8473817,5.750260817147802,0.5215133551171048,0.09043846
ISIC2018,50,1,0.9503671,0.9259029,0.85639894,0.8697002,0.87924486,4.8350462984994165,0.622653263403264,0.049632907,0.9135239,0.86836857,0.8341449,0.81285167,0.856336,5.6325283109075865,0.5392655561835822,0.08647609
ISIC2018,50,2,0.947345,0.8909534,0.87050605,0.8606724,0.855959,4.960984823830524,0.5724314295742872,0.05265496,0.9164003,0.8577781,0.86001694,0.8202798,0.8574096,5.72312331068636,0.5199423099939273,0.08359969
ISIC2018,50,3,0.9405676,0.913907,0.8557637,0.85755855,0.8678305,5.08997228674097,0.6262457587457597,0.059432395,0.9101767,0.85185665,0.8429885,0.8077692,0.85034657,5.864513113834694,0.5101596915584415,0.089823276
ISIC2018,50,4,0.9468549,0.9188747,0.84029174,0.8582857,0.8665062,4.886388336651035,0.6145840645840652,0.053145126,0.912869,0.8613615,0.84081984,0.8123057,0.85072726,5.74478552446249,0.5178613555562084,0.08713101
