Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
ISIC2018,SimSiam-UNET,frozen,1,0,fold,ISIC2018_SimSiam-UNET_1pct_frozen_fold0,25,71.1,False,0.9999988079071045,0.481084406375885,0.8380035161972046,0.5256491303443909,0.9805281162261963,0.661852240562439,0.7221721410751343,0.16199645400047302,0.6788612604141235,0.47298184037208557,0.7482506632804871,0.49780356884002686,0.5623061060905457,0.32113879919052124
ISIC2018,SimSiam-UNET,frozen,1,1,fold,ISIC2018_SimSiam-UNET_1pct_frozen_fold1,25,37.0,False,1.0,0.5135194063186646,0.9161285161972046,0.9010587334632874,0.7074284553527832,0.7782799601554871,0.5004830360412598,0.08387146145105362,0.6722561717033386,0.46733394265174866,0.7711889743804932,0.4929007589817047,0.5750375986099243,0.3277438282966614
ISIC2018,SimSiam-UNET,frozen,1,2,fold,ISIC2018_SimSiam-UNET_1pct_frozen_fold2,25,38.7,False,1.0,0.4447624981403351,0.6939361691474915,0.37479811906814575,0.8598251342773438,0.492864191532135,0.535070538520813,0.30606383085250854,0.7045137882232666,0.5004337430000305,0.7060590386390686,0.5203220844268799,0.5715698599815369,0.2954862117767334
ISIC2018,SimSiam-UNET,frozen,1,3,fold,ISIC2018_SimSiam-UNET_1pct_frozen_fold3,25,37.1,False,1.0,0.552762508392334,0.8126861453056335,0.64760422706604,0.8070359826087952,0.6572913527488708,0.5708102583885193,0.18731383979320526,0.6387414336204529,0.43854227662086487,0.7888264656066895,0.46061769127845764,0.5392686724662781,0.3612585663795471
ISIC2018,SimSiam-UNET,frozen,1,4,fold,ISIC2018_SimSiam-UNET_1pct_frozen_fold4,25,39.6,False,0.9999998807907104,0.5395326614379883,0.6602203249931335,0.37624213099479675,0.770808219909668,0.4635695815086365,0.5555081367492676,0.33977967500686646,0.6473026275634766,0.4456244707107544,0.7873894572257996,0.4689769744873047,0.5618746876716614,0.3526974022388458
ISIC2018,SimSiam-UNET,frozen,5,0,fold,ISIC2018_SimSiam-UNET_5pct_frozen_fold0,129,60.2,False,0.9999954700469971,0.4507960081100464,0.6773118376731873,0.41380560398101807,0.7243731617927551,0.4821009635925293,0.5265576839447021,0.32268816232681274,0.6965071558952332,0.49131256341934204,0.7306603193283081,0.5143928527832031,0.5717995762825012,0.30349281430244446
ISIC2018,SimSiam-UNET,frozen,5,1,fold,ISIC2018_SimSiam-UNET_5pct_frozen_fold1,129,44.9,False,1.0,0.44712841510772705,0.7958421111106873,0.7244908213615417,0.7146892547607422,0.6426775455474854,0.6687763929367065,0.20415790379047394,0.7243292331695557,0.5243738293647766,0.7336440086364746,0.5442094206809998,0.6032413244247437,0.2756708264350891
ISIC2018,SimSiam-UNET,frozen,5,2,fold,ISIC2018_SimSiam-UNET_5pct_frozen_fold2,129,45.9,False,0.9999996423721313,0.4164597690105438,0.7286036610603333,0.32975587248802185,0.8475795984268188,0.5009759068489075,0.5431676506996155,0.27139633893966675,0.7299429774284363,0.5339365005493164,0.6858000159263611,0.5450990796089172,0.5945989489555359,0.27005693316459656
ISIC2018,SimSiam-UNET,frozen,5,3,fold,ISIC2018_SimSiam-UNET_5pct_frozen_fold3,129,45.6,False,0.9999991655349731,0.4166152775287628,0.743588387966156,0.4512430727481842,0.6794804930686951,0.5348531007766724,0.5165917277336121,0.256411612033844,0.7233006954193115,0.5249991416931152,0.6796450614929199,0.537257969379425,0.571858823299408,0.2766992151737213
ISIC2018,SimSiam-UNET,frozen,5,4,fold,ISIC2018_SimSiam-UNET_5pct_frozen_fold4,129,37.2,False,0.9999934434890747,0.519287109375,0.816418468952179,0.5181989669799805,0.8374830484390259,0.6257123947143555,0.6440334916114807,0.18358154594898224,0.6831493973731995,0.47870421409606934,0.7978847026824951,0.5060893893241882,0.6053340435028076,0.3168505132198334
ISIC2018,SimSiam-UNET,frozen,10,0,fold,ISIC2018_SimSiam-UNET_10pct_frozen_fold0,259,56.6,False,1.0,0.46225523948669434,0.7367146015167236,0.46471789479255676,0.7786499261856079,0.544049859046936,0.5715160965919495,0.26328542828559875,0.7042269706726074,0.5000843405723572,0.7551440000534058,0.5247241854667664,0.5924769639968872,0.2957729995250702
ISIC2018,SimSiam-UNET,frozen,10,1,fold,ISIC2018_SimSiam-UNET_10pct_frozen_fold1,259,56.3,False,0.999984860420227,0.49612101912498474,0.7584556937217712,0.4307425916194916,0.7092227935791016,0.5426949262619019,0.5854068398475647,0.24154427647590637,0.6943181753158569,0.4895816445350647,0.7809708714485168,0.5164718627929688,0.5998178124427795,0.30568182468414307
