Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
ISIC2018,SimSiam-UNET,outbn0,5,0,fold,ISIC2018_SimSiam-UNET_5pct_outbn0_fold0,129,117.2,False,1.0,0.28696873784065247,0.8974891304969788,0.8309440612792969,0.7362463474273682,0.7574675679206848,0.7358395457267761,0.10251089185476303,0.8488364219665527,0.7651649713516235,0.7056066989898682,0.6944794654846191,0.7311824560165405,0.15116353332996368
ISIC2018,SimSiam-UNET,outbn0,5,1,fold,ISIC2018_SimSiam-UNET_5pct_outbn0_fold1,129,68.5,False,1.0,0.4410187602043152,0.8966134786605835,0.8597332835197449,0.8578442931175232,0.8008654117584229,0.7988634705543518,0.10338651388883591,0.8061140179634094,0.6329658031463623,0.8203154802322388,0.6499370336532593,0.7027538418769836,0.19388599693775177
ISIC2018,SimSiam-UNET,outbn0,5,2,fold,ISIC2018_SimSiam-UNET_5pct_outbn0_fold2,129,91.8,False,1.0,0.21765097975730896,0.9510017037391663,0.8482311367988586,0.8055949807167053,0.8243198394775391,0.8508456945419312,0.04899831861257553,0.8679001331329346,0.8839228749275208,0.6371597051620483,0.7125891447067261,0.7607953548431396,0.132099911570549
ISIC2018,SimSiam-UNET,outbn0,5,3,fold,ISIC2018_SimSiam-UNET_5pct_outbn0_fold3,129,103.4,False,1.0,0.2474319487810135,0.9288089275360107,0.8839320540428162,0.7846150398254395,0.8124961853027344,0.7666064500808716,0.07119105756282806,0.8782869577407837,0.8551941514015198,0.7085765600204468,0.7393370270729065,0.77708500623703,0.12171295285224915
ISIC2018,SimSiam-UNET,outbn0,5,4,fold,ISIC2018_SimSiam-UNET_5pct_outbn0_fold4,129,86.1,False,1.0,0.2442217320203781,0.9634387493133545,0.9101324677467346,0.9015830159187317,0.8917596340179443,0.8448916673660278,0.036561280488967896,0.8777692914009094,0.8597343564033508,0.7012568712234497,0.7375175952911377,0.7803377509117126,0.122230663895607
ISIC2018,SimSiam-UNET,outbn0,10,0,fold,ISIC2018_SimSiam-UNET_10pct_outbn0_fold0,259,179.3,False,1.0,0.2787376046180725,0.9321805238723755,0.8574066758155823,0.85397869348526,0.8314447402954102,0.8010801076889038,0.06781944632530212,0.8929483890533447,0.843839168548584,0.7830682396888733,0.7723115682601929,0.8063802123069763,0.10705161839723587
ISIC2018,SimSiam-UNET,outbn0,10,1,fold,ISIC2018_SimSiam-UNET_10pct_outbn0_fold1,259,193.2,False,1.0,0.25982171297073364,0.9442481994628906,0.9021879434585571,0.803676962852478,0.836522102355957,0.8202294707298279,0.055751800537109375,0.897735059261322,0.8743584752082825,0.7641358375549316,0.7781978845596313,0.8268322944641113,0.10226503014564514
ISIC2018,SimSiam-UNET,outbn0,10,2,fold,ISIC2018_SimSiam-UNET_10pct_outbn0_fold2,259,167.7,False,1.0,0.26823192834854126,0.9270855784416199,0.9354022145271301,0.8331466913223267,0.8439180850982666,0.8613150715827942,0.07291441410779953,0.897010862827301,0.8607913851737976,0.7776479125022888,0.7785054445266724,0.8250868320465088,0.10298913717269897
ISIC2018,SimSiam-UNET,outbn0,10,3,fold,ISIC2018_SimSiam-UNET_10pct_outbn0_fold3,259,162.9,False,1.0,0.26975739002227783,0.9516645669937134,0.879764199256897,0.8640597462654114,0.8574771881103516,0.8467091917991638,0.04833544045686722,0.8918600082397461,0.8518639802932739,0.7680327296257019,0.7688025236129761,0.8072828054428101,0.10814004391431808
ISIC2018,SimSiam-UNET,outbn0,10,4,fold,ISIC2018_SimSiam-UNET_10pct_outbn0_fold4,259,136.9,False,1.0,0.2645021378993988,0.9554886221885681,0.9365472793579102,0.8640397787094116,0.8803869485855103,0.8716313242912292,0.04451138526201248,0.9001081585884094,0.8723213076591492,0.7759239077568054,0.7835675477981567,0.8328455090522766,0.09989183396100998
