Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,BT-UNet,actelu,5,0,fold,KDSB_BT-UNet_5pct_actelu_fold0,25,89.3,False,0.9999997615814209,0.3853789269924164,0.8719452023506165,0.6351578831672668,0.8201548457145691,0.7024095058441162,0.6243841052055359,0.12805481255054474,0.8276232481002808,0.521672785282135,0.8741365671157837,0.6397035717964172,0.5539540648460388,0.17237675189971924
KDSB,BT-UNet,actelu,5,1,fold,KDSB_BT-UNet_5pct_actelu_fold1,25,52.3,False,0.9999566078186035,0.3405809700489044,0.7224639654159546,0.3457881808280945,0.9339689016342163,0.5071452260017395,0.5143874883651733,0.277536004781723,0.8545618653297424,0.5729588866233826,0.8542632460594177,0.6745249032974243,0.6025735139846802,0.14543811976909637
KDSB,BT-UNet,actelu,5,2,fold,KDSB_BT-UNet_5pct_actelu_fold2,25,53.6,False,0.9999349117279053,0.4270496666431427,0.86614990234375,0.3959125876426697,0.8080959320068359,0.6085213422775269,0.48732200264930725,0.13385009765625,0.7964321970939636,0.4736621379852295,0.8557956218719482,0.5982881784439087,0.5225043892860413,0.203567773103714
KDSB,BT-UNet,actelu,5,3,fold,KDSB_BT-UNet_5pct_actelu_fold3,25,51.2,False,0.9999737739562988,0.4077049493789673,0.7327240109443665,0.3227892220020294,0.9457465410232544,0.5059047341346741,0.502902626991272,0.26727598905563354,0.8396071791648865,0.5407822132110596,0.9090154767036438,0.6600050926208496,0.6090784072875977,0.16039283573627472
KDSB,BT-UNet,actelu,5,4,fold,KDSB_BT-UNet_5pct_actelu_fold4,25,50.7,False,1.0,0.2914080321788788,0.8387664556503296,0.5101637840270996,0.9638170599937439,0.6541321277618408,0.5186344385147095,0.16123351454734802,0.8240175247192383,0.5187036395072937,0.7381523251533508,0.6170627474784851,0.4789310395717621,0.1759825050830841
KDSB,BT-UNet,actelu,10,0,fold,KDSB_BT-UNet_10pct_actelu_fold0,51,44.3,False,0.9945670962333679,0.39730677008628845,0.9360517859458923,0.635832667350769,0.9457062482833862,0.771134614944458,0.7134459018707275,0.06394819915294647,0.8818657398223877,0.6284965872764587,0.8912920355796814,0.7210785150527954,0.6997442841529846,0.11813423037528992
KDSB,BT-UNet,actelu,10,1,fold,KDSB_BT-UNet_10pct_actelu_fold1,51,66.9,False,0.9999998807907104,0.4013698101043701,0.8836609125137329,0.6430807709693909,0.9217159152030945,0.7337936758995056,0.5890081524848938,0.11633910983800888,0.7776793241500854,0.44870421290397644,0.8575121164321899,0.5765473246574402,0.5009294748306274,0.22232069075107574
KDSB,BT-UNet,actelu,10,2,fold,KDSB_BT-UNet_10pct_actelu_fold2,51,50.0,False,1.0,0.4204796552658081,0.7016814947128296,0.3247670531272888,0.9584924578666687,0.48657849431037903,0.5350993275642395,0.298318475484848,0.732567310333252,0.4072645306587219,0.9634445309638977,0.537647008895874,0.5577039122581482,0.26743268966674805
KDSB,BT-UNet,actelu,10,3,fold,KDSB_BT-UNet_10pct_actelu_fold3,51,50.2,False,1.0,0.3221455514431,0.7758194208145142,0.39383426308631897,0.8462186455726624,0.5548852682113647,0.45050010085105896,0.22418060898780823,0.7603597640991211,0.41475215554237366,0.7036091685295105,0.5386849641799927,0.40138787031173706,0.2396402508020401
KDSB,BT-UNet,actelu,10,4,fold,KDSB_BT-UNet_10pct_actelu_fold4,51,50.6,False,0.9999997615814209,0.3009273409843445,0.7161208987236023,0.3505313992500305,0.9307724833488464,0.5043530464172363,0.4772971570491791,0.2838791012763977,0.8598923087120056,0.5867123603820801,0.8330387473106384,0.6796010732650757,0.6011236310005188,0.14010770618915558
