Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,BT-UNet,actgelu,5,0,fold,KDSB_BT-UNet_5pct_actgelu_fold0,25,93.9,False,0.9999998807907104,0.35772278904914856,0.8418670892715454,0.5907056331634521,0.6386962532997131,0.6309497952461243,0.4566473364830017,0.15813294053077698,0.8109623193740845,0.49415889382362366,0.7192034125328064,0.5980149507522583,0.4492989182472229,0.18903769552707672
KDSB,BT-UNet,actgelu,5,1,fold,KDSB_BT-UNet_5pct_actgelu_fold1,25,56.3,False,0.999995231628418,0.39587828516960144,0.7028869390487671,0.3336167633533478,0.9648076295852661,0.4908331632614136,0.4997982382774353,0.2971130311489105,0.7914474010467529,0.468951940536499,0.921275794506073,0.5996192097663879,0.6036992073059082,0.20855259895324707
KDSB,BT-UNet,actgelu,5,2,fold,KDSB_BT-UNet_5pct_actgelu_fold2,25,54.9,False,0.9998531341552734,0.3022879958152771,0.85186767578125,0.3344087302684784,0.5825671553611755,0.5565298199653625,0.42965203523635864,0.14813232421875,0.8412742018699646,0.5551420450210571,0.7352917194366455,0.6394104957580566,0.5351585745811462,0.158725768327713
KDSB,BT-UNet,actgelu,5,3,fold,KDSB_BT-UNet_5pct_actgelu_fold3,25,55.4,False,0.9999990463256836,0.32145941257476807,0.8479461669921875,0.4549703299999237,0.8066100478172302,0.6200925707817078,0.44744735956192017,0.1520538330078125,0.8050695061683655,0.4836534261703491,0.7205272316932678,0.5910897850990295,0.46211203932762146,0.19493047893047333
KDSB,BT-UNet,actgelu,5,4,fold,KDSB_BT-UNet_5pct_actgelu_fold4,25,53.4,False,0.9999998807907104,0.2684692144393921,0.8735198974609375,0.5893244743347168,0.8104217052459717,0.6857774257659912,0.5538432598114014,0.1264801025390625,0.8332387804985046,0.5440617799758911,0.6349348425865173,0.6126736402511597,0.46833547949790955,0.16676124930381775
KDSB,BT-UNet,actgelu,10,0,fold,KDSB_BT-UNet_10pct_actgelu_fold0,51,44.8,False,0.9999959468841553,0.2727639079093933,0.8308160901069641,0.35605165362358093,0.7131481170654297,0.5641219019889832,0.43425655364990234,0.1691839098930359,0.8146029710769653,0.5009187459945679,0.7044308185577393,0.6002957224845886,0.4830005466938019,0.18539704382419586
KDSB,BT-UNet,actgelu,10,1,fold,KDSB_BT-UNet_10pct_actgelu_fold1,51,71.6,False,0.9999945163726807,0.4409937858581543,0.8503311276435852,0.5763269662857056,0.9104905128479004,0.6814972162246704,0.6025230288505554,0.149668887257576,0.7459708452224731,0.4188440442085266,0.9461345076560974,0.5504258871078491,0.5339304804801941,0.25402915477752686
KDSB,BT-UNet,actgelu,10,2,fold,KDSB_BT-UNet_10pct_actgelu_fold2,51,55.3,False,0.9999836683273315,0.3088364601135254,0.7441207766532898,0.32774800062179565,0.7086979746818542,0.5016406774520874,0.41214483976364136,0.2558792233467102,0.7833764553070068,0.44643014669418335,0.6892359256744385,0.561586320400238,0.4274439215660095,0.21662352979183197
KDSB,BT-UNet,actgelu,10,3,fold,KDSB_BT-UNet_10pct_actgelu_fold3,51,54.3,False,0.9999961853027344,0.3779122531414032,0.8223190307617188,0.45450183749198914,0.770076334476471,0.5993083119392395,0.5866373777389526,0.17768096923828125,0.7409541606903076,0.39945998787879944,0.7819916605949402,0.5281645059585571,0.5495814681053162,0.2590458393096924
KDSB,BT-UNet,actgelu,10,4,fold,KDSB_BT-UNet_10pct_actgelu_fold4,51,56.7,False,0.9997500777244568,0.5686306357383728,0.5239517092704773,0.24927829205989838,0.9982451796531677,0.34190213680267334,0.3546915352344513,0.4760482907295227,0.6263476014137268,0.3314192593097687,0.993004560470581,0.43620795011520386,0.46245330572128296,0.3736524283885956
