Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,BT-UNet,actleakyrelu,5,0,fold,KDSB_BT-UNet_5pct_actleakyrelu_fold0,25,87.6,False,1.0,0.41816824674606323,0.8320983648300171,0.5518544316291809,0.7795100808143616,0.6395156979560852,0.5318379402160645,0.16790160536766052,0.7514055967330933,0.4145461320877075,0.8184088468551636,0.5432155728340149,0.46327343583106995,0.24859440326690674
KDSB,BT-UNet,actleakyrelu,5,1,fold,KDSB_BT-UNet_5pct_actleakyrelu_fold1,25,49.5,False,0.9999911785125732,0.31883156299591064,0.6745055913925171,0.2775728702545166,0.7174329161643982,0.44252917170524597,0.35776761174201965,0.3254943788051605,0.8174082636833191,0.5059457421302795,0.7520641088485718,0.6106773614883423,0.4945857524871826,0.1825917512178421
KDSB,BT-UNet,actleakyrelu,5,2,fold,KDSB_BT-UNet_5pct_actleakyrelu_fold2,25,50.0,False,1.0,0.2821808159351349,0.8531829714775085,0.37625330686569214,0.8558201193809509,0.5970867276191711,0.5050898790359497,0.14681701362133026,0.8308249711990356,0.5311585068702698,0.7658923268318176,0.6298548579216003,0.539188027381897,0.16917501389980316
KDSB,BT-UNet,actleakyrelu,5,3,fold,KDSB_BT-UNet_5pct_actleakyrelu_fold3,25,51.2,False,0.9999784231185913,0.31776362657546997,0.8050750494003296,0.39797791838645935,0.9491446614265442,0.5835185647010803,0.5562822222709656,0.19492492079734802,0.8567290306091309,0.5824539065361023,0.8095963001251221,0.6718147993087769,0.5922091603279114,0.14327095448970795
KDSB,BT-UNet,actleakyrelu,5,4,fold,KDSB_BT-UNet_5pct_actleakyrelu_fold4,25,48.4,False,0.9999998807907104,0.2956996262073517,0.8769470453262329,0.5858271718025208,0.9081957936286926,0.7039588689804077,0.566185474395752,0.12305297702550888,0.8217876553535461,0.5143671035766602,0.7381744980812073,0.6142252087593079,0.49448826909065247,0.17821234464645386
KDSB,BT-UNet,actleakyrelu,10,0,fold,KDSB_BT-UNet_10pct_actleakyrelu_fold0,51,39.7,False,0.9999969005584717,0.39871081709861755,0.7250948548316956,0.2734065353870392,0.942267656326294,0.4815370440483093,0.4631754159927368,0.27490511536598206,0.753205418586731,0.42299219965934753,0.900080144405365,0.5538200736045837,0.5483570694923401,0.24679455161094666
KDSB,BT-UNet,actleakyrelu,10,1,fold,KDSB_BT-UNet_10pct_actleakyrelu_fold1,51,65.5,False,0.9999998807907104,0.39011290669441223,0.8837860226631165,0.6535565257072449,0.8741760849952698,0.7284685373306274,0.6039146184921265,0.11621399223804474,0.7536293864250183,0.41083574295043945,0.7497699856758118,0.5375155210494995,0.4305654764175415,0.2463706135749817
KDSB,BT-UNet,actleakyrelu,10,2,fold,KDSB_BT-UNet_10pct_actleakyrelu_fold2,51,49.2,False,1.0,0.2709815204143524,0.813006579875946,0.4283383786678314,0.8223884701728821,0.5897160768508911,0.5317158102989197,0.18699340522289276,0.8176760077476501,0.5069522857666016,0.6969857215881348,0.6029695272445679,0.5297839045524597,0.18232397735118866
KDSB,BT-UNet,actleakyrelu,10,3,fold,KDSB_BT-UNet_10pct_actleakyrelu_fold3,51,49.4,False,1.0,0.4529357850551605,0.7537261843681335,0.3784257173538208,0.9334126114845276,0.5404388904571533,0.5292173624038696,0.24627380073070526,0.6871244311332703,0.36591777205467224,0.9322952032089233,0.48899295926094055,0.5088282227516174,0.31287556886672974
KDSB,BT-UNet,actleakyrelu,10,4,fold,KDSB_BT-UNet_10pct_actleakyrelu_fold4,51,50.1,False,1.0,0.4003399908542633,0.6893081665039062,0.31755006313323975,0.8382120132446289,0.47050052881240845,0.46543511748313904,0.31069183349609375,0.7327852249145508,0.39669156074523926,0.8401392102241516,0.5260918140411377,0.5796396136283875,0.2672148048877716
