Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,BT-UNet,actmish,5,0,fold,KDSB_BT-UNet_5pct_actmish_fold0,25,94.5,False,0.999525249004364,0.324970543384552,0.8946502804756165,0.7097520232200623,0.7858240008354187,0.735048234462738,0.6000530123710632,0.10534973442554474,0.8458466529846191,0.561070442199707,0.7840025424957275,0.6527513265609741,0.5548925399780273,0.15415336191654205
KDSB,BT-UNet,actmish,5,1,fold,KDSB_BT-UNet_5pct_actmish_fold1,25,55.3,False,0.9994943141937256,0.35693761706352234,0.8213043212890625,0.44992494583129883,0.8097071051597595,0.6016179919242859,0.5428155064582825,0.1786956787109375,0.8226921558380127,0.513889729976654,0.8528573513031006,0.6306636333465576,0.6013611555099487,0.17730781435966492
KDSB,BT-UNet,actmish,5,2,fold,KDSB_BT-UNet_5pct_actmish_fold2,25,60.1,False,0.9916194081306458,0.4661182165145874,0.8633453249931335,0.39108648896217346,0.8164777159690857,0.6057397127151489,0.46511682868003845,0.13665466010570526,0.7289303541183472,0.3941947817802429,0.8537832498550415,0.5235315561294556,0.4642094075679779,0.27106964588165283
KDSB,BT-UNet,actmish,5,3,fold,KDSB_BT-UNet_5pct_actmish_fold3,25,60.0,False,0.9680241942405701,0.459369421005249,0.7327240109443665,0.32153886556625366,0.935482382774353,0.5049599409103394,0.49010682106018066,0.26727598905563354,0.8131380081176758,0.4984760284423828,0.8663734793663025,0.6200786828994751,0.5422073006629944,0.1868620216846466
KDSB,BT-UNet,actmish,5,4,fold,KDSB_BT-UNet_5pct_actmish_fold4,25,52.6,False,1.0,0.29622316360473633,0.8536376953125,0.5357599854469299,0.9520776271820068,0.6737629175186157,0.5494935512542725,0.1463623046875,0.7949015498161316,0.4664233922958374,0.7182338833808899,0.5787899494171143,0.44631239771842957,0.2050984650850296
KDSB,BT-UNet,actmish,10,0,fold,KDSB_BT-UNet_10pct_actmish_fold0,51,42.7,False,0.9999967813491821,0.32963061332702637,0.845733642578125,0.3896901309490204,0.7729876041412354,0.5907261371612549,0.4496164321899414,0.154266357421875,0.8094310760498047,0.49179261922836304,0.7562078237533569,0.6013768911361694,0.4693513810634613,0.1905689388513565
KDSB,BT-UNet,actmish,10,1,fold,KDSB_BT-UNet_10pct_actmish_fold1,51,67.6,False,0.9999998807907104,0.44987753033638,0.7691879272460938,0.4582943320274353,0.9353551268577576,0.5805989503860474,0.6129496097564697,0.23081207275390625,0.7214891314506531,0.3978365361690521,0.9703327417373657,0.5266289114952087,0.5726960301399231,0.27851083874702454
KDSB,BT-UNet,actmish,10,2,fold,KDSB_BT-UNet_10pct_actmish_fold2,51,53.1,False,0.9999957084655762,0.3181273937225342,0.8393234014511108,0.47178423404693604,0.8001623153686523,0.6200094223022461,0.5419924259185791,0.16067656874656677,0.8394092321395874,0.5491883158683777,0.7594382166862488,0.6404106020927429,0.5188502669334412,0.1605907827615738
KDSB,BT-UNet,actmish,10,3,fold,KDSB_BT-UNet_10pct_actmish_fold3,51,51.6,False,0.9999994039535522,0.4228639602661133,0.8084762692451477,0.43635547161102295,0.8367826342582703,0.5911426544189453,0.6001875996589661,0.1915237456560135,0.7279883027076721,0.3970056176185608,0.8931061625480652,0.5264202952384949,0.5846711993217468,0.2720116972923279
KDSB,BT-UNet,actmish,10,4,fold,KDSB_BT-UNet_10pct_actmish_fold4,51,52.7,False,0.9999606609344482,0.39112481474876404,0.7764129638671875,0.40664032101631165,0.8990030288696289,0.564100444316864,0.5000640749931335,0.2235870361328125,0.7790213823318481,0.4524417519569397,0.8982623219490051,0.5825586318969727,0.5759819149971008,0.22097860276699066
