Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,BT-UNet,actsilu,5,0,fold,KDSB_BT-UNet_5pct_actsilu_fold0,25,89.2,False,1.0,0.36751431226730347,0.801739513874054,0.49770012497901917,0.8476753234863281,0.6094523668289185,0.5086039304733276,0.19826050102710724,0.7830395102500916,0.45421311259269714,0.8294430375099182,0.5794532299041748,0.4864032566547394,0.21696045994758606
KDSB,BT-UNet,actsilu,5,1,fold,KDSB_BT-UNet_5pct_actsilu_fold1,25,52.6,False,0.9999827146530151,0.3487824499607086,0.7907775640487671,0.41739556193351746,0.9647471308708191,0.5830569863319397,0.5640767812728882,0.20922240614891052,0.8694309592247009,0.5998232364654541,0.8939751386642456,0.7016985416412354,0.6369214653968811,0.13056904077529907
KDSB,BT-UNet,actsilu,5,2,fold,KDSB_BT-UNet_5pct_actsilu_fold2,25,50.4,False,0.9999983310699463,0.418454647064209,0.7900115847587585,0.2972661852836609,0.9057535529136658,0.5294154286384583,0.407416969537735,0.20998840034008026,0.7790828347206116,0.45235228538513184,0.8948293328285217,0.582261860370636,0.523026168346405,0.22091716527938843
KDSB,BT-UNet,actsilu,5,3,fold,KDSB_BT-UNet_5pct_actsilu_fold3,25,49.9,False,0.9999979734420776,0.32177305221557617,0.7139007449150085,0.30454161763191223,0.9208192825317383,0.48569241166114807,0.4731833040714264,0.28609925508499146,0.8346297740936279,0.5371949076652527,0.7967029213905334,0.6391589641571045,0.5433613061904907,0.16537022590637207
KDSB,BT-UNet,actsilu,5,4,fold,KDSB_BT-UNet_5pct_actsilu_fold4,25,50.0,False,0.9999992847442627,0.27042558789253235,0.8848724365234375,0.6055386662483215,0.89902263879776,0.7157070636749268,0.5742002129554749,0.1151275634765625,0.8361929059028625,0.5464438796043396,0.6985025405883789,0.6269534826278687,0.49176323413848877,0.16380709409713745
KDSB,BT-UNet,actsilu,10,0,fold,KDSB_BT-UNet_10pct_actsilu_fold0,51,41.0,False,0.9999998807907104,0.32179999351501465,0.8267863988876343,0.37375110387802124,0.9091355800628662,0.5841770172119141,0.4986051619052887,0.17321361601352692,0.8139470815658569,0.49970585107803345,0.8021741509437561,0.6131128668785095,0.517149031162262,0.18605288863182068
KDSB,BT-UNet,actsilu,10,1,fold,KDSB_BT-UNet_10pct_actsilu_fold1,51,66.6,False,0.9999756813049316,0.346282422542572,0.88311767578125,0.6492241024971008,0.8862215876579285,0.7288168668746948,0.6452770233154297,0.11688232421875,0.8309349417686462,0.5270651578903198,0.8806934952735901,0.6448907852172852,0.6027805209159851,0.16906504333019257
KDSB,BT-UNet,actsilu,10,2,fold,KDSB_BT-UNet_10pct_actsilu_fold2,51,52.3,False,0.9999998807907104,0.29475903511047363,0.7827621698379517,0.3824554681777954,0.7832013368606567,0.550208568572998,0.4841441512107849,0.21723785996437073,0.8199713230133057,0.5106184482574463,0.7565450668334961,0.614534318447113,0.5044454336166382,0.18002869188785553
KDSB,BT-UNet,actsilu,10,3,fold,KDSB_BT-UNet_10pct_actsilu_fold3,51,52.0,False,1.0,0.41800442337989807,0.8002060055732727,0.4281725585460663,0.8876697421073914,0.5873736143112183,0.5766638517379761,0.1997940093278885,0.7201597094535828,0.3916224539279938,0.9133315086364746,0.5202639102935791,0.5628960132598877,0.27984029054641724
KDSB,BT-UNet,actsilu,10,4,fold,KDSB_BT-UNet_10pct_actsilu_fold4,51,51.6,False,0.9999998807907104,0.4297516644001007,0.7386261224746704,0.3684648871421814,0.9126074910163879,0.5252054929733276,0.5052787661552429,0.261373907327652,0.7499979138374329,0.42097723484039307,0.9189151525497437,0.5521997213363647,0.6114981174468994,0.25000205636024475
