Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,BT-UNet,base,1,ensemble,filtered,5,5,,0.8468990921974182,0.5767413377761841,0.6626082062721252,0.635606050491333,0.5259867310523987,0.15310092270374298,8.253902133423756,0.06910309016487642
KDSB,BT-UNet,base,1,ensemble,unfiltered,5,5,,0.8468990921974182,0.5767413377761841,0.6626082062721252,0.635606050491333,0.5259867310523987,0.15310092270374298,8.253902133423756,0.06910309016487642
KDSB,BT-UNet,base,5,ensemble,filtered,5,5,,0.7286536693572998,0.40011799335479736,0.9209859371185303,0.5297229886054993,0.5428548455238342,0.2713463604450226,9.499798739796434,0.05350656471915551
KDSB,BT-UNet,base,5,ensemble,unfiltered,5,5,,0.7286536693572998,0.40011799335479736,0.9209859371185303,0.5297229886054993,0.5428548455238342,0.2713463604450226,9.499798739796434,0.05350656471915551
KDSB,BT-UNet,base,10,ensemble,filtered,5,5,,0.7187028527259827,0.3940264880657196,0.9543553590774536,0.5223900079727173,0.5703991055488586,0.28129714727401733,9.5601217911127,0.0682371928078554
KDSB,BT-UNet,base,10,ensemble,unfiltered,5,5,,0.7187028527259827,0.3940264880657196,0.9543553590774536,0.5223900079727173,0.5703991055488586,0.28129714727401733,9.5601217911127,0.0682371928078554
KDSB,BT-UNet,base,20,ensemble,filtered,5,5,,0.8197517991065979,0.509413480758667,0.8194139003753662,0.6226805448532104,0.5876474976539612,0.1802482306957245,8.64579579720268,0.07153621346613055
KDSB,BT-UNet,base,20,ensemble,unfiltered,5,5,,0.8197517991065979,0.509413480758667,0.8194139003753662,0.6226805448532104,0.5876474976539612,0.1802482306957245,8.64579579720268,0.07153621346613055
KDSB,BT-UNet,base,50,ensemble,filtered,5,5,,0.9114155769348145,0.683340311050415,0.9754474759101868,0.7817912101745605,0.7779876589775085,0.08858441561460495,6.552446497714914,0.21964411814895787
KDSB,BT-UNet,base,50,ensemble,unfiltered,5,5,,0.9114155769348145,0.683340311050415,0.9754474759101868,0.7817912101745605,0.7779876589775085,0.08858441561460495,6.552446497714914,0.21964411814895787
