Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,BT-UNet,frozen,1,0,fold,KDSB_BT-UNet_1pct_frozen_fold0,5,41.6,False,0.9999972581863403,0.3680720329284668,0.8000335693359375,0.244954451918602,0.9974172115325928,0.5154862999916077,0.44038259983062744,0.1999664306640625,0.73237144947052,0.38552364706993103,0.740581750869751,0.5146521329879761,0.5589897036552429,0.26762858033180237
KDSB,BT-UNet,frozen,1,1,fold,KDSB_BT-UNet_1pct_frozen_fold1,5,23.4,False,0.9998180866241455,0.27923399209976196,0.907012939453125,0.2261335700750351,0.674881100654602,0.5543315410614014,0.5398655533790588,0.092987060546875,0.8266426920890808,0.5274975895881653,0.6460629105567932,0.6061094403266907,0.4821586310863495,0.1733573079109192
KDSB,BT-UNet,frozen,1,2,fold,KDSB_BT-UNet_1pct_frozen_fold2,5,26.6,False,1.0,0.36505064368247986,0.637298583984375,0.26052284240722656,0.9129014015197754,0.42016899585723877,0.5461279153823853,0.362701416015625,0.7172181010246277,0.36915433406829834,0.735421895980835,0.4991583824157715,0.5496065616607666,0.2827819287776947
KDSB,BT-UNet,frozen,1,3,fold,KDSB_BT-UNet_1pct_frozen_fold3,5,23.2,False,0.9999996423721313,0.3356783092021942,0.9438323974609375,0.8330923318862915,0.9476973414421082,0.8622404336929321,0.8716752529144287,0.0561676025390625,0.7220280170440674,0.3477126359939575,0.5656325817108154,0.4819011390209198,0.5218070149421692,0.2779719829559326
KDSB,BT-UNet,frozen,1,4,fold,KDSB_BT-UNet_1pct_frozen_fold4,5,24.1,False,0.9999948740005493,0.18384608626365662,0.9141693115234375,0.3486567735671997,1.0,0.6293463706970215,0.7315702438354492,0.0858306884765625,0.8549634218215942,0.6239662170410156,0.5529617667198181,0.6265489459037781,0.5279700756072998,0.14503657817840576
KDSB,BT-UNet,frozen,5,0,fold,KDSB_BT-UNet_5pct_frozen_fold0,25,52.7,False,0.9999226331710815,0.34312739968299866,0.6119323968887329,0.3133732080459595,0.8166488409042358,0.41521549224853516,0.5638553500175476,0.3880676329135895,0.7683455944061279,0.434707909822464,0.8198384046554565,0.5617496371269226,0.6444076895713806,0.23165440559387207
KDSB,BT-UNet,frozen,5,1,fold,KDSB_BT-UNet_5pct_frozen_fold1,25,37.2,False,1.0,0.3708290159702301,0.710955798625946,0.3222172260284424,0.8237961530685425,0.48560410737991333,0.5050526261329651,0.28904420137405396,0.7422988414764404,0.40169960260391235,0.7895107269287109,0.530408501625061,0.5947383046150208,0.25770115852355957
KDSB,BT-UNet,frozen,5,2,fold,KDSB_BT-UNet_5pct_frozen_fold2,25,35.8,False,0.9999240636825562,0.21740780770778656,0.8749114871025085,0.39261066913604736,0.6062180995941162,0.5900940895080566,0.520453691482544,0.12508849799633026,0.8568558096885681,0.6378679871559143,0.5318334102630615,0.6248239278793335,0.5214998126029968,0.14314420521259308
KDSB,BT-UNet,frozen,5,3,fold,KDSB_BT-UNet_5pct_frozen_fold3,25,37.2,False,0.9999998807907104,0.27229270339012146,0.7288665771484375,0.31516098976135254,0.9103689193725586,0.4988957643508911,0.46256622672080994,0.2711334228515625,0.843029797077179,0.5577067732810974,0.7514983415603638,0.644206166267395,0.5477542877197266,0.15697018802165985
KDSB,BT-UNet,frozen,5,4,fold,KDSB_BT-UNet_5pct_frozen_fold4,25,37.5,False,0.999995231628418,0.3700546324253082,0.904614269733429,0.7538853883743286,0.640081524848938,0.7112967371940613,0.6364923715591431,0.09538574516773224,0.7557473182678223,0.42083224654197693,0.8347057104110718,0.5496754050254822,0.6285225749015808,0.24425266683101654
