Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,BT-UNet,noskip,5,0,fold,KDSB_BT-UNet_5pct_noskip_fold0,25,85.4,False,0.9999980926513672,0.33252665400505066,0.7771087884902954,0.45829930901527405,0.7310777306556702,0.5659263134002686,0.49368056654930115,0.22289124131202698,0.7931410074234009,0.4622561037540436,0.6912245750427246,0.5728925466537476,0.4928274154663086,0.20685900747776031
KDSB,BT-UNet,noskip,5,1,fold,KDSB_BT-UNet_5pct_noskip_fold1,25,51.7,False,0.9999343156814575,0.3063167333602905,0.7379363775253296,0.3269212543964386,0.6902424693107605,0.4962236285209656,0.43554162979125977,0.262063592672348,0.817841649055481,0.5070696473121643,0.7175313234329224,0.6062504053115845,0.530758261680603,0.18215832114219666
KDSB,BT-UNet,noskip,5,2,fold,KDSB_BT-UNet_5pct_noskip_fold2,25,51.8,False,0.9985550045967102,0.3349188268184662,0.8489471673965454,0.3769008219242096,0.9308339357376099,0.6005533337593079,0.5115855932235718,0.15105286240577698,0.827879786491394,0.5261013507843018,0.7458932399749756,0.6231575608253479,0.5623026490211487,0.17212024331092834
KDSB,BT-UNet,noskip,5,3,fold,KDSB_BT-UNet_5pct_noskip_fold3,25,52.3,False,0.9995598196983337,0.2477138638496399,0.8038360476493835,0.38584068417549133,0.8383335471153259,0.5693652033805847,0.4916808009147644,0.19616393744945526,0.8375844955444336,0.5534057021141052,0.6539754271507263,0.6215863823890686,0.5078651905059814,0.1624155193567276
KDSB,BT-UNet,noskip,5,4,fold,KDSB_BT-UNet_5pct_noskip_fold4,25,50.1,False,0.9999781847000122,0.403697669506073,0.8516845703125,0.5590101480484009,0.5468212366104126,0.6093693375587463,0.4844018518924713,0.1483154296875,0.6997944712638855,0.3621842563152313,0.8082163333892822,0.490121066570282,0.5034223198890686,0.3002055287361145
KDSB,BT-UNet,noskip,10,0,fold,KDSB_BT-UNet_10pct_noskip_fold0,51,40.6,False,0.9999943971633911,0.30468815565109253,0.8088254332542419,0.33304062485694885,0.7795157432556152,0.5478717684745789,0.4646555781364441,0.19117459654808044,0.7874120473861694,0.4527300000190735,0.6881458163261414,0.565944254398346,0.47476842999458313,0.21258792281150818
KDSB,BT-UNet,noskip,10,1,fold,KDSB_BT-UNet_10pct_noskip_fold1,51,64.5,False,1.0,0.46388787031173706,0.7251831293106079,0.4007488191127777,0.7941126227378845,0.518587589263916,0.5211573243141174,0.2748169004917145,0.6843254566192627,0.3593439757823944,0.8919916749000549,0.4829719364643097,0.5084763169288635,0.3156745135784149
KDSB,BT-UNet,noskip,10,2,fold,KDSB_BT-UNet_10pct_noskip_fold2,51,50.8,False,0.9999997615814209,0.42788028717041016,0.693408191204071,0.3108760118484497,0.8964756727218628,0.4735527038574219,0.509258508682251,0.30659180879592896,0.698962926864624,0.3683490455150604,0.8667218089103699,0.4948771893978119,0.5191758275032043,0.301037073135376
KDSB,BT-UNet,noskip,10,3,fold,KDSB_BT-UNet_10pct_noskip_fold3,51,51.3,False,0.9999983310699463,0.3521675169467926,0.7988647222518921,0.41276752948760986,0.7252255082130432,0.5652658343315125,0.5036149024963379,0.20113524794578552,0.7565505504608154,0.4160558581352234,0.7675681114196777,0.5427696704864502,0.4989159405231476,0.24344944953918457
KDSB,BT-UNet,noskip,10,4,fold,KDSB_BT-UNet_10pct_noskip_fold4,51,52.4,False,0.9998114109039307,0.3523009717464447,0.7161804437637329,0.3340405523777008,0.7984688878059387,0.4915977120399475,0.4011414647102356,0.2838195860385895,0.8144868016242981,0.500666081905365,0.7362516522407532,0.6047996282577515,0.49225863814353943,0.1855131983757019
