Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,BT-UNet,outbn0,5,0,fold,KDSB_BT-UNet_5pct_outbn0_fold0,25,92.1,False,0.9999603033065796,0.19841526448726654,0.88232421875,0.7726708054542542,0.5693054795265198,0.6775562167167664,0.5521491169929504,0.11767578125,0.8914851546287537,0.7522796988487244,0.6205415725708008,0.6962955594062805,0.6241037845611572,0.10851487517356873
KDSB,BT-UNet,outbn0,5,1,fold,KDSB_BT-UNet_5pct_outbn0_fold1,25,52.9,False,0.9999958276748657,0.1929163783788681,0.88671875,0.6201226711273193,0.6499707698822021,0.6696145534515381,0.559388279914856,0.11328125,0.8920131325721741,0.7578246593475342,0.6158461570739746,0.6963146924972534,0.6019789576530457,0.10798685997724533
KDSB,BT-UNet,outbn0,5,2,fold,KDSB_BT-UNet_5pct_outbn0_fold2,25,54.6,False,0.9999760389328003,0.2602772116661072,0.916168212890625,0.5464441180229187,0.6327929496765137,0.6628773212432861,0.6180762052536011,0.083831787109375,0.9055436849594116,0.786935567855835,0.6744418740272522,0.731153130531311,0.6581800580024719,0.09445630013942719
KDSB,BT-UNet,outbn0,5,3,fold,KDSB_BT-UNet_5pct_outbn0_fold3,25,54.9,False,0.9999872446060181,0.1960238516330719,0.9331878423690796,0.703468382358551,0.8478296399116516,0.7747186422348022,0.6807137727737427,0.06681213527917862,0.9074845910072327,0.8194713592529297,0.6441918015480042,0.7295164465904236,0.6850407123565674,0.09251541644334793
KDSB,BT-UNet,outbn0,5,4,fold,KDSB_BT-UNet_5pct_outbn0_fold4,25,48.7,False,1.0,0.21714696288108826,0.9190033078193665,0.7187933325767517,0.8491345643997192,0.7714750170707703,0.6420000195503235,0.08099670708179474,0.8756628632545471,0.6531548500061035,0.7059727907180786,0.6851785182952881,0.5786269307136536,0.12433713674545288
KDSB,BT-UNet,outbn0,10,0,fold,KDSB_BT-UNet_10pct_outbn0_fold0,51,132.0,False,1.0,0.17543357610702515,0.9816603064537048,0.916987419128418,0.9116175770759583,0.9108960628509521,0.9088314175605774,0.018339676782488823,0.9477699995040894,0.8887297511100769,0.8219128847122192,0.841788649559021,0.8206539154052734,0.05223001167178154
KDSB,BT-UNet,outbn0,10,1,fold,KDSB_BT-UNet_10pct_outbn0_fold1,51,63.6,False,0.9999998807907104,0.27460259199142456,0.9045089483261108,0.7487409710884094,0.7763886451721191,0.7515806555747986,0.6451625823974609,0.09549102932214737,0.8489400744438171,0.5733060240745544,0.7324644327163696,0.6495863795280457,0.5560629963874817,0.15105995535850525
KDSB,BT-UNet,outbn0,10,2,fold,KDSB_BT-UNet_10pct_outbn0_fold2,51,128.5,False,1.0,0.18978936970233917,0.963421642780304,0.899312436580658,0.8451869487762451,0.8651847839355469,0.860454261302948,0.03657836839556694,0.9360061287879944,0.8359158039093018,0.8158692121505737,0.8139058351516724,0.7971466183662415,0.06399384886026382
KDSB,BT-UNet,outbn0,10,3,fold,KDSB_BT-UNet_10pct_outbn0_fold3,51,53.0,False,0.9996298551559448,0.24668177962303162,0.9227081537246704,0.8102366328239441,0.6502131223678589,0.739196240901947,0.7328004837036133,0.07729186862707138,0.8882414698600769,0.7394182085990906,0.6157507300376892,0.6898775100708008,0.6684883236885071,0.1117585301399231
KDSB,BT-UNet,outbn0,10,4,fold,KDSB_BT-UNet_10pct_outbn0_fold4,51,59.1,False,0.998835027217865,0.20053371787071228,0.9058273434638977,0.7389103174209595,0.6262100338935852,0.7041110396385193,0.6791433095932007,0.09417267143726349,0.8955086469650269,0.8264385461807251,0.55424565076828,0.6899831295013428,0.6923781633377075,0.10449136048555374
KDSB,BT-UNet,outbn0,1,0,fold,KDSB_BT-UNet_1pct_outbn0_fold0,5,61.3,False,0.9999997615814209,0.3705556392669678,0.77557373046875,0.22454789280891418,1.0,0.49226152896881104,0.43152010440826416,0.22442626953125,0.7271097302436829,0.387450248003006,0.8057469129562378,0.5166952013969421,0.5943306684494019,0.27289023995399475
KDSB,BT-UNet,outbn0,1,1,fold,KDSB_BT-UNet_1pct_outbn0_fold1,5,31.3,False,0.9988034963607788,0.4901835024356842,0.919769287109375,0.23154056072235107,0.5490704774856567,0.5563651919364929,0.5048472285270691,0.080230712890625,0.6633647084236145,0.3225034475326538,0.7368314862251282,0.44956740736961365,0.3751717209815979,0.3366352915763855
