Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,BT-UNet,outbn0,5,ensemble,filtered,5,5,,0.90082848072052,0.7728668451309204,0.6606106758117676,0.7200776934623718,0.634762167930603,0.09917154163122177,7.007900515394867,0.13528712639363183
KDSB,BT-UNet,outbn0,5,ensemble,unfiltered,5,5,,0.90082848072052,0.7728668451309204,0.6606106758117676,0.7200776934623718,0.634762167930603,0.09917154163122177,7.007900515394867,0.13528712639363183
KDSB,BT-UNet,outbn0,10,ensemble,filtered,5,5,,0.9429649710655212,0.8716545701026917,0.8128436803817749,0.8293853998184204,0.8095680475234985,0.057035017758607864,5.656308167264012,0.33689222187268963
KDSB,BT-UNet,outbn0,10,ensemble,unfiltered,5,5,,0.9429649710655212,0.8716545701026917,0.8128436803817749,0.8293853998184204,0.8095680475234985,0.057035017758607864,5.656308167264012,0.33689222187268963
KDSB,BT-UNet,outbn0,1,ensemble,filtered,5,5,,0.8656541705131531,0.6354652643203735,0.650250256061554,0.660388171672821,0.5626276135444641,0.13434579968452454,7.7246323092235825,0.10173992226462601
KDSB,BT-UNet,outbn0,1,ensemble,unfiltered,5,5,,0.8656541705131531,0.6354652643203735,0.650250256061554,0.660388171672821,0.5626276135444641,0.13434579968452454,7.7246323092235825,0.10173992226462601
KDSB,BT-UNet,outbn0,20,ensemble,filtered,5,5,,0.9498965740203857,0.8784899711608887,0.8477004170417786,0.8496313691139221,0.8337233066558838,0.05010340362787247,5.483882025676048,0.4127128104838387
KDSB,BT-UNet,outbn0,20,ensemble,unfiltered,5,5,,0.9498965740203857,0.8784899711608887,0.8477004170417786,0.8496313691139221,0.8337233066558838,0.05010340362787247,5.483882025676048,0.4127128104838387
KDSB,BT-UNet,outbn0,50,ensemble,filtered,5,5,,0.9574631452560425,0.89635169506073,0.8719874024391174,0.8706762790679932,0.857749342918396,0.04253682866692543,5.205382727792698,0.433174693408457
KDSB,BT-UNet,outbn0,50,ensemble,unfiltered,5,5,,0.9574631452560425,0.89635169506073,0.8719874024391174,0.8706762790679932,0.857749342918396,0.04253682866692543,5.205382727792698,0.433174693408457
