Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,BT-UNet,outhard,5,0,fold,KDSB_BT-UNet_5pct_outhard_fold0,25,90.7,False,1.0,0.3859615623950958,0.639392077922821,0.33549192547798157,0.8495059013366699,0.44185441732406616,0.5318924784660339,0.36060792207717896,0.7510084509849548,0.4147261381149292,0.8256883025169373,0.5436022281646729,0.5791940689086914,0.24899154901504517
KDSB,BT-UNet,outhard,5,1,fold,KDSB_BT-UNet_5pct_outhard_fold1,25,53.5,False,1.0,0.42729929089546204,0.682995617389679,0.3099968433380127,0.8922258019447327,0.46614551544189453,0.4866357743740082,0.31700438261032104,0.7595969438552856,0.42687541246414185,0.856214165687561,0.5562081336975098,0.642595112323761,0.24040304124355316
KDSB,BT-UNet,outhard,5,2,fold,KDSB_BT-UNet_5pct_outhard_fold2,25,49.4,False,1.0,0.2677786350250244,0.8645690679550171,0.35647785663604736,0.5485851764678955,0.5664188265800476,0.4355238080024719,0.13543090224266052,0.8562125563621521,0.5968950390815735,0.6974582672119141,0.6544639468193054,0.531297504901886,0.1437874138355255
KDSB,BT-UNet,outhard,5,3,fold,KDSB_BT-UNet_5pct_outhard_fold3,25,51.8,False,1.0,0.3531801104545593,0.733935534954071,0.31309860944747925,0.8620505332946777,0.4990946650505066,0.43021637201309204,0.26606446504592896,0.8486781716346741,0.5724044442176819,0.7348502278327942,0.6495793461799622,0.5394579172134399,0.15132182836532593
KDSB,BT-UNet,outhard,5,4,fold,KDSB_BT-UNet_5pct_outhard_fold4,25,48.9,False,1.0,0.24737213551998138,0.9051544070243835,0.701826810836792,0.7551826238632202,0.7315735816955566,0.6211670637130737,0.09484557807445526,0.8501347899436951,0.5793895721435547,0.7069674730300903,0.6473269462585449,0.5688388347625732,0.14986522495746613
KDSB,BT-UNet,outhard,10,0,fold,KDSB_BT-UNet_10pct_outhard_fold0,51,41.0,False,1.0,0.4337245523929596,0.7495838403701782,0.28928565979003906,0.9154698252677917,0.5020318031311035,0.5094431638717651,0.2504161596298218,0.720722496509552,0.39105692505836487,0.9018440246582031,0.5197851657867432,0.5775114893913269,0.279277503490448
KDSB,BT-UNet,outhard,10,1,fold,KDSB_BT-UNet_10pct_outhard_fold1,51,63.5,False,1.0,0.28847193717956543,0.8654068112373352,0.6260725259780884,0.7885966300964355,0.6883566379547119,0.6011741757392883,0.134593203663826,0.8217673301696777,0.5146471261978149,0.7225344181060791,0.6119183301925659,0.5227881073951721,0.17823268473148346
KDSB,BT-UNet,outhard,10,2,fold,KDSB_BT-UNet_10pct_outhard_fold2,51,51.3,False,1.0,0.4268818199634552,0.6849563717842102,0.3085407614707947,0.9253301024436951,0.46827077865600586,0.5283946990966797,0.3150436282157898,0.710125744342804,0.3804596960544586,0.8903446793556213,0.5080347657203674,0.5580983757972717,0.28987422585487366
KDSB,BT-UNet,outhard,10,3,fold,KDSB_BT-UNet_10pct_outhard_fold3,51,51.3,False,1.0,0.3203953504562378,0.831066906452179,0.4688158929347992,0.7317969799041748,0.6048469543457031,0.5909596681594849,0.16893310844898224,0.7790384292602539,0.4433690011501312,0.738867461681366,0.5635833740234375,0.5645502805709839,0.2209615558385849
KDSB,BT-UNet,outhard,10,4,fold,KDSB_BT-UNet_10pct_outhard_fold4,51,51.4,False,1.0,0.3080188035964966,0.6973174810409546,0.324240505695343,0.841769814491272,0.4782058596611023,0.42024731636047363,0.302682489156723,0.8234504461288452,0.5168899297714233,0.767877995967865,0.6205477714538574,0.5503435134887695,0.17654955387115479
