Dataset,Label Fraction (%),Fold,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal HD,FoldVal MyIoU,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
KDSB,5,0,0.7996399,0.49381077,0.7383069,0.5929242,0.46559423,10.175674104047559,0.018699207004690455,0.2003601,0.76715076,0.4288964,0.76215386,0.553493,0.43017873,9.864371231879346,0.010270597377267527,0.23284926
KDSB,5,1,0.7566681,0.37874568,0.94821924,0.5434742,0.5975574,9.347023981333221,0.10274049401949274,0.24333191,0.75953645,0.43133208,0.92232525,0.56299734,0.6551334,8.60755310676276,0.11479702043212542,0.24046353
KDSB,5,2,0.6998016,0.23593074,0.9808973,0.45209256,0.3894499,11.04321691552706,0.004210526315789474,0.30019838,0.6975671,0.3772589,0.9636649,0.5017705,0.51171917,10.181992217709102,0.029818464549519,0.30243292
KDSB,5,3,0.7072083,0.29787022,0.9085302,0.47840494,0.42633477,11.43126926924273,0.003904761904761905,0.29279175,0.8269149,0.5235425,0.76522446,0.6246497,0.53232324,8.771605186704047,0.06940829926914735,0.17308512
KDSB,5,4,0.88819885,0.6118797,0.91119885,0.7227416,0.5928517,7.965316796628677,0.0985455203988869,0.11180115,0.69533396,0.375126,0.9598954,0.49925336,0.5390256,10.098206499599577,0.05234562402541803,0.30466604
KDSB,10,0,0.78240687,0.30838567,0.8270486,0.5254591,0.4423642,10.446251855447057,0.01609281158271608,0.2175931,0.79411566,0.46668172,0.75381386,0.58276385,0.48611766,9.729992681194704,0.023116295944386994,0.20588437
KDSB,10,1,0.81440735,0.51675653,0.9101888,0.6327425,0.6079179,8.210130669792822,0.07951888364692024,0.18559265,0.72608274,0.39841035,0.9287616,0.52776206,0.56257063,9.437150922378319,0.051446358448338336,0.27391726
KDSB,10,2,0.750824,0.36318994,0.9281084,0.5324103,0.6108488,8.989567335694039,0.06427041976672876,0.24917603,0.75034654,0.41944534,0.893277,0.55003494,0.62916845,8.840135104622165,0.09346597028847577,0.24965344
KDSB,10,3,0.8249405,0.46635935,0.9506492,0.62513214,0.6190941,8.319302122951651,0.11052176186627702,0.17505951,0.75195396,0.42172098,0.9009388,0.5525461,0.58954704,8.72306215271637,0.0876348351642076,0.24804606
KDSB,10,4,0.6961731,0.3378566,0.95830923,0.48740983,0.45217404,10.74891589947613,0.005349345488546049,0.3038269,0.69860125,0.37729457,0.9554825,0.5021444,0.5392082,9.946172431191245,0.032976353515212345,0.30139875
KDSB,20,0,0.7873797,0.4609317,0.94237316,0.5956348,0.604849,9.048433748315636,0.047970584888731474,0.21262033,0.7372206,0.4088471,0.9278379,0.5393514,0.60847163,9.128290800219753,0.07908660550459663,0.26277944
KDSB,20,1,0.7933386,0.38451326,0.71259654,0.5512324,0.4714228,9.615057479111114,0.036965691796587076,0.2066614,0.7943899,0.46690997,0.7489757,0.58243334,0.51070935,9.316864334280003,0.04545575825771584,0.20561013
KDSB,20,2,0.8360298,0.4852529,0.8447435,0.6283341,0.6046587,8.515278670604461,0.0527429466209063,0.16397019,0.7953286,0.4715249,0.8371484,0.59475946,0.5941751,8.615164754852918,0.07327804357479613,0.20467137
KDSB,20,3,0.8428162,0.32607487,0.964073,0.5761429,0.52494735,7.985987056218953,0.0258499090514618,0.15718384,0.83812237,0.5457601,0.76995397,0.640165,0.5630841,8.364188931857383,0.06812705055524793,0.1618776
KDSB,20,4,0.90796816,0.6136523,0.91080225,0.73675215,0.66712195,7.196871639400155,0.10189752027032135,0.09203186,0.8747385,0.6268222,0.80589634,0.69863534,0.6355111,7.842261690853063,0.09646967996276726,0.12526146
KDSB,50,0,0.96704394,0.8580707,0.9450708,0.88932705,0.85447276,4.888717268490269,0.40965360835514514,0.03295605,0.95379543,0.8348936,0.93665487,0.8671638,0.8570515,5.305872357152725,0.37999346638919834,0.046204574
KDSB,50,1,0.7676512,0.43844566,0.97903657,0.5757788,0.57879996,9.349860007305137,0.027490042794901935,0.23234881,0.71011835,0.3883359,0.97294635,0.51515347,0.5553646,9.689485027408704,0.04790201361601863,0.28988168
KDSB,50,2,0.9597587,0.80672836,0.9363035,0.8592296,0.8293907,5.283096324818043,0.3620406895215695,0.040241316,0.9507001,0.81505173,0.9504424,0.8609736,0.84750986,5.414284950664224,0.3653881148374489,0.04929991
KDSB,50,3,0.72350776,0.36158484,0.96108687,0.5149481,0.56082034,9.48726161420958,0.04668846093199387,0.27649224,0.72233665,0.39768058,0.9596136,0.526596,0.5892748,9.413341317335359,0.07770739781245736,0.27766335
KDSB,50,4,0.9523815,0.79261494,0.9168066,0.8421867,0.8169679,5.41956750583409,0.30903867266324936,0.047618493,0.94812685,0.8224217,0.91945875,0.85229445,0.8318248,5.593463134601868,0.3038812654902518,0.051873147
