Dataset,Model,Variant,Beta,Label Fraction (%),Fold,Kind,Keyname,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal HD,FoldVal MyIoU,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
KDSB,DBT-UNet,b1,1.0,5,0,fold,KDSB_DBT-UNet_5pct_b1_fold0,0.89838254,0.711973,0.81188625,0.74511135,0.6170411,10.828467691016154,0.04880073164527897,0.10161743,0.8796124,0.6374937,0.8167892,0.70790184,0.61137486,10.241581533854736,0.04339654669396797,0.120387584
KDSB,DBT-UNet,b1,1.0,5,1,fold,KDSB_DBT-UNet_5pct_b1_fold1,0.8569244,0.51461583,0.9687179,0.66926813,0.6289998,8.842740472129696,0.08910781228749867,0.14307556,0.8980273,0.67135316,0.88427734,0.7475513,0.6856543,7.289950623802584,0.10444170632273812,0.1019727
KDSB,DBT-UNet,b1,1.0,5,2,fold,KDSB_DBT-UNet_5pct_b1_fold2,0.82449645,0.2978704,0.63981026,0.53418386,0.38783586,10.464000322801057,0.0,0.17550354,0.80603236,0.48591965,0.7510346,0.59653366,0.46489754,10.518947095459332,0.024243200291325723,0.19396767
KDSB,DBT-UNet,b1,1.0,5,3,fold,KDSB_DBT-UNet_5pct_b1_fold3,0.7841919,0.3755237,0.9742814,0.56221163,0.5320944,11.011392892359158,0.01987935427527033,0.21580811,0.8554054,0.5698066,0.9064485,0.6821325,0.6053129,9.090770002636472,0.05350646347213501,0.14459462
KDSB,DBT-UNet,b1,1.0,5,4,fold,KDSB_DBT-UNet_5pct_b1_fold4,0.84720767,0.52617675,0.89194256,0.6574919,0.52348715,11.209328994689079,0.04738970647446731,0.15279236,0.8175856,0.50528455,0.89066195,0.6285837,0.5531963,10.686343771747808,0.02744271564594933,0.18241443
KDSB,DBT-UNet,b1,1.0,10,0,fold,KDSB_DBT-UNet_10pct_b1_fold0,0.84480286,0.3993669,0.8855695,0.6041376,0.51632774,9.412614068197826,0.03024110153487535,0.15519714,0.8185132,0.50764805,0.7839219,0.6164457,0.51254547,9.055288837758889,0.04511573697409014,0.1814868
KDSB,DBT-UNet,b1,1.0,10,1,fold,KDSB_DBT-UNet_10pct_b1_fold1,0.8536377,0.5875626,0.86537987,0.68093514,0.5313231,11.799658604160909,0.040987368491230414,0.1463623,0.77306277,0.43603608,0.7529198,0.5587941,0.4199694,12.103123076842966,0.017122370584265804,0.22693723
KDSB,DBT-UNet,b1,1.0,10,2,fold,KDSB_DBT-UNet_10pct_b1_fold2,0.8032837,0.40992904,0.7770621,0.5723883,0.49761042,10.130099948846357,0.013779581841382916,0.19671631,0.8292348,0.52824616,0.760231,0.62696993,0.51178217,9.746657680514277,0.05035174447853084,0.17076524
KDSB,DBT-UNet,b1,1.0,10,3,fold,KDSB_DBT-UNet_10pct_b1_fold3,0.81582797,0.44404268,0.7790267,0.59255046,0.5266306,9.355724504430544,0.018816767373403532,0.18417206,0.7696437,0.43811813,0.8470829,0.5663011,0.5208077,9.504502383460798,0.014634531517361294,0.2303563
KDSB,DBT-UNet,b1,1.0,10,4,fold,KDSB_DBT-UNet_10pct_b1_fold4,0.6800827,0.31448504,0.8658163,0.4645782,0.37231678,11.62222262872503,0.003636955636955637,0.3199173,0.78688174,0.45788226,0.79662526,0.5798996,0.46583176,9.302352504249367,0.018879578778758368,0.21311827
KDSB,DBT-UNet,b1,1.0,20,0,fold,KDSB_DBT-UNet_20pct_b1_fold0,0.9209936,0.71624666,0.94240487,0.7953507,0.78244674,6.709679634755952,0.24359887613493272,0.079006374,0.8374521,0.53525513,0.95276684,0.66194457,0.7318953,7.280939775025999,0.20102852133318228,0.16254789
KDSB,DBT-UNet,b1,1.0,20,1,fold,KDSB_DBT-UNet_20pct_b1_fold1,0.91527736,0.6379245,0.9587028,0.76124656,0.7502733,6.633614336958979,0.19255150157011822,0.08472261,0.9067828,0.6926689,0.89608806,0.76466084,0.7589027,6.747854830350681,0.20552662964121918,0.09321718
KDSB,DBT-UNet,b1,1.0,20,2,fold,KDSB_DBT-UNet_20pct_b1_fold2,0.84153366,0.49471378,0.751256,0.62279326,0.56077373,9.18926619481984,0.033219296224448545,0.15846634,0.8224861,0.5160554,0.7231098,0.6129137,0.5314966,9.253229291495837,0.046871097415118676,0.17751388
KDSB,DBT-UNet,b1,1.0,20,3,fold,KDSB_DBT-UNet_20pct_b1_fold3,0.8352165,0.31552863,0.963433,0.5668583,0.4427057,11.210165763854613,0.014207853332386704,0.16478348,0.8454099,0.5629333,0.7528133,0.647686,0.53129244,9.386854082927785,0.044675647770262575,0.15459009
KDSB,DBT-UNet,b1,1.0,20,4,fold,KDSB_DBT-UNet_20pct_b1_fold4,0.9683983,0.8495779,0.93866354,0.88427734,0.85540074,4.718147115611677,0.4494080978228731,0.031601716,0.9529343,0.85507625,0.8991927,0.8618834,0.85056245,5.3685402670017375,0.39146874236317364,0.047065668
KDSB,DBT-UNet,b1,1.0,50,0,fold,KDSB_DBT-UNet_50pct_b1_fold0,0.97397995,0.9258777,0.9057196,0.90709275,0.87736106,4.713825902887884,0.4938638813239947,0.02602005,0.962335,0.90432024,0.8917121,0.8848437,0.88768846,4.995019380359095,0.49117043965447227,0.037665013
