Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,actgelu,5,0,fold,KDSB_UNet_5pct_actgelu_fold0,25,92.5,False,0.8235553503036499,0.5405160188674927,0.5540741086006165,0.25733405351638794,0.671692967414856,0.3573818802833557,0.38356223702430725,0.44592589139938354,0.7253369688987732,0.367667019367218,0.6635489463806152,0.4982945919036865,0.5320679545402527,0.2746630012989044
KDSB,UNet,actgelu,5,1,fold,KDSB_UNet_5pct_actgelu_fold1,25,54.9,False,0.83261638879776,0.49541330337524414,0.7149902582168579,0.28336021304130554,0.5770866274833679,0.4611697196960449,0.4125046133995056,0.2850097715854645,0.7012307047843933,0.2873670160770416,0.41040509939193726,0.4399770498275757,0.32270556688308716,0.2987692952156067
KDSB,UNet,actgelu,5,2,fold,KDSB_UNet_5pct_actgelu_fold2,25,53.5,False,0.6910566687583923,0.4958043694496155,0.7654876708984375,0.21898487210273743,0.5830869674682617,0.4706186354160309,0.20952537655830383,0.2345123291015625,0.7067899703979492,0.2751443386077881,0.35329073667526245,0.43458253145217896,0.21613559126853943,0.2932099997997284
KDSB,UNet,actgelu,5,3,fold,KDSB_UNet_5pct_actgelu_fold3,25,56.6,False,0.7341140508651733,0.5383428931236267,0.5793731808662415,0.23759128153324127,0.9995810389518738,0.37674829363822937,0.4289911389350891,0.42062681913375854,0.7458445429801941,0.41491931676864624,0.8956901431083679,0.5454365015029907,0.6334243416786194,0.2541554868221283
KDSB,UNet,actgelu,5,4,fold,KDSB_UNet_5pct_actgelu_fold4,25,53.4,False,0.7144706845283508,0.5102102756500244,0.8426055908203125,0.612341582775116,0.16706404089927673,0.4945771396160126,0.4430204927921295,0.1573944091796875,0.720043957233429,0.3459623157978058,0.5683770775794983,0.4804772734642029,0.4871521592140198,0.27995601296424866
KDSB,UNet,actgelu,10,0,fold,KDSB_UNet_10pct_actgelu_fold0,51,44.8,False,0.7000349760055542,0.4722455143928528,0.7801499962806702,0.2333219349384308,0.4588078558444977,0.4758659601211548,0.36459580063819885,0.21985001862049103,0.6850529313087463,0.22886130213737488,0.2930546998977661,0.4071812033653259,0.21649213135242462,0.3149470388889313
KDSB,UNet,actgelu,10,1,fold,KDSB_UNet_10pct_actgelu_fold1,51,68.8,False,0.6535361409187317,0.4762919247150421,0.6954803466796875,0.2816893458366394,0.3509283661842346,0.4290173053741455,0.30588120222091675,0.3045196533203125,0.6750065088272095,0.18352371454238892,0.21700622141361237,0.3858788013458252,0.22761604189872742,0.3249935209751129
KDSB,UNet,actgelu,10,2,fold,KDSB_UNet_10pct_actgelu_fold2,51,54.5,False,0.6473321318626404,0.50164794921875,0.7406112551689148,0.2993471920490265,0.5735200643539429,0.48081889748573303,0.4293442666530609,0.2593887448310852,0.6966423392295837,0.28134623169898987,0.4066237509250641,0.4356480538845062,0.28240442276000977,0.30335766077041626
KDSB,UNet,actgelu,10,3,fold,KDSB_UNet_10pct_actgelu_fold3,51,55.5,False,0.8931132555007935,0.5310884118080139,0.8154190182685852,0.4160737693309784,0.4932798147201538,0.5458694696426392,0.5256463885307312,0.184580996632576,0.7323383092880249,0.36462464928627014,0.5925434827804565,0.49536919593811035,0.5515640377998352,0.2676616907119751
KDSB,UNet,actgelu,10,4,fold,KDSB_UNet_10pct_actgelu_fold4,51,54.6,False,0.9335517883300781,0.6068399548530579,0.15825805068016052,0.15825805068016052,1.0,0.07912902534008026,0.2504734396934509,0.8417419195175171,0.18587733805179596,0.18587733805179596,1.0,0.09293866902589798,0.29081475734710693,0.8141226768493652
