Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,actleakyrelu,5,0,fold,KDSB_UNet_5pct_actleakyrelu_fold0,25,89.1,False,0.8944979310035706,0.6420148611068726,0.19671936333179474,0.19671936333179474,1.0,0.09835968166589737,0.3182747960090637,0.8032806515693665,0.18587733805179596,0.18587733805179596,1.0,0.09293866902589798,0.29081475734710693,0.8141226768493652
KDSB,UNet,actleakyrelu,5,1,fold,KDSB_UNet_5pct_actleakyrelu_fold1,25,54.6,True,0.5432350635528564,0.449144572019577,0.8498199582099915,0.5574942827224731,0.039284057915210724,0.4435087740421295,0.09372203797101974,0.15018005669116974,0.8058151602745056,0.39622849225997925,0.085326187312603,0.439097136259079,0.09415588527917862,0.19418485462665558
KDSB,UNet,actleakyrelu,5,2,fold,KDSB_UNet_5pct_actleakyrelu_fold2,25,47.9,False,0.8374061584472656,0.5505002737045288,0.3934387266635895,0.13371942937374115,0.9961339831352234,0.2322358787059784,0.31957608461380005,0.6065613031387329,0.6041556596755981,0.3163353204727173,0.9727843403816223,0.41517043113708496,0.5349785685539246,0.39584434032440186
KDSB,UNet,actleakyrelu,5,3,fold,KDSB_UNet_5pct_actleakyrelu_fold3,25,48.7,False,0.7057239413261414,0.5308417081832886,0.3703369200229645,0.17204482853412628,0.9973233938217163,0.22378771007061005,0.3462373614311218,0.6296631097793579,0.6384387612342834,0.33164000511169434,0.9309011101722717,0.44322913885116577,0.6059040427207947,0.36156126856803894
KDSB,UNet,actleakyrelu,5,4,fold,KDSB_UNet_5pct_actleakyrelu_fold4,25,48.1,False,0.8114186525344849,0.49096500873565674,0.8393951654434204,0.5980525016784668,0.1285514086484909,0.47709256410598755,0.39322856068611145,0.16060486435890198,0.703765869140625,0.3019605875015259,0.4526277780532837,0.44887134432792664,0.37645837664604187,0.296234130859375
KDSB,UNet,actleakyrelu,10,0,fold,KDSB_UNet_10pct_actleakyrelu_fold0,51,40.4,False,0.8053853511810303,0.47732505202293396,0.7668970227241516,0.24096226692199707,0.5452512502670288,0.47652551531791687,0.36622297763824463,0.2331029772758484,0.6919416785240173,0.26834768056869507,0.380722314119339,0.4276443421840668,0.2580018639564514,0.30805832147598267
KDSB,UNet,actleakyrelu,10,1,fold,KDSB_UNet_10pct_actleakyrelu_fold1,51,64.1,False,0.6830632090568542,0.43518197536468506,0.7458648681640625,0.23968949913978577,0.1328175812959671,0.4162379801273346,0.08543114364147186,0.2541351318359375,0.7758402824401855,0.23216672241687775,0.08926431834697723,0.42048826813697815,0.10315165668725967,0.22415971755981445
KDSB,UNet,actleakyrelu,10,2,fold,KDSB_UNet_10pct_actleakyrelu_fold2,51,50.6,False,0.8191294074058533,0.5413346886634827,0.7663635015487671,0.37462562322616577,0.8863303065299988,0.5444563031196594,0.632140040397644,0.23363646864891052,0.7463042140007019,0.4053182005882263,0.7809459567070007,0.5335827469825745,0.6230872273445129,0.2536957859992981
KDSB,UNet,actleakyrelu,10,3,fold,KDSB_UNet_10pct_actleakyrelu_fold3,51,50.5,False,0.8508736491203308,0.42960742115974426,0.8002029657363892,0.32815200090408325,0.2843691110610962,0.48539257049560547,0.2400095909833908,0.19979706406593323,0.6897742748260498,0.24678871035575867,0.32600632309913635,0.416587769985199,0.20553195476531982,0.3102257549762726
KDSB,UNet,actleakyrelu,10,4,fold,KDSB_UNet_10pct_actleakyrelu_fold4,51,49.5,False,0.8579979538917542,0.5295432806015015,0.6761810183525085,0.2828761339187622,0.681476354598999,0.44343918561935425,0.42144179344177246,0.32381898164749146,0.7323858737945557,0.3792017698287964,0.6901936531066895,0.5085229873657227,0.5585220456123352,0.2676141560077667
