Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,actmish,5,0,fold,KDSB_UNet_5pct_actmish_fold0,25,96.1,False,0.7956435680389404,0.5676302313804626,0.19671936333179474,0.19671936333179474,1.0,0.09835968166589737,0.3182747960090637,0.8032806515693665,0.19172902405261993,0.1869712620973587,0.9999985098838806,0.09707963466644287,0.29191190004348755,0.8082709908485413
KDSB,UNet,actmish,5,1,fold,KDSB_UNet_5pct_actmish_fold1,25,54.7,False,0.9168671369552612,0.5429813861846924,0.6694427728652954,0.2566733956336975,0.6240702867507935,0.42862585186958313,0.3595310151576996,0.330557256937027,0.7222378253936768,0.3546442687511444,0.6030429601669312,0.4873476028442383,0.5053779482841492,0.27776220440864563
KDSB,UNet,actmish,5,2,fold,KDSB_UNet_5pct_actmish_fold2,25,147.3,False,0.9785774946212769,0.41055044531822205,0.949066162109375,0.6889026165008545,0.8347356915473938,0.7754759788513184,0.6541956067085266,0.050933837890625,0.9332323670387268,0.8412037491798401,0.7899108529090881,0.8045754432678223,0.7796892523765564,0.06676764786243439
KDSB,UNet,actmish,5,3,fold,KDSB_UNet_5pct_actmish_fold3,25,53.3,False,0.7350389361381531,0.46697142720222473,0.7401336431503296,0.16974574327468872,0.25234493613243103,0.4220923185348511,0.18523180484771729,0.259866327047348,0.7109370827674866,0.2557864785194397,0.2907169461250305,0.42596131563186646,0.1265844702720642,0.2890629172325134
KDSB,UNet,actmish,5,4,fold,KDSB_UNet_5pct_actmish_fold4,25,53.0,False,0.7348981499671936,0.5237842798233032,0.8514648675918579,0.7019385695457458,0.19836921989917755,0.5146563053131104,0.4940752387046814,0.14853516221046448,0.7398566007614136,0.384924054145813,0.6682273745536804,0.513062596321106,0.592375636100769,0.26014336943626404
KDSB,UNet,actmish,10,0,fold,KDSB_UNet_10pct_actmish_fold0,51,41.8,False,0.7226080894470215,0.5014297366142273,0.8044281005859375,0.2980128228664398,0.6067970395088196,0.520292341709137,0.6274314522743225,0.1955718994140625,0.7123015522956848,0.30595284700393677,0.4318455457687378,0.4526683986186981,0.4368811547756195,0.2876984179019928
KDSB,UNet,actmish,10,1,fold,KDSB_UNet_10pct_actmish_fold1,51,65.9,False,0.7653511166572571,0.5075541138648987,0.7259613275527954,0.37217605113983154,0.5668962001800537,0.4906216859817505,0.46448343992233276,0.274038702249527,0.7174142599105835,0.33022913336753845,0.5060111284255981,0.46889930963516235,0.46592792868614197,0.2825857698917389
KDSB,UNet,actmish,10,2,fold,KDSB_UNet_10pct_actmish_fold2,51,54.4,False,0.604664146900177,0.5008586049079895,0.7551468014717102,0.30672401189804077,0.5314298272132874,0.487941712141037,0.45039767026901245,0.244853213429451,0.7009296417236328,0.27936339378356934,0.38552719354629517,0.43556976318359375,0.31163644790649414,0.2990703284740448
KDSB,UNet,actmish,10,3,fold,KDSB_UNet_10pct_actmish_fold3,51,52.4,False,0.945721447467804,0.5265629887580872,0.8015457391738892,0.3835075795650482,0.4759044647216797,0.527743935585022,0.4471229910850525,0.19845429062843323,0.714534342288971,0.33564436435699463,0.5470749139785767,0.4724382758140564,0.4584929943084717,0.28546568751335144
KDSB,UNet,actmish,10,4,fold,KDSB_UNet_10pct_actmish_fold4,51,52.1,False,0.8302911520004272,0.5251162648200989,0.7155227661132812,0.2836993336677551,0.5230340361595154,0.4576195180416107,0.4289010465145111,0.28447723388671875,0.7186877131462097,0.33660435676574707,0.5288470983505249,0.4734848141670227,0.4788300096988678,0.2813122868537903
