Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,actsilu,5,0,fold,KDSB_UNet_5pct_actsilu_fold0,25,89.8,False,0.8547442555427551,0.6029271483421326,0.19671936333179474,0.19671936333179474,1.0,0.09835968166589737,0.3182747960090637,0.8032806515693665,0.18587733805179596,0.18587733805179596,1.0,0.09293866902589798,0.29081475734710693,0.8141226768493652
KDSB,UNet,actsilu,5,1,fold,KDSB_UNet_5pct_actsilu_fold1,25,50.6,False,0.8026702404022217,0.49884364008903503,0.7224334478378296,0.2895754873752594,0.5733376145362854,0.4671425223350525,0.44383400678634644,0.277566522359848,0.7091977000236511,0.30752357840538025,0.45094457268714905,0.4531693458557129,0.42195674777030945,0.2908022701740265
KDSB,UNet,actsilu,5,2,fold,KDSB_UNet_5pct_actsilu_fold2,25,50.9,False,0.7329561710357666,0.49086230993270874,0.6173003911972046,0.14794695377349854,0.6459179520606995,0.36471423506736755,0.31923291087150574,0.382699579000473,0.7045062780380249,0.28740859031677246,0.39863285422325134,0.4406712055206299,0.35233816504478455,0.2954937219619751
KDSB,UNet,actsilu,5,3,fold,KDSB_UNet_5pct_actsilu_fold3,25,53.0,False,0.7845759987831116,0.48831644654273987,0.721569836139679,0.2897219955921173,0.7739788293838501,0.478622168302536,0.500521719455719,0.27843016386032104,0.6938002109527588,0.26379361748695374,0.3614620566368103,0.42584317922592163,0.24268457293510437,0.3061997592449188
KDSB,UNet,actsilu,5,4,fold,KDSB_UNet_5pct_actsilu_fold4,25,53.5,False,0.7587306499481201,0.5216645002365112,0.8515960574150085,0.8520294427871704,0.13907140493392944,0.4919223189353943,0.4927132725715637,0.14840392768383026,0.7181601524353027,0.32815223932266235,0.49292024970054626,0.46753281354904175,0.46437305212020874,0.28183987736701965
KDSB,UNet,actsilu,10,0,fold,KDSB_UNet_10pct_actsilu_fold0,51,42.5,False,0.83521968126297,0.566478967666626,0.4036157727241516,0.15158605575561523,0.9914810657501221,0.24199967086315155,0.35733526945114136,0.5963842272758484,0.5939610004425049,0.31192746758461,0.9822307229042053,0.40672406554222107,0.5314932465553284,0.4060389995574951
KDSB,UNet,actsilu,10,1,fold,KDSB_UNet_10pct_actsilu_fold1,51,65.9,False,0.8950620889663696,0.5570055246353149,0.7222442626953125,0.3821256160736084,0.6617283225059509,0.500115156173706,0.5029913187026978,0.2777557373046875,0.736350417137146,0.39092057943344116,0.7497456073760986,0.5197288990020752,0.5846480131149292,0.2636496126651764
KDSB,UNet,actsilu,10,2,fold,KDSB_UNet_10pct_actsilu_fold2,51,51.4,False,0.9544874429702759,0.5359378457069397,0.7738083004951477,0.36969366669654846,0.769538938999176,0.5389397144317627,0.6067979335784912,0.2261917144060135,0.721000611782074,0.3415011167526245,0.5397118926048279,0.47718220949172974,0.4920894503593445,0.278999388217926
KDSB,UNet,actsilu,10,3,fold,KDSB_UNet_10pct_actsilu_fold3,51,50.7,False,0.8050151467323303,0.5227553844451904,0.81610107421875,0.41505107283592224,0.47531965374946594,0.5431119203567505,0.4983791410923004,0.18389892578125,0.7262976169586182,0.3518623411655426,0.5611375570297241,0.4851773977279663,0.5166581273078918,0.2737024128437042
KDSB,UNet,actsilu,10,4,fold,KDSB_UNet_10pct_actsilu_fold4,51,50.7,False,0.9807991981506348,0.551238477230072,0.6649688482284546,0.28258341550827026,0.7258957028388977,0.43841150403022766,0.4134303629398346,0.335031121969223,0.7259656190872192,0.37747159600257874,0.7305467128753662,0.5071236491203308,0.540074348449707,0.27403438091278076
