Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,base,1,0,fold,KDSB_UNet_1pct_fold0,5,57.9,False,0.7493302226066589,0.4594123661518097,0.9244384765625,0.4599097669124603,0.9333176612854004,0.682418942451477,0.6778918504714966,0.0755615234375,0.6917404532432556,0.2542649805545807,0.34062880277633667,0.4206502437591553,0.21054121851921082,0.3082595765590668
KDSB,UNet,base,1,1,fold,KDSB_UNet_1pct_fold1,5,31.5,False,0.6226872801780701,0.4972773492336273,0.0352935791015625,0.0352935791015625,1.0,0.01764678955078125,0.06806717067956924,0.9647064208984375,0.7237841486930847,0.29547247290611267,0.3510602116584778,0.4477997124195099,0.2935866713523865,0.2762158513069153
KDSB,UNet,base,1,2,fold,KDSB_UNet_1pct_fold2,5,31.8,False,0.8076613545417786,0.5631191730499268,0.5755157470703125,0.2418510913848877,0.9998873472213745,0.3754402697086334,0.5045220851898193,0.4244842529296875,0.28362321853637695,0.20599639415740967,0.9998513460159302,0.1630413979291916,0.31836411356925964,0.716376781463623
KDSB,UNet,base,1,3,fold,KDSB_UNet_1pct_fold3,5,52.0,True,0.5006587505340576,0.4815080761909485,0.76806640625,0.0,0.0,0.384033203125,0.031211016699671745,0.23193359375,0.8141222596168518,0.0,0.0,0.4070611298084259,0.0003699891676660627,0.1858777552843094
KDSB,UNet,base,1,4,fold,KDSB_UNet_1pct_fold4,5,31.3,False,0.6859232187271118,0.513097882270813,0.8680877685546875,0.2583218812942505,1.0,0.5600285530090332,0.6647569537162781,0.1319122314453125,0.6589877605438232,0.35044217109680176,0.9778229594230652,0.46545910835266113,0.49085551500320435,0.34101220965385437
KDSB,UNet,base,5,0,fold,KDSB_UNet_5pct_fold0,25,0.0,False,0.6629447340965271,0.4683122932910919,0.5495147705078125,0.18670785427093506,0.38438746333122253,0.3281969428062439,0.25286394357681274,0.4504852294921875,0.6874381303787231,0.2269081324338913,0.28314465284347534,0.4070952534675598,0.13658246397972107,0.31256186962127686
KDSB,UNet,base,5,1,fold,KDSB_UNet_5pct_fold1,25,0.0,False,0.6833642721176147,0.46132490038871765,0.7911010980606079,0.3366173505783081,0.39116764068603516,0.49941903352737427,0.3577401041984558,0.20889893174171448,0.8246332406997681,0.5641427040100098,0.24866288900375366,0.5123620629310608,0.30107876658439636,0.17536678910255432
KDSB,UNet,base,5,2,fold,KDSB_UNet_5pct_fold2,25,0.0,False,0.9728055000305176,0.4461688697338104,0.9226166009902954,0.5511833429336548,0.9487996101379395,0.7251536846160889,0.6641536951065063,0.07738342136144638,0.9180284142494202,0.7119067311286926,0.938991129398346,0.7905648946762085,0.7665696740150452,0.08197159320116043
KDSB,UNet,base,5,3,fold,KDSB_UNet_5pct_fold3,25,0.0,False,0.8958120346069336,0.5619640946388245,0.27149659395217896,0.152530699968338,1.0,0.1570461392402649,0.2855598032474518,0.728503406047821,0.6162417531013489,0.3248302638530731,0.987062931060791,0.42673245072364807,0.5350948572158813,0.3837582767009735
KDSB,UNet,base,5,4,fold,KDSB_UNet_5pct_fold4,25,0.0,True,0.6571977734565735,0.47903671860694885,0.8302154541015625,0.03369272127747536,0.0004550170269794762,0.4153258502483368,0.0035452961456030607,0.1697845458984375,0.8118375539779663,0.43509531021118164,0.04120580106973648,0.4247492551803589,0.04598728567361832,0.1881624460220337
KDSB,UNet,base,10,0,fold,KDSB_UNet_10pct_fold0,51,0.0,False,0.8542709946632385,0.5235319137573242,0.7927884459495544,0.2993743419647217,0.6946365833282471,0.5203281044960022,0.6012758016586304,0.20721158385276794,0.7203128337860107,0.33702796697616577,0.5218486785888672,0.4738883972167969,0.4845259487628937,0.27968713641166687
KDSB,UNet,base,10,1,fold,KDSB_UNet_10pct_fold1,51,0.0,False,0.726987898349762,0.5027040243148804,0.7179168462753296,0.3422381579875946,0.466609925031662,0.46766185760498047,0.40787792205810547,0.282083123922348,0.7116031050682068,0.30796003341674805,0.4422348141670227,0.4537902772426605,0.41161689162254333,0.2883968949317932
KDSB,UNet,base,10,2,fold,KDSB_UNet_10pct_fold2,51,0.0,False,0.746366560459137,0.46879035234451294,0.755401611328125,0.29621422290802,0.48548951745033264,0.4810480773448944,0.4541896879673004,0.244598388671875,0.6926203370094299,0.24983668327331543,0.32640787959098816,0.4188062846660614,0.29584741592407227,0.3073796331882477
KDSB,UNet,base,10,3,fold,KDSB_UNet_10pct_fold3,51,0.0,True,0.6537284255027771,0.4095591604709625,0.8352157473564148,0.21189258992671967,0.025889582931995392,0.42908596992492676,0.05069965869188309,0.164784237742424,0.8121840953826904,0.359809935092926,0.013383731245994568,0.41239407658576965,0.03170570731163025,0.18781590461730957
KDSB,UNet,base,10,4,fold,KDSB_UNet_10pct_fold4,51,0.0,False,0.8723444938659668,0.5106629133224487,0.7262786626815796,0.2630454897880554,0.40496161580085754,0.448626309633255,0.37891724705696106,0.273721307516098,0.7070682048797607,0.30255699157714844,0.4412793219089508,0.4498249888420105,0.3797909915447235,0.29293176531791687
KDSB,UNet,base,20,0,fold,KDSB_UNet_20pct_fold0,102,0.0,False,0.9958272576332092,0.4283692240715027,0.9271509051322937,0.7281448841094971,0.9616904258728027,0.8095886707305908,0.7648880481719971,0.0728490948677063,0.9271528720855713,0.7334014773368835,0.9553804397583008,0.8102679252624512,0.7860187888145447,0.07284710556268692
KDSB,UNet,base,20,1,fold,KDSB_UNet_20pct_fold1,102,0.0,False,0.7020511627197266,0.44962701201438904,0.7090846300125122,0.20322078466415405,0.34588736295700073,0.42027899622917175,0.17121413350105286,0.2909153401851654,0.6875358819961548,0.2348218411207199,0.30153146386146545,0.4105377495288849,0.16594426333904266,0.3124641180038452
KDSB,UNet,base,20,2,fold,KDSB_UNet_20pct_fold2,102,0.0,False,0.9976376295089722,0.44442838430404663,0.9591598510742188,0.8111157417297363,0.9622107148170471,0.8690119981765747,0.8516661524772644,0.04084014892578125,0.931567907333374,0.748727023601532,0.9509978294372559,0.8188940286636353,0.8147972226142883,0.06843209266662598
