Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,UNet,base,1,ensemble,filtered,4,5,3,0.7097099423408508,0.3300319015979767,0.5453628301620483,0.46789300441741943,0.44518229365348816,0.29029008746147156,9.835697357314906,0.0698270399679528
KDSB,UNet,base,1,ensemble,unfiltered,5,5,,0.708282470703125,0.3218296468257904,0.514262318611145,0.4621279537677765,0.43074771761894226,0.291717529296875,9.805085569214903,0.07225562568748412
KDSB,UNet,base,5,ensemble,filtered,4,5,4,0.8051984906196594,0.4877976179122925,0.959638774394989,0.6204490065574646,0.7030970454216003,0.19480153918266296,7.664452030279899,0.1923233948739615
KDSB,UNet,base,5,ensemble,unfiltered,5,5,,0.8514657020568848,0.558803141117096,0.9545787572860718,0.6818777322769165,0.7251054644584656,0.14853428304195404,7.494854706621754,0.19720996798952214
KDSB,UNet,base,10,ensemble,filtered,4,5,3,0.7110048532485962,0.30819445848464966,0.4456981420516968,0.45384904742240906,0.40614843368530273,0.2889951467514038,9.629751936479762,0.08358920922572494
KDSB,UNet,base,10,ensemble,unfiltered,5,5,,0.7030404806137085,0.2862960994243622,0.40030500292778015,0.43976473808288574,0.33552366495132446,0.2969595491886139,9.888682782097675,0.054993730266997734
KDSB,UNet,base,20,ensemble,filtered,5,5,,0.9334837794303894,0.7508293390274048,0.9611015915870667,0.8238511085510254,0.8134371042251587,0.0665162205696106,5.875470731996435,0.2643324981893415
KDSB,UNet,base,20,ensemble,unfiltered,5,5,,0.9334837794303894,0.7508293390274048,0.9611015915870667,0.8238511085510254,0.8134371042251587,0.0665162205696106,5.875470731996435,0.2643324981893415
KDSB,UNet,base,50,ensemble,filtered,5,5,,0.9642401337623596,0.888988733291626,0.9228562712669373,0.8921656012535095,0.8984532952308655,0.03575986623764038,4.856716277246622,0.5268694711651521
KDSB,UNet,base,50,ensemble,unfiltered,5,5,,0.9642401337623596,0.888988733291626,0.9228562712669373,0.8921656012535095,0.8984532952308655,0.03575986623764038,4.856716277246622,0.5268694711651521
