Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,d5,5,0,fold,KDSB_UNet_5pct_d5_fold0,25,108.2,False,0.9133673906326294,0.7887272834777832,0.19671936333179474,0.19671936333179474,1.0,0.09835968166589737,0.3182747960090637,0.8032806515693665,0.18587733805179596,0.18587733805179596,1.0,0.09293866902589798,0.29081475734710693,0.8141226768493652
KDSB,UNet,d5,5,1,fold,KDSB_UNet_5pct_d5_fold1,25,57.3,False,0.7956593632698059,0.4773543179035187,0.7028869390487671,0.27907493710517883,0.6078245639801025,0.4546321630477905,0.39663535356521606,0.2971130311489105,0.7282105684280396,0.3322802782058716,0.457844614982605,0.4706922173500061,0.4192613959312439,0.27178940176963806
KDSB,UNet,d5,5,2,fold,KDSB_UNet_5pct_d5_fold2,25,58.8,False,0.9060859680175781,0.4976428747177124,0.6141449213027954,0.1534755378961563,0.6881842613220215,0.3654870092868805,0.3206641674041748,0.385855108499527,0.6919735670089722,0.28696537017822266,0.44260165095329285,0.437574177980423,0.30725979804992676,0.30802643299102783
KDSB,UNet,d5,5,3,fold,KDSB_UNet_5pct_d5_fold3,25,68.3,False,0.6570383310317993,0.5496425032615662,0.1311187744140625,0.1311187744140625,1.0,0.06555938720703125,0.22580668330192566,0.8688812255859375,0.1859820932149887,0.18589431047439575,0.9999785423278809,0.09301356226205826,0.29085493087768555,0.8140178918838501
KDSB,UNet,d5,5,4,fold,KDSB_UNet_5pct_d5_fold4,25,61.9,False,0.7851442098617554,0.7344337105751038,0.16767272353172302,0.16767272353172302,1.0,0.08383636176586151,0.2583400309085846,0.8323272466659546,0.18587733805179596,0.18587733805179596,1.0,0.09293866902589798,0.29081475734710693,0.8141226768493652
KDSB,UNet,d5,10,0,fold,KDSB_UNet_10pct_d5_fold0,51,47.3,False,0.9216786026954651,0.5427093505859375,0.775505781173706,0.2850119173526764,0.7238905429840088,0.506832480430603,0.5574691295623779,0.22449423372745514,0.7221643924713135,0.35234978795051575,0.5903019309043884,0.48551833629608154,0.5105511546134949,0.2778356075286865
KDSB,UNet,d5,10,1,fold,KDSB_UNet_10pct_d5_fold1,51,77.8,False,0.6138635873794556,0.4966374933719635,0.32979124784469604,0.19108478724956512,0.7416679263114929,0.19705626368522644,0.22433170676231384,0.670208752155304,0.3176489472389221,0.1698044240474701,0.6867798566818237,0.18769732117652893,0.2070542722940445,0.6823510527610779
KDSB,UNet,d5,10,2,fold,KDSB_UNet_10pct_d5_fold2,51,60.7,False,0.9745035171508789,0.6395110487937927,0.18072357773780823,0.15180692076683044,0.9999167323112488,0.0958787277340889,0.25589418411254883,0.8192764520645142,0.20453815162181854,0.18940775096416473,0.9999644756317139,0.10616788268089294,0.29426413774490356,0.7954618334770203
KDSB,UNet,d5,10,3,fold,KDSB_UNet_10pct_d5_fold3,51,63.1,False,0.5941581726074219,0.5339456796646118,0.20847931504249573,0.16265656054019928,0.9984636902809143,0.11366672813892365,0.27998319268226624,0.7915207147598267,0.2805449366569519,0.19972342252731323,0.9546600580215454,0.16159142553806305,0.3161877393722534,0.7194550633430481
KDSB,UNet,d5,10,4,fold,KDSB_UNet_10pct_d5_fold4,51,62.6,False,0.6833814382553101,0.5858240127563477,0.15825805068016052,0.15825805068016052,1.0,0.07912902534008026,0.2504734396934509,0.8417419195175171,0.18587733805179596,0.18587733805179596,1.0,0.09293866902589798,0.29081475734710693,0.8141226768493652
