Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,noskip,5,0,fold,KDSB_UNet_5pct_noskip_fold0,25,84.2,False,0.6230983734130859,0.44775500893592834,0.7911712527275085,0.4502931237220764,0.278819739818573,0.49353423714637756,0.271287202835083,0.20882873237133026,0.8088546395301819,0.44688063859939575,0.11921408772468567,0.45420414209365845,0.12431307137012482,0.19114534556865692
KDSB,UNet,noskip,5,1,fold,KDSB_UNet_5pct_noskip_fold1,25,49.2,False,0.7759458422660828,0.4850941300392151,0.640978991985321,0.22447937726974487,0.5586035847663879,0.3992345929145813,0.29223373532295227,0.35902100801467896,0.686386227607727,0.26577436923980713,0.38988539576530457,0.42479488253593445,0.2517881989479065,0.31361374258995056
KDSB,UNet,noskip,5,2,fold,KDSB_UNet_5pct_noskip_fold2,25,48.4,False,0.7241830229759216,0.48933765292167664,0.6049346923828125,0.14754754304885864,0.6709983348846436,0.3579757511615753,0.2842583656311035,0.3950653076171875,0.6792634129524231,0.27052944898605347,0.42767298221588135,0.42509329319000244,0.29748937487602234,0.3207365870475769
KDSB,UNet,noskip,5,3,fold,KDSB_UNet_5pct_noskip_fold3,25,48.4,False,0.6449712514877319,0.4591546356678009,0.8114074468612671,0.37148043513298035,0.6334923505783081,0.5500442981719971,0.4346153140068054,0.18859252333641052,0.765555739402771,0.355995774269104,0.32296377420425415,0.4772210419178009,0.19813653826713562,0.2344442903995514
KDSB,UNet,noskip,5,4,fold,KDSB_UNet_5pct_noskip_fold4,25,47.1,True,0.6080932021141052,0.48997762799263,0.8332732915878296,0.5340509414672852,0.04424585402011871,0.4373142123222351,0.16816282272338867,0.16672667860984802,0.6895277500152588,0.251835435628891,0.34011110663414,0.4188748896121979,0.19956643879413605,0.3104722201824188
KDSB,UNet,noskip,10,0,fold,KDSB_UNet_10pct_noskip_fold0,51,39.1,False,0.8555499315261841,0.5112963318824768,0.741455078125,0.2334759384393692,0.6173197031021118,0.46353501081466675,0.38282710313796997,0.258544921875,0.6865538358688354,0.2795407474040985,0.43511584401130676,0.43203890323638916,0.28510671854019165,0.31344619393348694
KDSB,UNet,noskip,10,1,fold,KDSB_UNet_10pct_noskip_fold1,51,63.9,False,0.7912548780441284,0.45001333951950073,0.6963699460029602,0.31128036975860596,0.44487854838371277,0.4456815719604492,0.24108032882213593,0.3036300539970398,0.6869974136352539,0.25011077523231506,0.34226322174072266,0.417325884103775,0.18819180130958557,0.3130025863647461
KDSB,UNet,noskip,10,2,fold,KDSB_UNet_10pct_noskip_fold2,51,49.6,False,0.9217943549156189,0.4557041823863983,0.7279449701309204,0.2755288779735565,0.5248847603797913,0.462893545627594,0.373709112405777,0.272055059671402,0.6879212260246277,0.2594989836215973,0.3662913739681244,0.42210763692855835,0.21621528267860413,0.3120788037776947
KDSB,UNet,noskip,10,3,fold,KDSB_UNet_10pct_noskip_fold3,51,50.0,True,0.6619435548782349,0.3385413587093353,0.8428741693496704,0.3731742799282074,0.030389532446861267,0.4355246126651764,0.07834303379058838,0.15712586045265198,0.8134219646453857,0.4552980959415436,0.019196635112166405,0.41575977206230164,0.044028446078300476,0.18657800555229187
KDSB,UNet,noskip,10,4,fold,KDSB_UNet_10pct_noskip_fold4,51,50.5,False,0.8212316036224365,0.45899441838264465,0.7036819458007812,0.2042532116174698,0.30124571919441223,0.41371986269950867,0.25506749749183655,0.29631805419921875,0.6870060563087463,0.255349725484848,0.35689088702201843,0.4198242127895355,0.21027891337871552,0.3129939138889313
