Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,outbn0,5,0,fold,KDSB_UNet_5pct_outbn0_fold0,25,90.1,False,0.8085746765136719,0.5389837026596069,0.6183074712753296,0.3081267178058624,0.7549991607666016,0.415923535823822,0.5781224966049194,0.381692498922348,0.76123046875,0.4203634560108185,0.7510132193565369,0.5457183122634888,0.6807169914245605,0.23876953125
KDSB,UNet,outbn0,5,1,fold,KDSB_UNet_5pct_outbn0_fold1,25,143.5,False,1.0,0.14788749814033508,0.9540252685546875,0.8813413381576538,0.8046882748603821,0.836838960647583,0.8584381341934204,0.0459747314453125,0.9213300943374634,0.8872909545898438,0.660689115524292,0.7599251866340637,0.760565996170044,0.07866992056369781
KDSB,UNet,outbn0,5,2,fold,KDSB_UNet_5pct_outbn0_fold2,25,53.1,False,0.9788565635681152,0.484328031539917,0.622296154499054,0.1617472618818283,0.722263753414154,0.3735405206680298,0.4344695210456848,0.37770384550094604,0.7149518132209778,0.3155360221862793,0.45631521940231323,0.4589278995990753,0.44118595123291016,0.2850481867790222
KDSB,UNet,outbn0,5,3,fold,KDSB_UNet_5pct_outbn0_fold3,25,57.6,False,0.7398561239242554,0.4436792731285095,0.749969482421875,0.25164762139320374,0.45946699380874634,0.4640531539916992,0.44671717286109924,0.250030517578125,0.6905215382575989,0.24156491458415985,0.31077665090560913,0.41442230343818665,0.1813088357448578,0.3094784915447235
KDSB,UNet,outbn0,5,4,fold,KDSB_UNet_5pct_outbn0_fold4,25,47.5,False,0.7250373363494873,0.5042802691459656,0.8121063113212585,0.3682389557361603,0.16852010786533356,0.46868395805358887,0.3100380599498749,0.18789367377758026,0.6973749399185181,0.3240901827812195,0.5785858631134033,0.46155235171318054,0.4107873737812042,0.3026250898838043
KDSB,UNet,outbn0,10,0,fold,KDSB_UNet_10pct_outbn0_fold0,51,106.6,False,1.0,0.18410512804985046,0.9799097180366516,0.9057539105415344,0.9071706533432007,0.9033342599868774,0.898453950881958,0.02009027637541294,0.9493082165718079,0.8708235621452332,0.8539585471153259,0.8488447666168213,0.8350824117660522,0.05069176107645035
KDSB,UNet,outbn0,10,1,fold,KDSB_UNet_10pct_outbn0_fold1,51,63.8,True,0.6135994791984558,0.38789820671081543,0.8083831667900085,0.8315922021865845,0.035718705505132675,0.42124292254447937,0.01941577158868313,0.19161681830883026,0.8144180774688721,0.5776765942573547,0.005909786093980074,0.410049170255661,0.02571830525994301,0.18558192253112793
KDSB,UNet,outbn0,10,2,fold,KDSB_UNet_10pct_outbn0_fold2,51,53.2,False,0.8450429439544678,0.5163211226463318,0.7915390133857727,0.3922431170940399,0.7672705054283142,0.5578241944313049,0.6719456911087036,0.2084610015153885,0.7323676943778992,0.3599131107330322,0.5650120973587036,0.491392582654953,0.5515655279159546,0.26763227581977844
KDSB,UNet,outbn0,10,3,fold,KDSB_UNet_10pct_outbn0_fold3,51,48.4,False,0.8557508587837219,0.4908106029033661,0.8057662844657898,0.380937784910202,0.4186539649963379,0.5207658410072327,0.4115467667579651,0.194233700633049,0.7129916548728943,0.32200711965560913,0.4921422302722931,0.4628938138484955,0.4376770853996277,0.2870083451271057
KDSB,UNet,outbn0,10,4,fold,KDSB_UNet_10pct_outbn0_fold4,51,48.4,True,0.5932179093360901,0.40700867772102356,0.8390868902206421,0.3706512153148651,0.024036793038249016,0.43078336119651794,0.07658344507217407,0.16091307997703552,0.8167111277580261,0.6660903692245483,0.027924127876758575,0.42164674401283264,0.05882114917039871,0.1832888424396515
KDSB,UNet,outbn0,1,0,fold,KDSB_UNet_1pct_outbn0_fold0,5,57.0,False,0.7980026006698608,0.4515380263328552,0.929412841796875,0.47269752621650696,0.7459497451782227,0.6664838790893555,0.6351218819618225,0.070587158203125,0.6894920468330383,0.24469825625419617,0.3213256597518921,0.4155452251434326,0.1739773005247116,0.31050798296928406
KDSB,UNet,outbn0,1,1,fold,KDSB_UNet_1pct_outbn0_fold1,5,31.6,True,0.6038793921470642,0.480466365814209,0.9647064208984375,0.0,0.0,0.48235321044921875,0.5234590172767639,0.0352935791015625,0.8407202363014221,0.8623757362365723,0.1702641099691391,0.5006372928619385,0.13611261546611786,0.15927976369857788
KDSB,UNet,outbn0,1,2,fold,KDSB_UNet_1pct_outbn0_fold2,5,113.3,False,0.8456946015357971,0.5178477168083191,0.6667633056640625,0.26291149854660034,0.8099154829978943,0.4366713762283325,0.546734094619751,0.3332366943359375,0.7544260025024414,0.41009363532066345,0.7324636578559875,0.5361953377723694,0.6618102192878723,0.2455739825963974
KDSB,UNet,outbn0,1,3,fold,KDSB_UNet_1pct_outbn0_fold3,5,49.7,False,0.6580647826194763,0.4883885383605957,0.8193817138671875,0.6094085574150085,0.6161842346191406,0.615497350692749,0.5839012265205383,0.1806182861328125,0.8141597509384155,0.5001055598258972,0.4730920195579529,0.558720588684082,0.47941166162490845,0.18584023416042328
KDSB,UNet,outbn0,1,4,fold,KDSB_UNet_1pct_outbn0_fold4,5,33.3,False,0.7009454369544983,0.49401453137397766,0.935089111328125,0.24518245458602905,0.19860512018203735,0.5288697481155396,0.6208012104034424,0.064910888671875,0.6839162707328796,0.25364261865615845,0.3606056571006775,0.418082594871521,0.20212222635746002,0.31608375906944275
KDSB,UNet,outbn0,20,0,fold,KDSB_UNet_20pct_outbn0_fold0,102,82.2,True,0.5576708316802979,0.42156025767326355,0.8168327808380127,0.7953367829322815,0.0012167426757514477,0.4090041220188141,0.002609318820759654,0.1831672340631485,0.8281795978546143,0.8906785845756531,0.08620551973581314,0.45534226298332214,0.07199708372354507,0.17182043194770813
KDSB,UNet,outbn0,20,1,fold,KDSB_UNet_20pct_outbn0_fold1,102,54.5,False,0.8659226298332214,0.47082996368408203,0.7216673493385315,0.24949528276920319,0.4597923457622528,0.4473830461502075,0.35368749499320984,0.2783326506614685,0.7044809460639954,0.2898028492927551,0.40662598609924316,0.44199472665786743,0.35149383544921875,0.29551902413368225
