Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE,Test HD,Test MyIoU
KDSB,UNet,outbn0,5,ensemble,filtered,5,5,,0.7597947716712952,0.4145650565624237,0.7091262340545654,0.5388202667236328,0.6779833436012268,0.24020522832870483,8.126164642033755,0.25633415668969844
KDSB,UNet,outbn0,5,ensemble,unfiltered,5,5,,0.7597947716712952,0.4145650565624237,0.7091262340545654,0.5388202667236328,0.6779833436012268,0.24020522832870483,8.126164642033755,0.25633415668969844
KDSB,UNet,outbn0,10,ensemble,filtered,3,5,"1,4",0.9412823915481567,0.8204193115234375,0.8758109211921692,0.8323936462402344,0.8377048969268799,0.05871760845184326,5.494828939530341,0.4000529264810515
KDSB,UNet,outbn0,10,ensemble,unfiltered,5,5,,0.9474055767059326,0.8656288981437683,0.8488075137138367,0.8437710404396057,0.8413180708885193,0.05259443446993828,5.475605920264058,0.40890698900365285
KDSB,UNet,outbn0,1,ensemble,filtered,4,5,1,0.7184547185897827,0.32498058676719666,0.4778384864330292,0.4654132127761841,0.46497800946235657,0.2815452814102173,9.312429549988739,0.1217175733745329
KDSB,UNet,outbn0,1,ensemble,unfiltered,5,5,,0.7138603329658508,0.3121214509010315,0.44805142283439636,0.45665252208709717,0.42771875858306885,0.28613969683647156,9.454221031235447,0.09481778632277967
KDSB,UNet,outbn0,20,ensemble,filtered,4,5,0,0.9546095132827759,0.8788706660270691,0.8766236901283264,0.8639504909515381,0.8640943765640259,0.045390497893095016,5.182287249045665,0.44522021151002744
KDSB,UNet,outbn0,20,ensemble,unfiltered,5,5,,0.9543664455413818,0.8813714385032654,0.8718424439430237,0.8629103899002075,0.8625173568725586,0.04563353955745697,5.188346309401083,0.4462159345788292
KDSB,UNet,outbn0,50,ensemble,filtered,5,5,,0.9615442752838135,0.8927592039108276,0.9013898968696594,0.8835646510124207,0.8795412182807922,0.038455720990896225,5.002074575266605,0.47538818948971995
KDSB,UNet,outbn0,50,ensemble,unfiltered,5,5,,0.9615442752838135,0.8927592039108276,0.9013898968696594,0.8835646510124207,0.8795412182807922,0.038455720990896225,5.002074575266605,0.47538818948971995
