Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,outsoftmax,5,0,fold,KDSB_UNet_5pct_outsoftmax_fold0,25,88.3,False,0.9817951917648315,0.6105706095695496,0.321237176656723,0.2224908322095871,0.9822993874549866,0.19013051688671112,0.40523266792297363,0.6787627935409546,0.5992046594619751,0.3143427073955536,0.9788309931755066,0.41114237904548645,0.5311377644538879,0.4007953405380249
KDSB,UNet,outsoftmax,5,1,fold,KDSB_UNet_5pct_outsoftmax_fold1,25,48.4,False,0.7085245847702026,0.48064085841178894,0.7427428960800171,0.29905566573143005,0.5202265381813049,0.4775767922401428,0.4448460638523102,0.2572570741176605,0.693058431148529,0.2550303637981415,0.3390306234359741,0.42137622833251953,0.21581098437309265,0.30694153904914856
KDSB,UNet,outsoftmax,5,2,fold,KDSB_UNet_5pct_outsoftmax_fold2,25,50.1,False,0.927323579788208,0.5503529906272888,0.597210705280304,0.18240244686603546,0.9441538453102112,0.36923304200172424,0.5093847513198853,0.40278929471969604,0.7477267384529114,0.39937323331832886,0.7088437676429749,0.5262677073478699,0.6256336569786072,0.252273291349411
KDSB,UNet,outsoftmax,5,3,fold,KDSB_UNet_5pct_outsoftmax_fold3,25,49.0,False,0.8645288348197937,0.5166926383972168,0.6876007318496704,0.2941490411758423,0.9878040552139282,0.4671015739440918,0.5069564580917358,0.312399297952652,0.716805100440979,0.3377344608306885,0.544858455657959,0.47415509819984436,0.4656793475151062,0.2831948697566986
KDSB,UNet,outsoftmax,5,4,fold,KDSB_UNet_5pct_outsoftmax_fold4,25,55.6,False,0.7738401293754578,0.6272457838058472,0.16767272353172302,0.16767272353172302,1.0,0.08383636176586151,0.2583400309085846,0.8323272466659546,0.18579019606113434,0.18580016493797302,0.9994778633117676,0.09289714694023132,0.290691614151001,0.8142098188400269
KDSB,UNet,outsoftmax,10,0,fold,KDSB_UNet_10pct_outsoftmax_fold0,51,139.7,False,0.9999997615814209,0.2234746813774109,0.9788693785667419,0.8742048740386963,0.9380663633346558,0.9015028476715088,0.893000066280365,0.021130649372935295,0.9524581432342529,0.8635818362236023,0.8838498592376709,0.8593388795852661,0.8418762683868408,0.04754184931516647
KDSB,UNet,outsoftmax,10,1,fold,KDSB_UNet_10pct_outsoftmax_fold1,51,64.6,False,0.9609664082527161,0.6194095015525818,0.3976699709892273,0.2463313639163971,0.9972304105758667,0.2481769174337387,0.36983346939086914,0.6023300290107727,0.3020426332950592,0.21016590297222137,0.9988359212875366,0.17651498317718506,0.3308800756931305,0.6979573369026184
KDSB,UNet,outsoftmax,10,2,fold,KDSB_UNet_10pct_outsoftmax_fold2,51,51.2,False,0.6519693732261658,0.39748677611351013,0.8575210571289062,0.5803014039993286,0.10256703943014145,0.4754146635532379,0.151590958237648,0.14247894287109375,0.8158336877822876,0.5237849354743958,0.10135752707719803,0.45255133509635925,0.11797202378511429,0.1841662973165512
KDSB,UNet,outsoftmax,10,3,fold,KDSB_UNet_10pct_outsoftmax_fold3,51,49.5,True,0.6915574669837952,0.3443867564201355,0.8496200442314148,0.8162381649017334,0.029893944039940834,0.4393094480037689,0.03804033622145653,0.150379940867424,0.82805335521698,0.9034292101860046,0.08391585946083069,0.4542493224143982,0.07535140216350555,0.17194661498069763
KDSB,UNet,outsoftmax,10,4,fold,KDSB_UNet_10pct_outsoftmax_fold4,51,53.4,False,0.7649610638618469,0.5037003755569458,0.7706955075263977,0.31751519441604614,0.3905569016933441,0.48395368456840515,0.44925132393836975,0.2293045073747635,0.7095228433609009,0.29998040199279785,0.4219828248023987,0.4487076997756958,0.3955804705619812,0.2904771566390991
