Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,UNet,outtanh,5,0,fold,KDSB_UNet_5pct_outtanh_fold0,25,181.5,False,0.9999762773513794,0.5173090100288391,0.8152862787246704,0.515866756439209,0.9921037554740906,0.6421259641647339,0.6456097364425659,0.18471375107765198,0.8130940198898315,0.4985620975494385,0.9594235420227051,0.6303972601890564,0.560810387134552,0.18690600991249084
KDSB,UNet,outtanh,5,1,fold,KDSB_UNet_5pct_outtanh_fold1,25,59.6,True,0.44033297896385193,0.3754459619522095,0.8485931158065796,0.0,0.0,0.4242965579032898,0.000135813927045092,0.15140685439109802,0.8141226768493652,0.0,0.0,0.4070613384246826,0.0003699925437103957,0.18587733805179596
KDSB,UNet,outtanh,5,2,fold,KDSB_UNet_5pct_outtanh_fold2,25,48.8,False,0.9363117814064026,0.49560967087745667,0.6282196044921875,0.17040270566940308,0.7645950317382812,0.3806796669960022,0.49084702134132385,0.3717803955078125,0.7188793420791626,0.32634204626083374,0.48145565390586853,0.4663592576980591,0.47280699014663696,0.2811206579208374
KDSB,UNet,outtanh,5,3,fold,KDSB_UNet_5pct_outtanh_fold3,25,48.4,False,0.9420854449272156,0.5456470847129822,0.7227081060409546,0.3159666061401367,0.9570115208625793,0.4972325563430786,0.570252537727356,0.277291864156723,0.743367075920105,0.3871273100376129,0.652783215045929,0.5144758820533752,0.594939649105072,0.25663289427757263
KDSB,UNet,outtanh,5,4,fold,KDSB_UNet_5pct_outtanh_fold4,25,48.1,False,0.9848397970199585,0.5539031624794006,0.8262695074081421,0.48141559958457947,0.46793949604034424,0.5612969398498535,0.42910856008529663,0.17373046278953552,0.7018575668334961,0.36733317375183105,0.8361537456512451,0.4948301911354065,0.5118873119354248,0.2981424331665039
KDSB,UNet,outtanh,10,0,fold,KDSB_UNet_10pct_outtanh_fold0,51,41.2,False,0.926446259021759,0.4792989194393158,0.7992165088653564,0.29228854179382324,0.612911581993103,0.5159112215042114,0.5849402546882629,0.20078347623348236,0.707847535610199,0.2967170774936676,0.41726964712142944,0.446534663438797,0.3786700963973999,0.292152464389801
KDSB,UNet,outtanh,10,1,fold,KDSB_UNet_10pct_outtanh_fold1,51,64.0,False,0.8693428635597229,0.32853785157203674,0.82550048828125,0.7533324360847473,0.17139099538326263,0.49083948135375977,0.16420403122901917,0.17449951171875,0.8149672746658325,0.5222280025482178,0.053376659750938416,0.4320022463798523,0.11642042547464371,0.18503275513648987
KDSB,UNet,outtanh,10,2,fold,KDSB_UNet_10pct_outtanh_fold2,51,49.9,False,0.6931617259979248,0.4888105094432831,0.8903152346611023,0.6855767965316772,0.46552136540412903,0.6329488754272461,0.5444306135177612,0.10968475043773651,0.8470759987831116,0.6528311371803284,0.3786448836326599,0.5753391981124878,0.4707978665828705,0.15292400121688843
KDSB,UNet,outtanh,10,3,fold,KDSB_UNet_10pct_outtanh_fold3,51,51.5,False,0.9421557188034058,0.33884233236312866,0.7983474731445312,0.2852236032485962,0.2057686597108841,0.4637562036514282,0.22516660392284393,0.20165252685546875,0.6895347833633423,0.22992190718650818,0.28530561923980713,0.4090208411216736,0.16141009330749512,0.3104652166366577
KDSB,UNet,outtanh,10,4,fold,KDSB_UNet_10pct_outtanh_fold4,51,50.0,True,0.5919474959373474,0.3922553062438965,0.8416091799736023,0.10091742873191833,0.00010605885472614318,0.4208562672138214,0.002220557304099202,0.1583908051252365,0.8140816688537598,0.4625251591205597,0.001360042137093842,0.40769630670547485,0.0020405245013535023,0.18591831624507904
