Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,actmish,5,0,fold,KDSB_SimSiam-UNET_5pct_actmish_fold0,25,95.8,False,0.9999978542327881,0.4528754949569702,0.8338623046875,0.5459017753601074,0.9244194030761719,0.659756064414978,0.6643345952033997,0.1661376953125,0.8456944823265076,0.5499144196510315,0.9356476068496704,0.6715409159660339,0.6444483995437622,0.15430553257465363
KDSB,SimSiam-UNET,actmish,5,1,fold,KDSB_SimSiam-UNET_5pct_actmish_fold1,25,54.0,False,1.0,0.2845276892185211,0.8180267214775085,0.44206520915031433,0.7702215313911438,0.5922812223434448,0.5424281358718872,0.18197326362133026,0.8700627684593201,0.6327232718467712,0.7173538208007812,0.6782666444778442,0.6544702649116516,0.12993724644184113
KDSB,SimSiam-UNET,actmish,5,2,fold,KDSB_SimSiam-UNET_5pct_actmish_fold2,25,60.0,False,0.9970885515213013,0.4731365442276001,0.7709197998046875,0.2652011513710022,0.812481701374054,0.5009482502937317,0.42427390813827515,0.2290802001953125,0.6795920729637146,0.35322239995002747,0.8708692193031311,0.4766758978366852,0.5102473497390747,0.320407897233963
KDSB,SimSiam-UNET,actmish,5,3,fold,KDSB_SimSiam-UNET_5pct_actmish_fold3,25,52.9,False,1.0,0.31722351908683777,0.8120514154434204,0.408722847700119,0.970394492149353,0.5941700339317322,0.5511795282363892,0.18794861435890198,0.824451208114624,0.5191398859024048,0.7535765171051025,0.6198279857635498,0.6185545325279236,0.17554879188537598
KDSB,SimSiam-UNET,actmish,5,4,fold,KDSB_SimSiam-UNET_5pct_actmish_fold4,25,55.0,False,1.0,0.40456342697143555,0.908923327922821,0.6941234469413757,0.8167191743850708,0.7475224733352661,0.6212584972381592,0.09107665717601776,0.8689359426498413,0.6009528636932373,0.8777101039886475,0.6989537477493286,0.6558688879013062,0.1310640573501587
KDSB,SimSiam-UNET,actmish,10,0,fold,KDSB_SimSiam-UNET_10pct_actmish_fold0,51,42.8,False,1.0,0.21577607095241547,0.870429277420044,0.4388347864151001,0.7442894577980042,0.6202617883682251,0.5686166882514954,0.12957070767879486,0.8469133973121643,0.5814461708068848,0.6296995282173157,0.6299562454223633,0.5767205953598022,0.1530866175889969
KDSB,SimSiam-UNET,actmish,10,1,fold,KDSB_SimSiam-UNET_10pct_actmish_fold1,51,68.8,False,0.9999994039535522,0.4177127778530121,0.9036453366279602,0.7281945943832397,0.8160838484764099,0.7553494572639465,0.6704360246658325,0.09635467827320099,0.822693943977356,0.5132901668548584,0.8904792666435242,0.6351677775382996,0.6619306802749634,0.17730602622032166
KDSB,SimSiam-UNET,actmish,10,2,fold,KDSB_SimSiam-UNET_10pct_actmish_fold2,51,54.5,False,0.9999033212661743,0.43779727816581726,0.8666946291923523,0.5250788927078247,0.9520514607429504,0.6783075332641602,0.6681739091873169,0.1333053559064865,0.8644925951957703,0.5845575928688049,0.9366770386695862,0.6991305947303772,0.6663203835487366,0.13550738990306854
KDSB,SimSiam-UNET,actmish,10,3,fold,KDSB_SimSiam-UNET_10pct_actmish_fold3,51,52.3,False,1.0,0.2721173167228699,0.8866866827011108,0.6173776388168335,0.6941322088241577,0.6792358756065369,0.6392500400543213,0.11331329494714737,0.8575824499130249,0.5915643572807312,0.7552774548530579,0.6653683185577393,0.6247950792312622,0.1424175649881363
KDSB,SimSiam-UNET,actmish,10,4,fold,KDSB_SimSiam-UNET_10pct_actmish_fold4,51,52.9,False,0.9999713897705078,0.20954737067222595,0.7801345586776733,0.3969515562057495,0.7497782111167908,0.5505252480506897,0.5253057479858398,0.21986541152000427,0.8826612830162048,0.7109590768814087,0.6213343739509583,0.6816871762275696,0.6134346723556519,0.11733870953321457
