Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,actsilu,5,0,fold,KDSB_SimSiam-UNET_5pct_actsilu_fold0,25,93.2,False,0.998894453048706,0.49884653091430664,0.755279541015625,0.4410214126110077,0.9123035669326782,0.562419593334198,0.5975562334060669,0.244720458984375,0.7602798938751221,0.4309120178222656,0.9033519625663757,0.561913251876831,0.5328002572059631,0.23972010612487793
KDSB,SimSiam-UNET,actsilu,5,1,fold,KDSB_SimSiam-UNET_5pct_actsilu_fold1,25,50.2,False,0.9999998807907104,0.3215131461620331,0.7679504156112671,0.378417432308197,0.8288754820823669,0.5428226590156555,0.5022600889205933,0.23204955458641052,0.8716462254524231,0.6222532391548157,0.7875826954841614,0.6912318468093872,0.5941046476364136,0.1283537745475769
KDSB,SimSiam-UNET,actsilu,5,2,fold,KDSB_SimSiam-UNET_5pct_actsilu_fold2,25,51.3,False,1.0,0.2817041873931885,0.8783477544784546,0.4260519742965698,0.8499723672866821,0.6320224404335022,0.5441630482673645,0.12165222316980362,0.8261345028877258,0.5227106213569641,0.7436782717704773,0.6205799579620361,0.6400658488273621,0.17386551201343536
KDSB,SimSiam-UNET,actsilu,5,3,fold,KDSB_SimSiam-UNET_5pct_actsilu_fold3,25,49.9,False,0.9999982118606567,0.4374017119407654,0.6450287103652954,0.26737576723098755,0.9811474680900574,0.42931488156318665,0.4261069893836975,0.354971319437027,0.8217990398406982,0.5119400024414062,0.8853504657745361,0.6334038972854614,0.6011411547660828,0.17820093035697937
KDSB,SimSiam-UNET,actsilu,5,4,fold,KDSB_SimSiam-UNET_5pct_actsilu_fold4,25,50.4,False,0.9999344348907471,0.4385707974433899,0.919024646282196,0.7162320613861084,0.8563420176506042,0.7724268436431885,0.6421296000480652,0.08097533881664276,0.8103834390640259,0.4943176805973053,0.8749951720237732,0.6176327466964722,0.6211546063423157,0.18961657583713531
KDSB,SimSiam-UNET,actsilu,10,0,fold,KDSB_SimSiam-UNET_10pct_actsilu_fold0,51,40.4,False,0.9999938011169434,0.3247072994709015,0.8652135729789734,0.42531856894493103,0.7292165160179138,0.610539436340332,0.5075024366378784,0.1347864270210266,0.8378745317459106,0.5453717708587646,0.7679778337478638,0.6395503878593445,0.5750696659088135,0.16212545335292816
KDSB,SimSiam-UNET,actsilu,10,1,fold,KDSB_SimSiam-UNET_10pct_actsilu_fold1,51,66.7,False,1.0,0.3111933469772339,0.9130142331123352,0.7669176459312439,0.803032636642456,0.7710691690444946,0.6548263430595398,0.08698578178882599,0.865513265132904,0.5988860726356506,0.8372142910957336,0.6885746717453003,0.6459548473358154,0.13448670506477356
KDSB,SimSiam-UNET,actsilu,10,2,fold,KDSB_SimSiam-UNET_10pct_actsilu_fold2,51,52.2,False,1.0,0.3095126152038574,0.8343642950057983,0.465796560049057,0.8819807767868042,0.6241134405136108,0.6149293780326843,0.16563567519187927,0.8347011208534241,0.5364446043968201,0.8147953748703003,0.6416701078414917,0.6026468276977539,0.16529887914657593
KDSB,SimSiam-UNET,actsilu,10,3,fold,KDSB_SimSiam-UNET_10pct_actsilu_fold3,51,51.3,False,1.0,0.35544267296791077,0.8072586059570312,0.41234874725341797,0.5927743315696716,0.5546143054962158,0.5376677513122559,0.19274139404296875,0.7316798567771912,0.3769818842411041,0.6795913577079773,0.5064874887466431,0.5476059317588806,0.2683201730251312
KDSB,SimSiam-UNET,actsilu,10,4,fold,KDSB_SimSiam-UNET_10pct_actsilu_fold4,51,51.3,False,0.9999995231628418,0.25779739022254944,0.7770141363143921,0.40003299713134766,0.8183404803276062,0.5556228756904602,0.5161753296852112,0.22298583388328552,0.8743743896484375,0.6401039958000183,0.7404797077178955,0.6885694265365601,0.6336683034896851,0.1256256103515625
