Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,attn,5,0,fold,KDSB_SimSiam-UNET_5pct_attn_fold0,25,105.2,False,0.9999842643737793,0.44687458872795105,0.749530017375946,0.43130066990852356,0.8576968908309937,0.5505950450897217,0.5968175530433655,0.25046998262405396,0.7763150930404663,0.4485889673233032,0.88739013671875,0.5782796144485474,0.5547333359718323,0.2236849069595337
KDSB,SimSiam-UNET,attn,5,1,fold,KDSB_SimSiam-UNET_5pct_attn_fold1,25,54.4,False,1.0,0.2913472652435303,0.741931140422821,0.34971320629119873,0.819644033908844,0.515046238899231,0.4804700016975403,0.25806885957717896,0.8277843594551086,0.5248748064041138,0.7754333019256592,0.6272001266479492,0.5925890803337097,0.17221564054489136
KDSB,SimSiam-UNET,attn,5,2,fold,KDSB_SimSiam-UNET_5pct_attn_fold2,25,56.7,False,1.0,0.28452068567276,0.866741955280304,0.3951808512210846,0.7890906929969788,0.6067506074905396,0.4889248013496399,0.13325805962085724,0.8599288463592529,0.5916125178337097,0.7957015633583069,0.6746070384979248,0.620341420173645,0.14007115364074707
KDSB,SimSiam-UNET,attn,5,3,fold,KDSB_SimSiam-UNET_5pct_attn_fold3,25,56.8,False,0.9999998807907104,0.3795284330844879,0.694775402545929,0.3002793490886688,0.9982078671455383,0.47446396946907043,0.46748051047325134,0.30522459745407104,0.7721149325370789,0.44198527932167053,0.8608793020248413,0.5706114768981934,0.6186683773994446,0.22788506746292114
KDSB,SimSiam-UNET,attn,5,4,fold,KDSB_SimSiam-UNET_5pct_attn_fold4,25,54.0,False,0.9999923706054688,0.23638200759887695,0.9083038568496704,0.7535234093666077,0.6733887791633606,0.7242355346679688,0.6430540084838867,0.09169616550207138,0.8659255504608154,0.631058931350708,0.6709666848182678,0.6643717288970947,0.5822513103485107,0.13407444953918457
KDSB,SimSiam-UNET,attn,10,0,fold,KDSB_SimSiam-UNET_10pct_attn_fold0,51,46.1,False,0.9999998807907104,0.4179825782775879,0.7804523706436157,0.31812500953674316,0.9147846698760986,0.5327620506286621,0.5740023851394653,0.21954761445522308,0.7432237267494202,0.4091992676258087,0.859466016292572,0.5389699935913086,0.6011752486228943,0.25677627325057983
KDSB,SimSiam-UNET,attn,10,1,fold,KDSB_SimSiam-UNET_10pct_attn_fold1,51,76.3,False,1.0,0.35243985056877136,0.8704482913017273,0.6356491446495056,0.8040229082107544,0.6982038021087646,0.5692187547683716,0.1295516937971115,0.8056533336639404,0.48682206869125366,0.8416175842285156,0.6077886819839478,0.5563110113143921,0.19434666633605957
KDSB,SimSiam-UNET,attn,10,2,fold,KDSB_SimSiam-UNET_10pct_attn_fold2,51,57.7,False,0.9999611377716064,0.4598855972290039,0.7256485223770142,0.33881306648254395,0.9153096079826355,0.5058149099349976,0.5718366503715515,0.2743515074253082,0.728500247001648,0.39939871430397034,0.9143957495689392,0.528954267501831,0.5815645456314087,0.27149978280067444
KDSB,SimSiam-UNET,attn,10,3,fold,KDSB_SimSiam-UNET_10pct_attn_fold3,51,57.4,False,0.9999775886535645,0.42860856652259827,0.8795425295829773,0.5735001564025879,0.8486768007278442,0.6908676624298096,0.6419607400894165,0.12045745551586151,0.8450076580047607,0.5567142367362976,0.8155149817466736,0.6558797359466553,0.6075525283813477,0.15499231219291687
KDSB,SimSiam-UNET,attn,10,4,fold,KDSB_SimSiam-UNET_10pct_attn_fold4,51,58.6,False,0.9999620914459229,0.2428622841835022,0.8794357180595398,0.5854674577713013,0.8157854080200195,0.6893330812454224,0.6019803285598755,0.12056426703929901,0.8947330713272095,0.7449932098388672,0.6593756675720215,0.708993673324585,0.626663327217102,0.10526695102453232
