Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,base,1,0,fold,KDSB_SimSiam-UNET_1pct_fold0,5,59.8,False,1.0,0.3124464154243469,0.7371826171875,0.19779963791370392,0.9962432384490967,0.458320677280426,0.38399410247802734,0.2628173828125,0.8812730312347412,0.6458933353424072,0.7996818423271179,0.7082442045211792,0.6367089152336121,0.11872699111700058
KDSB,SimSiam-UNET,base,1,1,fold,KDSB_SimSiam-UNET_1pct_fold1,5,31.1,False,0.9998855590820312,0.3115026652812958,0.035430908203125,0.0352984257042408,1.0,0.017720390111207962,0.06806771457195282,0.964569091796875,0.6912509202957153,0.24716195464134216,0.32309839129447937,0.4171823263168335,0.16072438657283783,0.30874907970428467
KDSB,SimSiam-UNET,base,1,2,fold,KDSB_SimSiam-UNET_1pct_fold2,5,33.9,False,1.0,0.41573360562324524,0.6077880859375,0.25485798716545105,0.9856901168823242,0.40064382553100586,0.5228556990623474,0.3922119140625,0.7322556972503662,0.39854666590690613,0.86509770154953,0.5280894041061401,0.5330657362937927,0.2677443325519562
KDSB,SimSiam-UNET,base,1,3,fold,KDSB_SimSiam-UNET_1pct_fold3,5,30.9,False,0.9999991655349731,0.2933208644390106,0.8379058837890625,0.5899249315261841,0.9876973628997803,0.6876805424690247,0.7178294062614441,0.1620941162109375,0.8371049761772156,0.5472389459609985,0.7161675691604614,0.6308981776237488,0.5874871611595154,0.16289499402046204
KDSB,SimSiam-UNET,base,1,4,fold,KDSB_SimSiam-UNET_1pct_fold4,5,36.8,False,0.999925971031189,0.36201855540275574,0.9206390380859375,0.3666585385799408,1.0,0.6417378783226013,0.7256791591644287,0.0793609619140625,0.877307653427124,0.6464924216270447,0.7500768899917603,0.6946718692779541,0.6293290257453918,0.12269234657287598
KDSB,SimSiam-UNET,base,5,0,fold,KDSB_SimSiam-UNET_5pct_fold0,25,0.0,False,1.0,0.3205094337463379,0.8398834466934204,0.5772172212600708,0.6954437494277954,0.6376276016235352,0.623006284236908,0.16011658310890198,0.8618450164794922,0.6045811772346497,0.7421067357063293,0.6696752309799194,0.642447829246521,0.138154998421669
KDSB,SimSiam-UNET,base,5,1,fold,KDSB_SimSiam-UNET_5pct_fold1,25,0.0,False,1.0,0.1286504864692688,0.8367156982421875,0.4685693085193634,0.5847459435462952,0.5862177610397339,0.4836544990539551,0.1632843017578125,0.8514189720153809,0.6649706363677979,0.4043947458267212,0.5876449942588806,0.47279781103134155,0.14858101308345795
KDSB,SimSiam-UNET,base,5,2,fold,KDSB_SimSiam-UNET_5pct_fold2,25,0.0,False,1.0,0.19025076925754547,0.9232696294784546,0.5754146575927734,0.6987752318382263,0.6894656419754028,0.5453420281410217,0.07673034816980362,0.8659959435462952,0.6762779951095581,0.5353211760520935,0.6386576890945435,0.5712447166442871,0.13400405645370483
KDSB,SimSiam-UNET,base,5,3,fold,KDSB_SimSiam-UNET_5pct_fold3,25,0.0,False,1.0,0.32125768065452576,0.7952057123184204,0.38773250579833984,0.9703013896942139,0.5742689371109009,0.5515313744544983,0.20479431748390198,0.8038237690925598,0.48178809881210327,0.7328807711601257,0.5913537740707397,0.6023181080818176,0.1961762011051178
KDSB,SimSiam-UNET,base,5,4,fold,KDSB_SimSiam-UNET_5pct_fold4,25,0.0,False,0.999985933303833,0.2987114191055298,0.84539794921875,0.6550575494766235,0.16466155648231506,0.49626579880714417,0.4545372426509857,0.15460205078125,0.7860442996025085,0.44028201699256897,0.5568540692329407,0.5436925888061523,0.5355295538902283,0.21395571529865265
