Dataset,Label Fraction (%),Fold,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal HD,FoldVal MyIoU,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
KDSB,5,0,0.83988345,0.5772172,0.69544375,0.6376276,0.6230063,8.840618617099285,0.08432948720147666,0.16011658,0.861845,0.6045812,0.74210674,0.66967523,0.6424478,7.928279166491575,0.11244573848584984,0.138155
KDSB,5,1,0.8367157,0.4685693,0.58474594,0.58621776,0.4836545,9.560941530673352,0.03024841336271298,0.1632843,0.851419,0.66497064,0.40439475,0.587645,0.4727978,8.426510475409271,0.07236744149324273,0.14858101
KDSB,5,2,0.9232696,0.57541466,0.69877523,0.68946564,0.545342,7.685410260528393,0.03633664730067222,0.07673035,0.86599594,0.676278,0.5353212,0.6386577,0.5712447,7.948051077167049,0.06618113347065296,0.13400406
KDSB,5,3,0.7952057,0.3877325,0.9703014,0.57426894,0.5515314,10.206822417207306,0.05434411576826552,0.20479432,0.80382377,0.4817881,0.7328808,0.5913538,0.6023181,8.44416542558882,0.07614214715446334,0.1961762
KDSB,5,4,0.84539795,0.65505755,0.16466156,0.4962658,0.45453724,7.562393598115085,0.12571597351000502,0.15460205,0.7860443,0.44028202,0.55685407,0.5436926,0.53552955,8.532191634599963,0.10259868508264187,0.21395572
KDSB,10,0,0.92913955,0.77380157,0.47994363,0.67309266,0.6456883,6.972897022581918,0.17416223303827263,0.07086043,0.85411114,0.72661734,0.34489825,0.5747005,0.45808616,8.356342719495592,0.0885887882985001,0.14588886
KDSB,10,1,0.861441,0.79842615,0.39796534,0.60563517,0.44036904,8.736801853212368,0.03950487690435287,0.13855895,0.8555679,0.6601065,0.45964542,0.60687685,0.5165814,8.54817671775909,0.06366927740106308,0.14443214
KDSB,10,2,0.9151657,0.7759264,0.5926246,0.70655787,0.64331657,7.744402919113265,0.13846616336126566,0.08483429,0.86008793,0.75333744,0.36767432,0.588996,0.48683277,8.47582467473215,0.1031470274363882,0.1399121
KDSB,10,3,0.8091095,0.36204302,0.31489742,0.500953,0.2821792,8.981924691380252,0.06005951485561223,0.1908905,0.7022686,0.2841864,0.3962049,0.43845138,0.3063964,9.873607697236995,0.041435541270878215,0.29773143
KDSB,10,4,0.7230164,0.30689928,0.59615684,0.47411945,0.4403004,10.184553639096494,0.04449219015436864,0.27698365,0.72492695,0.3556921,0.59138685,0.48823836,0.5105751,9.352661914165203,0.07965309899540694,0.27507308
KDSB,20,0,0.8593721,0.59818375,0.7095829,0.65943944,0.590959,8.290728940916871,0.10973703369094888,0.1406279,0.8206922,0.516797,0.5437077,0.5804977,0.5261937,8.616234233674927,0.09548957636728007,0.17930782
KDSB,20,1,0.77188253,0.35106477,0.6792324,0.52407706,0.5657577,8.750528227465967,0.09733576848454029,0.22811744,0.7669423,0.41025916,0.5801929,0.5275604,0.5185859,9.033232796324619,0.07383606481763581,0.23305766
KDSB,20,2,0.7809197,0.36196116,0.5305959,0.51766115,0.5262382,8.619805549900718,0.07944543122412104,0.21908036,0.7132483,0.32434416,0.5010346,0.4644788,0.43606526,9.686045538844182,0.061584685842172575,0.2867517
KDSB,20,3,0.90105516,0.4264238,0.8023571,0.6401927,0.58375275,6.7368296815237745,0.06307598573339494,0.09894486,0.80792594,0.48609325,0.5826386,0.57257354,0.5226058,8.86979345395153,0.06232942122592841,0.19207406
KDSB,20,4,0.82221526,0.41291225,0.66389626,0.5728388,0.58859396,7.847057023057552,0.09333631219943017,0.17778473,0.7155209,0.3336114,0.53179646,0.4710931,0.4546488,9.645502121499385,0.054845768290447225,0.28447908
KDSB,50,0,0.96180224,0.827609,0.953836,0.8754303,0.82603353,5.128278377719151,0.3520344655375804,0.038197737,0.9464089,0.80300117,0.9430402,0.85043716,0.83211786,5.566282689706929,0.326164911435709,0.053591065
KDSB,50,1,0.8447635,0.56597155,0.6357802,0.6259081,0.6276054,7.696042326796104,0.12252024968015286,0.15523647,0.7965026,0.46200418,0.5763162,0.55847895,0.5443938,8.555334836655723,0.10627538483541021,0.2034974
KDSB,50,2,0.95826006,0.81655633,0.90445316,0.85196745,0.8083305,5.361264074190291,0.32082233224799656,0.04173997,0.95205647,0.84204257,0.9134151,0.8610257,0.8342573,5.394706238886882,0.3441580036186692,0.04794353
KDSB,50,3,0.8880397,0.73307717,0.46724683,0.6391743,0.55961955,7.475809745253807,0.10783354629219312,0.111960314,0.8639848,0.7535085,0.3986669,0.6028862,0.5061586,7.928850168069766,0.08889139232744363,0.13601519
KDSB,50,4,0.95898616,0.8212865,0.92246795,0.8603939,0.84419817,5.13614016061125,0.396067591886396,0.04101383,0.955576,0.84933245,0.92511487,0.8705235,0.86186755,5.264027137257217,0.39778974895651853,0.04442397
