Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,frozen,1,0,fold,KDSB_SimSiam-UNET_1pct_frozen_fold0,5,46.6,False,0.9999459981918335,0.35036396980285645,0.7400360107421875,0.1995956301689148,0.996712863445282,0.460747629404068,0.42434829473495483,0.2599639892578125,0.7639498114585876,0.42461496591567993,0.7601903080940247,0.549781858921051,0.5934897661209106,0.23605017364025116
KDSB,SimSiam-UNET,frozen,1,1,fold,KDSB_SimSiam-UNET_1pct_frozen_fold1,5,24.2,False,1.0,0.3045082092285156,0.0352935791015625,0.0352935791015625,1.0,0.01764678955078125,0.06806717067956924,0.9647064208984375,0.7297735810279846,0.3551790118217468,0.5564672350883484,0.48770615458488464,0.5395008325576782,0.2702264189720154
KDSB,SimSiam-UNET,frozen,1,2,fold,KDSB_SimSiam-UNET_1pct_frozen_fold2,5,28.0,False,0.999992847442627,0.3790404796600342,0.6280670166015625,0.24964465200901031,0.8707605600357056,0.40953534841537476,0.541145920753479,0.3719329833984375,0.7108107805252075,0.3545589745044708,0.6774784922599792,0.4862511157989502,0.5026923418045044,0.28918924927711487
KDSB,SimSiam-UNET,frozen,1,3,fold,KDSB_SimSiam-UNET_1pct_frozen_fold3,5,26.9,False,0.9994503855705261,0.1762012392282486,0.9254302978515625,0.7931995391845703,0.9177631735801697,0.8229143619537354,0.839540958404541,0.0745697021484375,0.8916616439819336,0.7818804979324341,0.5785474181175232,0.6883777379989624,0.6224492788314819,0.108338363468647
KDSB,SimSiam-UNET,frozen,1,4,fold,KDSB_SimSiam-UNET_1pct_frozen_fold4,5,24.8,False,0.9997642636299133,0.2923566401004791,0.8087158203125,0.19347363710403442,0.9983394145965576,0.4964658319950104,0.22715583443641663,0.1912841796875,0.8418455123901367,0.5575162172317505,0.7228516936302185,0.6383141279220581,0.5611001253128052,0.1581544578075409
KDSB,SimSiam-UNET,frozen,5,0,fold,KDSB_SimSiam-UNET_5pct_frozen_fold0,25,51.4,False,0.9999998807907104,0.29379138350486755,0.8548126220703125,0.6077600717544556,0.7387102246284485,0.6651763916015625,0.6140570044517517,0.1451873779296875,0.8659258484840393,0.6070435047149658,0.7902407050132751,0.6828221082687378,0.6111834645271301,0.1340741664171219
KDSB,SimSiam-UNET,frozen,5,1,fold,KDSB_SimSiam-UNET_5pct_frozen_fold1,25,38.2,False,0.9999957084655762,0.27872246503829956,0.8295623660087585,0.467711865901947,0.9103662371635437,0.6247179508209229,0.5911633968353271,0.17043761909008026,0.8707020878791809,0.6184817552566528,0.7944701910018921,0.6907366514205933,0.6544539928436279,0.1292978972196579
KDSB,SimSiam-UNET,frozen,5,2,fold,KDSB_SimSiam-UNET_5pct_frozen_fold2,25,36.0,False,0.9999387264251709,0.3198484778404236,0.8246215581893921,0.3361775875091553,0.8895747661590576,0.565670371055603,0.4987541735172272,0.17537841200828552,0.8277081847190857,0.5256319046020508,0.7494142651557922,0.6234407424926758,0.5967978239059448,0.1722918003797531
KDSB,SimSiam-UNET,frozen,5,3,fold,KDSB_SimSiam-UNET_5pct_frozen_fold3,25,38.7,False,0.999998927116394,0.3028242290019989,0.7875701785087585,0.3764995038509369,0.9452577829360962,0.5629910230636597,0.5594491958618164,0.21242980659008026,0.864242672920227,0.5966805219650269,0.8320662379264832,0.6859761476516724,0.6591979265213013,0.13575731217861176
KDSB,SimSiam-UNET,frozen,5,4,fold,KDSB_SimSiam-UNET_5pct_frozen_fold4,25,37.1,False,0.999998927116394,0.3738032877445221,0.9086334109306335,0.8465653657913208,0.5558305978775024,0.7021018266677856,0.6942588686943054,0.09136657416820526,0.754051685333252,0.41647234559059143,0.8056825995445251,0.5445945262908936,0.653123676776886,0.24594831466674805
