Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,noskip,5,0,fold,KDSB_SimSiam-UNET_5pct_noskip_fold0,25,85.0,False,1.0,0.406814843416214,0.7091705203056335,0.3971133828163147,0.9232404232025146,0.5145246386528015,0.5390017032623291,0.29082947969436646,0.7747074365615845,0.446088969707489,0.8773070573806763,0.5753517746925354,0.519133448600769,0.22529257833957672
KDSB,SimSiam-UNET,noskip,5,1,fold,KDSB_SimSiam-UNET_5pct_noskip_fold1,25,48.2,False,1.0,0.34606707096099854,0.7487548589706421,0.36545562744140625,0.8955515623092651,0.5299298167228699,0.5117291212081909,0.2512451112270355,0.8248440623283386,0.5199213027954102,0.752689003944397,0.6202070713043213,0.5150352120399475,0.175155907869339
KDSB,SimSiam-UNET,noskip,5,2,fold,KDSB_SimSiam-UNET_5pct_noskip_fold2,25,51.8,False,0.9989142417907715,0.39230456948280334,0.837298572063446,0.34775617718696594,0.8360676765441895,0.574494481086731,0.41702014207839966,0.16270141303539276,0.8176573514938354,0.5055633187294006,0.864043116569519,0.6255389451980591,0.5624980926513672,0.18234266340732574
KDSB,SimSiam-UNET,noskip,5,3,fold,KDSB_SimSiam-UNET_5pct_noskip_fold3,25,49.5,False,1.0,0.5456247329711914,0.6478027105331421,0.2696727216243744,0.9870592355728149,0.43208348751068115,0.42301636934280396,0.3521972596645355,0.7227665185928345,0.3982011675834656,0.9612606167793274,0.5271835327148438,0.5036832690238953,0.2772335112094879
KDSB,SimSiam-UNET,noskip,5,4,fold,KDSB_SimSiam-UNET_5pct_noskip_fold4,25,48.5,False,0.9999997615814209,0.48377376794815063,0.799884021282196,0.45190680027008057,0.9090694189071655,0.5981292128562927,0.4995554983615875,0.20011596381664276,0.7500522136688232,0.4187987446784973,0.8888810873031616,0.5492725968360901,0.5077812075614929,0.24994775652885437
KDSB,SimSiam-UNET,noskip,10,0,fold,KDSB_SimSiam-UNET_10pct_noskip_fold0,51,39.1,False,1.0,0.38911327719688416,0.8184232115745544,0.3558330833911896,0.8541566729545593,0.5677765607833862,0.5043039321899414,0.18157681822776794,0.7390292286872864,0.4016377627849579,0.8248060345649719,0.5309207439422607,0.5239720940589905,0.260970801115036
KDSB,SimSiam-UNET,noskip,10,1,fold,KDSB_SimSiam-UNET_10pct_noskip_fold1,51,63.2,False,0.999841570854187,0.29357677698135376,0.8788284063339233,0.6743544936180115,0.7457914352416992,0.7031246423721313,0.5296033024787903,0.12117157131433487,0.8271673917770386,0.5263928174972534,0.6998478174209595,0.6153820157051086,0.5031044483184814,0.17283259332180023
KDSB,SimSiam-UNET,noskip,10,2,fold,KDSB_SimSiam-UNET_10pct_noskip_fold2,51,51.0,False,1.0,0.41520288586616516,0.6953643560409546,0.30845731496810913,0.8675275444984436,0.4727715849876404,0.5002948641777039,0.304635614156723,0.6986821889877319,0.3605503737926483,0.8028789162635803,0.48852789402008057,0.5042555928230286,0.3013177812099457
KDSB,SimSiam-UNET,noskip,10,3,fold,KDSB_SimSiam-UNET_10pct_noskip_fold3,51,51.1,False,1.0,0.38426950573921204,0.7797333002090454,0.3839784264564514,0.712885320186615,0.5425651669502258,0.5067869424819946,0.22026672959327698,0.7178365588188171,0.37520983815193176,0.7787553668022156,0.5045729279518127,0.5072898268699646,0.28216347098350525
KDSB,SimSiam-UNET,noskip,10,4,fold,KDSB_SimSiam-UNET_10pct_noskip_fold4,51,51.3,False,0.9999964237213135,0.315112441778183,0.634692370891571,0.283202201128006,0.8545162081718445,0.4238700866699219,0.4266777038574219,0.36530762910842896,0.812487781047821,0.4971800446510315,0.7753578424453735,0.607746422290802,0.5338174104690552,0.18751223385334015
