Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,outbn0,5,0,fold,KDSB_SimSiam-UNET_5pct_outbn0_fold0,25,88.5,False,1.0,0.35337382555007935,0.9039886593818665,0.7347551584243774,0.8011510968208313,0.7537261247634888,0.6929677724838257,0.09601135551929474,0.8721104264259338,0.6144722104072571,0.8373022675514221,0.698733925819397,0.6064465045928955,0.12788954377174377
KDSB,SimSiam-UNET,outbn0,5,1,fold,KDSB_SimSiam-UNET_5pct_outbn0_fold1,25,57.5,False,0.9999998807907104,0.2518172264099121,0.925933837890625,0.6953278183937073,0.909197211265564,0.7821438312530518,0.7690414190292358,0.074066162109375,0.9190899133682251,0.7920448780059814,0.765768826007843,0.7716206908226013,0.7495928406715393,0.08091007173061371
KDSB,SimSiam-UNET,outbn0,5,2,fold,KDSB_SimSiam-UNET_5pct_outbn0_fold2,25,125.3,False,1.0,0.1666272133588791,0.957806408405304,0.7620799541473389,0.8008511662483215,0.7975212335586548,0.6777218580245972,0.04219360277056694,0.9372894167900085,0.9021623730659485,0.7432249188423157,0.8075128793716431,0.8030820488929749,0.06271059811115265
KDSB,SimSiam-UNET,outbn0,5,3,fold,KDSB_SimSiam-UNET_5pct_outbn0_fold3,25,117.7,False,1.0,0.15285862982273102,0.9744903445243835,0.9370768666267395,0.8634237051010132,0.8936707973480225,0.8340891599655151,0.02550964429974556,0.9254472255706787,0.8874866366386414,0.6858665347099304,0.77277672290802,0.7710338234901428,0.07455279678106308
KDSB,SimSiam-UNET,outbn0,5,4,fold,KDSB_SimSiam-UNET_5pct_outbn0_fold4,25,49.7,False,1.0,0.4073168635368347,0.891021728515625,0.61597740650177,0.9295997619628906,0.7297111749649048,0.5881842374801636,0.108978271484375,0.829017162322998,0.5225850343704224,0.9270554184913635,0.6476824879646301,0.5944355726242065,0.17098283767700195
KDSB,SimSiam-UNET,outbn0,10,0,fold,KDSB_SimSiam-UNET_10pct_outbn0_fold0,51,40.0,False,1.0,0.28110983967781067,0.9524064660072327,0.752620279788971,0.828935980796814,0.7996006011962891,0.750047504901886,0.04759354889392853,0.8690545558929443,0.6128506660461426,0.802451491355896,0.6893043518066406,0.6933001279830933,0.13094542920589447
KDSB,SimSiam-UNET,outbn0,10,1,fold,KDSB_SimSiam-UNET_10pct_outbn0_fold1,51,65.7,False,1.0,0.26298603415489197,0.9067977666854858,0.8631294369697571,0.6268606185913086,0.7319153547286987,0.630634605884552,0.09320221096277237,0.9000899791717529,0.7304292917251587,0.7330227494239807,0.7306365966796875,0.6654579043388367,0.09991001337766647
KDSB,SimSiam-UNET,outbn0,10,2,fold,KDSB_SimSiam-UNET_10pct_outbn0_fold2,51,49.5,False,1.0,0.32113173604011536,0.837628185749054,0.47062578797340393,0.859328031539917,0.6255893707275391,0.6326621770858765,0.16237182915210724,0.8239531517028809,0.5173414349555969,0.7888813614845276,0.6240645051002502,0.6163919568061829,0.17604683339595795
KDSB,SimSiam-UNET,outbn0,10,3,fold,KDSB_SimSiam-UNET_10pct_outbn0_fold3,51,49.4,False,1.0,0.22855053842067719,0.879486083984375,0.5800663828849792,0.7866686582565308,0.6820511817932129,0.6355890035629272,0.120513916015625,0.8746469616889954,0.651462733745575,0.7002567648887634,0.6826497316360474,0.5906274318695068,0.12535300850868225
KDSB,SimSiam-UNET,outbn0,10,4,fold,KDSB_SimSiam-UNET_10pct_outbn0_fold4,51,86.2,False,1.0,0.1582687497138977,0.9483855962753296,0.8509873151779175,0.816903829574585,0.8276978731155396,0.7428780794143677,0.05161438137292862,0.9369234442710876,0.8980225920677185,0.7452883124351501,0.8069570064544678,0.8006138801574707,0.06307653337717056
KDSB,SimSiam-UNET,outbn0,1,0,fold,KDSB_SimSiam-UNET_1pct_outbn0_fold0,5,63.4,False,0.9999995231628418,0.37161484360694885,0.919189453125,0.4455985724925995,0.9971824288368225,0.6793140172958374,0.6722161173820496,0.080810546875,0.748259961605072,0.40299174189567566,0.735987663269043,0.5302280187606812,0.6124082207679749,0.251740038394928
KDSB,SimSiam-UNET,outbn0,1,1,fold,KDSB_SimSiam-UNET_1pct_outbn0_fold1,5,31.8,False,1.0,0.27216580510139465,0.0352935791015625,0.0352935791015625,1.0,0.01764678955078125,0.06806717067956924,0.9647064208984375,0.6964330077171326,0.2689215838909149,0.3684242367744446,0.429091215133667,0.29509079456329346,0.3035670220851898
KDSB,SimSiam-UNET,outbn0,1,2,fold,KDSB_SimSiam-UNET_1pct_outbn0_fold2,5,35.9,False,1.0,0.3396874964237213,0.6256561279296875,0.26401615142822266,0.9869295954704285,0.41550111770629883,0.5330880880355835,0.3743438720703125,0.881115734577179,0.6508742570877075,0.7774197459220886,0.7048354148864746,0.646929919719696,0.11888425052165985
KDSB,SimSiam-UNET,outbn0,1,3,fold,KDSB_SimSiam-UNET_1pct_outbn0_fold3,5,93.3,False,0.9999992847442627,0.11290242522954941,0.9441986083984375,0.999653697013855,0.7596710324287415,0.8458675742149353,0.8457558751106262,0.0558013916015625,0.8802372217178345,0.9091882109642029,0.39515843987464905,0.6254485845565796,0.5893654227256775,0.11976280063390732
KDSB,SimSiam-UNET,outbn0,1,4,fold,KDSB_SimSiam-UNET_1pct_outbn0_fold4,5,107.8,False,1.0,0.2396579533815384,0.9835205078125,0.7363525032997131,0.9990036487579346,0.8592699766159058,0.9253337383270264,0.0164794921875,0.8868599534034729,0.7715407609939575,0.5559355020523071,0.6755880117416382,0.6624299883842468,0.11314006894826889
KDSB,SimSiam-UNET,outbn0,20,0,fold,KDSB_SimSiam-UNET_20pct_outbn0_fold0,102,120.5,False,1.0,0.17546431720256805,0.9549393653869629,0.8896132111549377,0.8610575199127197,0.8622162342071533,0.8165988922119141,0.0450606569647789,0.9480520486831665,0.884574294090271,0.8286546468734741,0.8431950807571411,0.8211718797683716,0.051947928965091705
KDSB,SimSiam-UNET,outbn0,20,1,fold,KDSB_SimSiam-UNET_20pct_outbn0_fold1,102,142.0,False,1.0,0.18116801977157593,0.9706166386604309,0.8951834440231323,0.9026490449905396,0.891284167766571,0.8550553321838379,0.02938334085047245,0.9543007612228394,0.8886801600456238,0.862138032913208,0.8618431091308594,0.8409431576728821,0.04569924995303154
KDSB,SimSiam-UNET,outbn0,20,2,fold,KDSB_SimSiam-UNET_20pct_outbn0_fold2,102,155.2,False,1.0,0.18051627278327942,0.9720100164413452,0.9306443929672241,0.8866076469421387,0.8995877504348755,0.909272313117981,0.027989959344267845,0.9548691511154175,0.8905811309814453,0.8632636070251465,0.8633634448051453,0.8686710000038147,0.04513082280755043
KDSB,SimSiam-UNET,outbn0,20,3,fold,KDSB_SimSiam-UNET_20pct_outbn0_fold3,102,98.1,False,1.0,0.1762225329875946,0.971819281578064,0.7928727865219116,0.8613427877426147,0.836466372013092,0.8335777521133423,0.028180694207549095,0.9520260691642761,0.896973729133606,0.8381786346435547,0.8538717031478882,0.842313826084137,0.047973908483982086
KDSB,SimSiam-UNET,outbn0,20,4,fold,KDSB_SimSiam-UNET_20pct_outbn0_fold4,102,127.1,False,1.0,0.1805402636528015,0.9693756103515625,0.9249644875526428,0.8483232259750366,0.879493772983551,0.849950909614563,0.0306243896484375,0.9498180747032166,0.8917332291603088,0.8309088349342346,0.8477091789245605,0.828942596912384,0.05018189549446106
KDSB,SimSiam-UNET,outbn0,50,0,fold,KDSB_SimSiam-UNET_50pct_outbn0_fold0,257,184.3,False,1.0,0.18982425332069397,0.9731263518333435,0.9120931029319763,0.9160252809524536,0.9051797389984131,0.8707824349403381,0.02687366120517254,0.9589626789093018,0.881739616394043,0.8999226689338684,0.8768601417541504,0.875923216342926,0.04103734344244003
KDSB,SimSiam-UNET,outbn0,50,1,fold,KDSB_SimSiam-UNET_50pct_outbn0_fold1,257,201.1,False,1.0,0.19311194121837616,0.9639889597892761,0.8946143388748169,0.9095528721809387,0.8891816139221191,0.8834337592124939,0.03601103648543358,0.9582776427268982,0.8737995624542236,0.9064551591873169,0.8756729364395142,0.8748111128807068,0.04172234237194061
KDSB,SimSiam-UNET,outbn0,50,2,fold,KDSB_SimSiam-UNET_50pct_outbn0_fold2,257,167.7,False,1.0,0.18660522997379303,0.9680702090263367,0.8949493765830994,0.8740760087966919,0.8781843185424805,0.8652414083480835,0.03192976489663124,0.959022045135498,0.8890849351882935,0.8906537890434265,0.8762403726577759,0.8710536956787109,0.04097795858979225
