Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,outhard,5,0,fold,KDSB_SimSiam-UNET_5pct_outhard_fold0,25,87.3,False,1.0,0.284590482711792,0.8300201296806335,0.5567325353622437,0.6669459342956543,0.6199865341186523,0.5695766806602478,0.16997985541820526,0.8662375807762146,0.6128963232040405,0.7610496878623962,0.6790925860404968,0.6125308871269226,0.133762389421463
KDSB,SimSiam-UNET,outhard,5,1,fold,KDSB_SimSiam-UNET_5pct_outhard_fold1,25,51.7,False,1.0,0.4013030529022217,0.8571136593818665,0.5153974890708923,0.941849946975708,0.6664258241653442,0.6234622001647949,0.14288635551929474,0.8670325875282288,0.6078627705574036,0.8020743131637573,0.6861557960510254,0.5705850720405579,0.13296742737293243
KDSB,SimSiam-UNET,outhard,5,2,fold,KDSB_SimSiam-UNET_5pct_outhard_fold2,25,50.7,False,1.0,0.2549259662628174,0.872485339641571,0.4044364094734192,0.756408154964447,0.6102815270423889,0.49040156602859497,0.12751464545726776,0.866698682308197,0.6132293939590454,0.7659403681755066,0.6805099844932556,0.6414503455162048,0.13330133259296417
KDSB,SimSiam-UNET,outhard,5,3,fold,KDSB_SimSiam-UNET_5pct_outhard_fold3,25,50.2,False,1.0,0.2757558822631836,0.815997302532196,0.40958184003829956,0.9135109782218933,0.5926252603530884,0.5654336810112,0.18400268256664276,0.8699420690536499,0.6194271445274353,0.7787820100784302,0.687336802482605,0.6685912609100342,0.1300579458475113
KDSB,SimSiam-UNET,outhard,5,4,fold,KDSB_SimSiam-UNET_5pct_outhard_fold4,25,51.8,False,1.0,0.42244961857795715,0.8853851556777954,0.6078241467475891,0.8919061422348022,0.7156758308410645,0.5722635984420776,0.11461486667394638,0.85212242603302,0.5719877481460571,0.8121803402900696,0.6654977798461914,0.563312292098999,0.14787760376930237
KDSB,SimSiam-UNET,outhard,10,0,fold,KDSB_SimSiam-UNET_10pct_outhard_fold0,51,41.4,False,1.0,0.3633456528186798,0.7805744409561157,0.30524230003356934,0.8187882304191589,0.5226824283599854,0.5762692093849182,0.21942554414272308,0.7420156598091125,0.39889928698539734,0.7652969360351562,0.527324914932251,0.5991252660751343,0.25798434019088745
KDSB,SimSiam-UNET,outhard,10,1,fold,KDSB_SimSiam-UNET_10pct_outhard_fold1,51,64.1,False,1.0,0.2153821438550949,0.8719131350517273,0.7117834687232971,0.5891458988189697,0.6653717160224915,0.502220630645752,0.1280868500471115,0.8438470363616943,0.575853168964386,0.6070084571838379,0.6217274069786072,0.5822919607162476,0.15615294873714447
KDSB,SimSiam-UNET,outhard,10,2,fold,KDSB_SimSiam-UNET_10pct_outhard_fold2,51,51.9,False,1.0,0.33713647723197937,0.8998306393623352,0.6303967833518982,0.7660427093505859,0.7078878879547119,0.664098858833313,0.10016937553882599,0.8874183297157288,0.6769502758979797,0.7542709112167358,0.7118462324142456,0.6508105993270874,0.11258168518543243
KDSB,SimSiam-UNET,outhard,10,3,fold,KDSB_SimSiam-UNET_10pct_outhard_fold3,51,51.2,False,1.0,0.26463982462882996,0.8629348874092102,0.537845253944397,0.7791852355003357,0.6554808020591736,0.6657474040985107,0.137065127491951,0.8396158218383789,0.5497449040412903,0.7578444480895996,0.6404618620872498,0.6433738470077515,0.1603841632604599
KDSB,SimSiam-UNET,outhard,10,4,fold,KDSB_SimSiam-UNET_10pct_outhard_fold4,51,52.2,False,1.0,0.23565509915351868,0.7521468997001648,0.3619612157344818,0.7422480583190918,0.5203510522842407,0.5292402505874634,0.247853085398674,0.859778881072998,0.6110619902610779,0.6757146120071411,0.6560677886009216,0.6371464133262634,0.14022111892700195
