Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,outsoftmax,5,0,fold,KDSB_SimSiam-UNET_5pct_outsoftmax_fold0,25,91.3,False,1.0,0.4312966763973236,0.87091064453125,0.6360021233558655,0.8038504123687744,0.6986111998558044,0.6627443432807922,0.12908935546875,0.8256433010101318,0.5188413262367249,0.8533838987350464,0.6345744729042053,0.5572084784507751,0.17435668408870697
KDSB,SimSiam-UNET,outsoftmax,5,1,fold,KDSB_SimSiam-UNET_5pct_outsoftmax_fold1,25,52.4,False,0.9999997615814209,0.22938817739486694,0.918011486530304,0.6799347996711731,0.8662648797035217,0.7604886889457703,0.7308827638626099,0.08198852837085724,0.9082575440406799,0.7783117890357971,0.7081352472305298,0.7418147325515747,0.6654289960861206,0.09174244105815887
KDSB,SimSiam-UNET,outsoftmax,5,2,fold,KDSB_SimSiam-UNET_5pct_outsoftmax_fold2,25,50.5,False,1.0,0.2633497416973114,0.8521881103515625,0.3639446198940277,0.7670965790748596,0.5842202305793762,0.46613091230392456,0.1478118896484375,0.8722376227378845,0.6203627586364746,0.8057218194007874,0.6946869492530823,0.6516790390014648,0.12776239216327667
KDSB,SimSiam-UNET,outsoftmax,5,3,fold,KDSB_SimSiam-UNET_5pct_outsoftmax_fold3,25,47.8,False,1.0,0.19768457114696503,0.9203948974609375,0.7329946756362915,0.6179913878440857,0.7089058756828308,0.5912490487098694,0.0796051025390625,0.8654810190200806,0.6650990843772888,0.5565397143363953,0.6423377990722656,0.6206509470939636,0.13451901078224182
KDSB,SimSiam-UNET,outsoftmax,5,4,fold,KDSB_SimSiam-UNET_5pct_outsoftmax_fold4,25,50.9,False,0.9999916553497314,0.4164127707481384,0.9355071783065796,0.7895584106445312,0.8389785885810852,0.8053030371665955,0.7073287963867188,0.06449279934167862,0.8374074101448059,0.538493275642395,0.8762154579162598,0.6530991196632385,0.664299488067627,0.1625925749540329
KDSB,SimSiam-UNET,outsoftmax,10,0,fold,KDSB_SimSiam-UNET_10pct_outsoftmax_fold0,51,41.2,False,1.0,0.2539506256580353,0.9169477820396423,0.5836178660392761,0.7887973785400391,0.7070059776306152,0.6382398009300232,0.08305220305919647,0.8843515515327454,0.6589504480361938,0.7831601500511169,0.7109620571136475,0.6536887884140015,0.11564842611551285
KDSB,SimSiam-UNET,outsoftmax,10,1,fold,KDSB_SimSiam-UNET_10pct_outsoftmax_fold1,51,65.6,False,1.0,0.3504631221294403,0.8668075799942017,0.6167930960655212,0.8573881983757019,0.699550986289978,0.6275676488876343,0.13319244980812073,0.8220022320747375,0.512138843536377,0.89424729347229,0.6347047090530396,0.6266494393348694,0.17799776792526245
KDSB,SimSiam-UNET,outsoftmax,10,2,fold,KDSB_SimSiam-UNET_10pct_outsoftmax_fold2,51,50.1,False,1.0,0.3918541669845581,0.782397449016571,0.39276111125946045,0.8861533999443054,0.5618960857391357,0.6650400757789612,0.21760253608226776,0.7657866477966309,0.4359135925769806,0.8844001293182373,0.566062331199646,0.6582408547401428,0.23421333730220795
KDSB,SimSiam-UNET,outsoftmax,10,3,fold,KDSB_SimSiam-UNET_10pct_outsoftmax_fold3,51,50.1,False,1.0,0.4361025094985962,0.7850891351699829,0.40755924582481384,0.8729903697967529,0.5682339668273926,0.5682334303855896,0.21491089463233948,0.7218196392059326,0.3915655016899109,0.8965953588485718,0.5204170942306519,0.5650022625923157,0.2781803607940674
KDSB,SimSiam-UNET,outsoftmax,10,4,fold,KDSB_SimSiam-UNET_10pct_outsoftmax_fold4,51,51.2,False,0.9999998807907104,0.2053355872631073,0.8415908813476562,0.4997256398200989,0.8693065643310547,0.6405631303787231,0.6251406669616699,0.15840911865234375,0.9012259840965271,0.7424392700195312,0.7175239324569702,0.7302708625793457,0.6574406027793884,0.09877399355173111
