Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,outtanh,5,0,fold,KDSB_SimSiam-UNET_5pct_outtanh_fold0,25,88.5,False,1.0,0.211906298995018,0.902874767780304,0.882671594619751,0.5838879346847534,0.7160528302192688,0.5852041840553284,0.09712524712085724,0.9086783528327942,0.7853037118911743,0.7001022100448608,0.7413225173950195,0.6429826021194458,0.09132165461778641
KDSB,SimSiam-UNET,outtanh,5,1,fold,KDSB_SimSiam-UNET_5pct_outtanh_fold1,25,49.1,False,1.0,0.2799338698387146,0.7445526123046875,0.36329954862594604,0.9131074547767639,0.5273651480674744,0.5052317380905151,0.2554473876953125,0.8498468995094299,0.5655333995819092,0.8292825222015381,0.664521336555481,0.6327979564666748,0.15015308558940887
KDSB,SimSiam-UNET,outtanh,5,2,fold,KDSB_SimSiam-UNET_5pct_outtanh_fold2,25,48.5,False,1.0,0.13124814629554749,0.8625243902206421,0.3170287609100342,0.4015464186668396,0.5362182855606079,0.3695313334465027,0.13747557997703552,0.8660528659820557,0.7080094814300537,0.4754659831523895,0.6252925395965576,0.5657068490982056,0.13394714891910553
KDSB,SimSiam-UNET,outtanh,5,3,fold,KDSB_SimSiam-UNET_5pct_outtanh_fold3,25,50.2,False,1.0,0.31241855025291443,0.8147613406181335,0.4107804000377655,0.9501920342445374,0.5952600240707397,0.5858510732650757,0.18523864448070526,0.8548303842544556,0.5713979601860046,0.8763404488563538,0.6776729822158813,0.6544552445411682,0.14516964554786682
KDSB,SimSiam-UNET,outtanh,5,4,fold,KDSB_SimSiam-UNET_5pct_outtanh_fold4,25,53.1,False,1.0,0.3426474630832672,0.8951171636581421,0.8109979033470154,0.4882696568965912,0.6620751619338989,0.6511920094490051,0.10488281399011612,0.7742552757263184,0.4393564462661743,0.7769508957862854,0.5631487369537354,0.6562773585319519,0.22574470937252045
KDSB,SimSiam-UNET,outtanh,10,0,fold,KDSB_SimSiam-UNET_10pct_outtanh_fold0,51,42.6,False,1.0,0.259712815284729,0.9286082983016968,0.6270648837089539,0.8258593082427979,0.737750768661499,0.7176504135131836,0.07139170914888382,0.8707742691040039,0.6196472644805908,0.7892193794250488,0.6901097297668457,0.6895346641540527,0.1292257159948349
KDSB,SimSiam-UNET,outtanh,10,1,fold,KDSB_SimSiam-UNET_10pct_outtanh_fold1,51,66.0,False,0.9999998211860657,0.2516317069530487,0.9007965326309204,0.8582757115364075,0.5953350067138672,0.7148233652114868,0.6085439920425415,0.09920348972082138,0.8880853056907654,0.6821416616439819,0.7451115250587463,0.7115873098373413,0.6526034474372864,0.11191469430923462
KDSB,SimSiam-UNET,outtanh,10,2,fold,KDSB_SimSiam-UNET_10pct_outtanh_fold2,51,51.0,False,1.0,0.18576791882514954,0.9158981442451477,0.7498415112495422,0.6399904489517212,0.7172876596450806,0.6955005526542664,0.08410187065601349,0.8892468810081482,0.730122983455658,0.6411500573158264,0.6962884068489075,0.6805348992347717,0.11075310409069061
KDSB,SimSiam-UNET,outtanh,10,3,fold,KDSB_SimSiam-UNET_10pct_outtanh_fold3,51,51.0,False,1.0,0.29110679030418396,0.8745040893554688,0.5624510049819946,0.8322033882141113,0.6806130409240723,0.660954475402832,0.12549591064453125,0.8395407795906067,0.5465737581253052,0.802406370639801,0.646574079990387,0.6296266913414001,0.1604592204093933
KDSB,SimSiam-UNET,outtanh,10,4,fold,KDSB_SimSiam-UNET_10pct_outtanh_fold4,51,52.7,False,1.0,0.3937496840953827,0.7561095952987671,0.38110169768333435,0.8671757578849792,0.5386985540390015,0.5489047169685364,0.24389037489891052,0.7627790570259094,0.4310818612575531,0.8638855814933777,0.5605322122573853,0.6558942198753357,0.23722097277641296
