Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Keyname,N Labelled,Train Seconds,Collapsed,Prob Max,Prob Mean,FoldVal Accuracy,FoldVal Precision,FoldVal Recall,FoldVal MeanIoU,FoldVal Dice,FoldVal MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test MAE
KDSB,SimSiam-UNET,w32,5,0,fold,KDSB_SimSiam-UNET_5pct_w32_fold0,25,97.5,False,1.0,0.23717127740383148,0.8589935302734375,0.6623910069465637,0.5776050686836243,0.6435766220092773,0.44620832800865173,0.1410064697265625,0.866782546043396,0.6346309185028076,0.6677281856536865,0.6651100516319275,0.5180311799049377,0.1332174837589264
KDSB,SimSiam-UNET,w32,5,1,fold,KDSB_SimSiam-UNET_5pct_w32_fold1,25,57.2,False,0.9998098611831665,0.35438230633735657,0.9118377566337585,0.6391732096672058,0.9592042565345764,0.7595579624176025,0.7195868492126465,0.08816222846508026,0.9206149578094482,0.7612033486366272,0.8348025679588318,0.783793032169342,0.7061947584152222,0.07938501983880997
KDSB,SimSiam-UNET,w32,5,2,fold,KDSB_SimSiam-UNET_5pct_w32_fold2,25,52.7,False,0.9999974966049194,0.21577617526054382,0.8629668951034546,0.3561914563179016,0.568175196647644,0.5677745938301086,0.4327746331691742,0.13703307509422302,0.8763803243637085,0.6568422317504883,0.7013490796089172,0.6855638027191162,0.597514808177948,0.1236196979880333
KDSB,SimSiam-UNET,w32,5,3,fold,KDSB_SimSiam-UNET_5pct_w32_fold3,25,54.7,False,1.0,0.2076156586408615,0.8357788324356079,0.43820852041244507,0.8951937556266785,0.6153817176818848,0.6043024659156799,0.16422119736671448,0.8965144753456116,0.7114953994750977,0.7455878257751465,0.7261844277381897,0.6791914105415344,0.10348551720380783
KDSB,SimSiam-UNET,w32,5,4,fold,KDSB_SimSiam-UNET_5pct_w32_fold4,25,53.7,False,1.0,0.45730504393577576,0.914593517780304,0.6846597790718079,0.9095607995986938,0.7701226472854614,0.6302815079689026,0.08540649712085724,0.7272580862045288,0.40172427892684937,0.9551422595977783,0.5313342213630676,0.5835835933685303,0.2727419137954712
KDSB,SimSiam-UNET,w32,10,0,fold,KDSB_SimSiam-UNET_10pct_w32_fold0,51,46.4,False,1.0,0.2875363528728485,0.9030206799507141,0.5297450423240662,0.8570135831832886,0.6899625658988953,0.6420079469680786,0.09697931259870529,0.8428711891174316,0.5538943409919739,0.7947726845741272,0.650110125541687,0.6342101097106934,0.15712882578372955
KDSB,SimSiam-UNET,w32,10,1,fold,KDSB_SimSiam-UNET_10pct_w32_fold1,51,70.7,False,1.0,0.2000643014907837,0.8901168704032898,0.7701374888420105,0.6313089728355408,0.702851414680481,0.5350182056427002,0.10988311469554901,0.8592936396598816,0.6268904209136963,0.6002962589263916,0.6419499516487122,0.5187292098999023,0.1407063752412796
KDSB,SimSiam-UNET,w32,10,2,fold,KDSB_SimSiam-UNET_10pct_w32_fold2,51,56.8,False,1.0,0.36440882086753845,0.771954357624054,0.38053393363952637,0.8841139078140259,0.5502198338508606,0.6367294788360596,0.22804565727710724,0.7516842484474182,0.41247105598449707,0.7914749979972839,0.5404460430145264,0.6275108456611633,0.24831576645374298
KDSB,SimSiam-UNET,w32,10,3,fold,KDSB_SimSiam-UNET_10pct_w32_fold3,51,57.1,False,1.0,0.24588783085346222,0.8843933343887329,0.5996067523956299,0.749588668346405,0.684428334236145,0.6710479259490967,0.11560668796300888,0.8375474810600281,0.5505268573760986,0.6865572333335876,0.6268668174743652,0.6178529858589172,0.16245248913764954
KDSB,SimSiam-UNET,w32,10,4,fold,KDSB_SimSiam-UNET_10pct_w32_fold4,51,56.4,False,0.9999997615814209,0.24521444737911224,0.7617599368095398,0.38708147406578064,0.866230845451355,0.5445799827575684,0.5180546641349792,0.238240048289299,0.8695094585418701,0.6301910877227783,0.7211750745773315,0.6780185699462891,0.6088029146194458,0.13049055635929108
