Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Dice @0.5,Best Threshold,Test Dice @best,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
ISIC2018,BT-UNet,base,1,ensemble,filtered,5,5,,0.5657597780227661,0.85,0.6210938096046448,0.421673983335495,0.44315803050994873,0.46600237488746643,0.486731618642807,0.5023658871650696,0.5162192583084106,0.5293276309967041,0.5420347452163696,0.5544399619102478,0.5657597780227661,0.5760748386383057,0.585548996925354,0.5946515798568726,0.6028260588645935,0.6092081665992737,0.6158440113067627,0.6210938096046448,0.6164709329605103,0.5889630317687988
ISIC2018,BT-UNet,base,1,ensemble,unfiltered,5,5,,0.5657597780227661,0.85,0.6210938096046448,0.421673983335495,0.44315803050994873,0.46600237488746643,0.486731618642807,0.5023658871650696,0.5162192583084106,0.5293276309967041,0.5420347452163696,0.5544399619102478,0.5657597780227661,0.5760748386383057,0.585548996925354,0.5946515798568726,0.6028260588645935,0.6092081665992737,0.6158440113067627,0.6210938096046448,0.6164709329605103,0.5889630317687988
ISIC2018,BT-UNet,base,5,ensemble,filtered,5,5,,0.5657140016555786,0.8,0.65692138671875,0.4159192442893982,0.42197760939598083,0.43549174070358276,0.4554569125175476,0.4774402976036072,0.49809160828590393,0.5161629915237427,0.5327709913253784,0.5492458939552307,0.5657140016555786,0.5825056433677673,0.5998106598854065,0.6179001331329346,0.6351137757301331,0.6488090753555298,0.65692138671875,0.6552016139030457,0.6411547660827637,0.582069993019104
ISIC2018,BT-UNet,base,5,ensemble,unfiltered,5,5,,0.5657140016555786,0.8,0.65692138671875,0.4159192442893982,0.42197760939598083,0.43549174070358276,0.4554569125175476,0.4774402976036072,0.49809160828590393,0.5161629915237427,0.5327709913253784,0.5492458939552307,0.5657140016555786,0.5825056433677673,0.5998106598854065,0.6179001331329346,0.6351137757301331,0.6488090753555298,0.65692138671875,0.6552016139030457,0.6411547660827637,0.582069993019104
ISIC2018,BT-UNet,base,10,ensemble,filtered,5,5,,0.8116737008094788,0.6,0.8145479559898376,0.41570836305618286,0.4865361154079437,0.5377143621444702,0.575943648815155,0.6302558183670044,0.7649334073066711,0.7883490920066833,0.8001214265823364,0.8076189160346985,0.8116737008094788,0.813711941242218,0.8145479559898376,0.8127692341804504,0.8087887167930603,0.8030679225921631,0.7916543483734131,0.7733340859413147,0.7451058030128479,0.6490711569786072
ISIC2018,BT-UNet,base,10,ensemble,unfiltered,5,5,,0.8116737008094788,0.6,0.8145479559898376,0.41570836305618286,0.4865361154079437,0.5377143621444702,0.575943648815155,0.6302558183670044,0.7649334073066711,0.7883490920066833,0.8001214265823364,0.8076189160346985,0.8116737008094788,0.813711941242218,0.8145479559898376,0.8127692341804504,0.8087887167930603,0.8030679225921631,0.7916543483734131,0.7733340859413147,0.7451058030128479,0.6490711569786072
ISIC2018,BT-UNet,base,20,ensemble,filtered,5,5,,0.8434738516807556,0.5,0.8434738516807556,0.7818827033042908,0.8021031618118286,0.8133067488670349,0.8235185742378235,0.8317225575447083,0.8362852931022644,0.8394922018051147,0.8420058488845825,0.8430503010749817,0.8434738516807556,0.8433464169502258,0.8416737914085388,0.8396478295326233,0.8379719257354736,0.8353068828582764,0.828840970993042,0.8234876394271851,0.8176702260971069,0.8055686354637146
ISIC2018,BT-UNet,base,20,ensemble,unfiltered,5,5,,0.8434738516807556,0.5,0.8434738516807556,0.7818827033042908,0.8021031618118286,0.8133067488670349,0.8235185742378235,0.8317225575447083,0.8362852931022644,0.8394922018051147,0.8420058488845825,0.8430503010749817,0.8434738516807556,0.8433464169502258,0.8416737914085388,0.8396478295326233,0.8379719257354736,0.8353068828582764,0.828840970993042,0.8234876394271851,0.8176702260971069,0.8055686354637146
ISIC2018,BT-UNet,base,50,ensemble,filtered,5,5,,0.8605543971061707,0.7,0.8630228042602539,0.7841637134552002,0.8057886362075806,0.8187931180000305,0.8313009142875671,0.8413727879524231,0.8470134735107422,0.85154789686203,0.8556955456733704,0.8585940003395081,0.8605543971061707,0.8620585799217224,0.8628031611442566,0.8629294633865356,0.8630228042602539,0.8625123500823975,0.8599703311920166,0.8565042614936829,0.8523239493370056,0.8426932096481323
ISIC2018,BT-UNet,base,50,ensemble,unfiltered,5,5,,0.8605543971061707,0.7,0.8630228042602539,0.7841637134552002,0.8057886362075806,0.8187931180000305,0.8313009142875671,0.8413727879524231,0.8470134735107422,0.85154789686203,0.8556955456733704,0.8585940003395081,0.8605543971061707,0.8620585799217224,0.8628031611442566,0.8629294633865356,0.8630228042602539,0.8625123500823975,0.8599703311920166,0.8565042614936829,0.8523239493370056,0.8426932096481323
