Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Prob Max,Prob Mean,Prob p99.9,Frac Pixels > 0.5,Test Dice @0.5,Best Threshold,Test Dice @best,Dice Range 0.3-0.7,Diagnosis,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
ISIC2018,BT-UNet,base,10,0,fold,0.98193359375,0.38467562198638916,0.95556640625,0.2465448455810547,0.7858113050460815,0.55,0.7864388227462769,0.02725619077682495,healthy,0.41570836305618286,0.41570836305618286,0.4157123863697052,0.43450552225112915,0.7074702382087708,0.7591826319694519,0.7729649543762207,0.7798202037811279,0.7836379408836365,0.7858113050460815,0.7864388227462769,0.7855704426765442,0.7830623984336853,0.7782206535339355,0.7686926126480103,0.7496394515037537,0.706713855266571,0.5518681406974792,0.026948975399136543
ISIC2018,BT-UNet,base,10,1,fold,1.0,0.6412521600723267,1.0,0.6364200134277344,0.5238779783248901,0.95,0.5668035745620728,0.034204185009002686,threshold-sensitive,0.4504747688770294,0.4685128927230835,0.48131582140922546,0.4910280704498291,0.4980596899986267,0.5046659708023071,0.5103926062583923,0.5153341293334961,0.5199351906776428,0.5238779783248901,0.5277038812637329,0.531690239906311,0.5354534387588501,0.5388701558113098,0.542648434638977,0.5463995337486267,0.5504327416419983,0.5566135048866272,0.5668035745620728
ISIC2018,BT-UNet,base,10,2,fold,0.9990234375,0.3182566463947296,0.99365234375,0.2744043426513672,0.7949962615966797,0.8,0.8030500411987305,0.016735315322875977,healthy,0.41603192687034607,0.7310466170310974,0.7643929123878479,0.7746998071670532,0.7806469798088074,0.7846776247024536,0.7877015471458435,0.7904552221298218,0.7928056716918945,0.7949962615966797,0.7968479990959167,0.798587441444397,0.8001209497451782,0.8014129400253296,0.8025428652763367,0.8030500411987305,0.8022314310073853,0.7973991632461548,0.7638459801673889
ISIC2018,BT-UNet,base,10,3,fold,0.9990234375,0.2822258770465851,0.99462890625,0.2713186340332031,0.8195544481277466,0.85,0.8242332935333252,0.008077144622802734,healthy,0.7852325439453125,0.8009681105613708,0.8068372011184692,0.8102830648422241,0.8127013444900513,0.8145793676376343,0.8161336779594421,0.8173994421958923,0.818547248840332,0.8195544481277466,0.8204483985900879,0.821245551109314,0.8219884037971497,0.822656512260437,0.8233147263526917,0.8238833546638489,0.8242332935333252,0.8239373564720154,0.8187875747680664
ISIC2018,BT-UNet,base,10,4,fold,0.998046875,0.3080071210861206,0.9892578125,0.27960484313964845,0.8230616450309753,0.75,0.8277598023414612,0.016935110092163086,healthy,0.5710515379905701,0.7638240456581116,0.7872370481491089,0.7984750270843506,0.8055439591407776,0.8106442093849182,0.8147925138473511,0.8181065917015076,0.8208373785018921,0.8230616450309753,0.8246755599975586,0.8260412216186523,0.8269726037979126,0.8275793194770813,0.8277598023414612,0.8273000717163086,0.8251198530197144,0.817775547504425,0.7776257991790771
ISIC2018,BT-UNet,outbn0,10,0,fold,1.0,0.2508797347545624,1.0,0.24743899536132813,0.8202720880508423,0.45,0.8204014897346497,0.0031777620315551758,healthy,0.7973234057426453,0.8093234300613403,0.8142088651657104,0.8167206645011902,0.8182993531227112,0.8192684054374695,0.8198944330215454,0.8202559351921082,0.8204014897346497,0.8202720880508423,0.8198876976966858,0.8192409873008728,0.8183936476707458,0.8172237277030945,0.8154942393302917,0.8131656646728516,0.8095411062240601,0.802988588809967,0.7891413569450378
ISIC2018,BT-UNet,outbn0,10,1,fold,1.0,0.23793929815292358,1.0,0.23460577392578125,0.8073472380638123,0.3,0.810399055480957,0.01103430986404419,healthy,0.7911139130592346,0.8033837676048279,0.8078040480613708,0.8096442222595215,0.8103035688400269,0.810399055480957,0.8099967241287231,0.8093875050544739,0.8085269927978516,0.8073472380638123,0.8059672117233276,0.8042687177658081,0.8021218776702881,0.7993647456169128,0.795652449131012,0.7906433939933777,0.7831702828407288,0.7708957195281982,0.7464404106140137
ISIC2018,BT-UNet,outbn0,10,2,fold,1.0,0.2724900543689728,1.0,0.2682221527099609,0.8133880496025085,0.65,0.8140892386436462,0.004834294319152832,healthy,0.7783029675483704,0.7942423224449158,0.8010200262069702,0.8048707246780396,0.8073991537094116,0.8092549443244934,0.8107209205627441,0.8118489980697632,0.8127490282058716,0.8133880496025085,0.8138512969017029,0.814056396484375,0.8140892386436462,0.8139194846153259,0.813420295715332,0.8124879598617554,0.8111608028411865,0.8082794547080994,0.8015410304069519
ISIC2018,BT-UNet,outbn0,10,3,fold,1.0,0.259309858083725,1.0,0.25351417541503907,0.8113283514976501,0.45,0.8114296793937683,0.004418671131134033,healthy,0.7766561508178711,0.7935682535171509,0.800879955291748,0.8049253225326538,0.8075949549674988,0.809305727481842,0.8105319738388062,0.8111594319343567,0.8114296793937683,0.8113283514976501,0.8108640909194946,0.8099325895309448,0.8087285161018372,0.8070110082626343,0.8049153685569763,0.8019030094146729,0.7973981499671936,0.789578378200531,0.7730343341827393
ISIC2018,BT-UNet,outbn0,10,4,fold,1.0,0.26377570629119873,1.0,0.2599892425537109,0.8207442164421082,0.55,0.8208490014076233,0.003466367721557617,healthy,0.7875131964683533,0.8021132349967957,0.808682918548584,0.8126871585845947,0.8154996633529663,0.8173826336860657,0.8187031745910645,0.8197418451309204,0.8203417062759399,0.8207442164421082,0.8208490014076233,0.8206548094749451,0.8200547099113464,0.8190891742706299,0.8173299431800842,0.8148391246795654,0.8112087249755859,0.8048452138900757,0.7905322313308716
