Dataset,Model,Fraction,Variant,n,collapsed,mean,median,std,d_mean,d_median,SE,d/SE,verdict
ISIC2018,BT-UNet,1,frozen,5,0,0.5700935542583465,0.588952898979187,0.051443323972825306,0.018950122594833307,0.04994630813598633,0.024961836220409903,0.7591638062002365,noise
ISIC2018,BT-UNet,1,base,5,0,0.5511434316635132,0.5390065908432007,0.02165757964546768,0.0,0.0,,,reference
ISIC2018,BT-UNet,5,outsoftmax,5,0,0.7093793869018554,0.694740891456604,0.08620128218757657,0.14042778015136714,0.1373225450515747,0.04399669048892079,3.1917805314636007,clear
ISIC2018,BT-UNet,5,outbn0,5,0,0.701985239982605,0.7565399408340454,0.08471777820025009,0.1330336332321167,0.1991215944290161,0.043416551595662295,3.064122514175169,clear
ISIC2018,BT-UNet,5,bs64,5,0,0.6661668419837952,0.5847121477127075,0.1260584281506439,0.09721523523330688,0.027293801307678223,0.06023057384239056,1.6140512871037325,noise
ISIC2018,BT-UNet,5,actsilu,5,0,0.6560957193374634,0.6481644511222839,0.024735958301879867,0.08714411258697508,0.09074610471725464,0.023915478051753848,3.6438373675154003,clear
ISIC2018,BT-UNet,5,aug100,5,0,0.645857834815979,0.554105818271637,0.14699516950226732,0.07690622806549074,-0.003312528133392334,0.06907309559605326,1.1134035242208697,noise
ISIC2018,BT-UNet,5,bs32,5,0,0.6236246347427368,0.5666623711585999,0.11584616651775465,0.05467302799224849,0.009244024753570557,0.055978955181329705,0.976671104616887,noise
ISIC2018,BT-UNet,5,attn,5,0,0.6188212394714355,0.6146129965782166,0.017584883497600855,0.04986963272094724,0.057194650173187256,0.022614645461432534,2.2051918879734775,weak
ISIC2018,BT-UNet,5,d5,5,0,0.6175952434539795,0.6001946330070496,0.09503506181158215,0.048643636703491255,0.042776286602020264,0.04749641205951983,1.0241539222485645,noise
ISIC2018,BT-UNet,5,w8,5,0,0.616257619857788,0.6257008910179138,0.0226758653522456,0.04730601310729976,0.06828254461288452,0.023503521815168182,2.012720199096735,weak
ISIC2018,BT-UNet,5,lossbce,5,0,0.6108657360076905,0.6054818630218506,0.010838583653874632,0.04191412925720217,0.04806351661682129,0.021750207882819415,1.9270679840402962,noise
ISIC2018,BT-UNet,5,e200,5,0,0.6075931787490845,0.6109998226165771,0.017134781025332727,0.03864157199859619,0.05358147621154785,0.022545436522247084,1.7139420636396185,noise
ISIC2018,BT-UNet,5,outtanh,5,0,0.606678581237793,0.6075208187103271,0.024413339642249246,0.037726974487304665,0.05010247230529785,0.02384908372074315,1.581904568287082,noise
ISIC2018,BT-UNet,5,lossdice,5,0,0.605992603302002,0.6176899671554565,0.029433197578222922,0.037040996551513716,0.060271620750427246,0.02495674633755758,1.4842077589164924,noise
ISIC2018,BT-UNet,5,noskip,5,0,0.5971009373664856,0.6060804128646851,0.039607156000768355,0.028149330615997337,0.04866206645965576,0.027628281255179306,1.0188592752479075,noise
