Dataset,Model,Fraction,Variant,n,collapsed,mean,median,std,d_mean,d_median,SE,d/SE,verdict
KDSB,BT-UNet,1,frozen,5,0,0.5281063973903656,0.5279700756072998,0.029861905919959717,0.015425783395767168,0.008692026138305664,0.022329135711801836,0.6908365641583712,noise
KDSB,BT-UNet,1,outbn0,5,0,0.5277497410774231,0.5446561574935913,0.09070089164514702,0.015069127082824707,0.025378108024597168,0.04433479407470502,0.3398939229859267,noise
KDSB,BT-UNet,1,base,5,0,0.5126806139945984,0.5192780494689941,0.040015223140797244,0.0,0.0,,,reference
KDSB,BT-UNet,5,outbn0,5,0,0.6295860886573792,0.6241037845611572,0.04266695293594953,0.09591005444526679,0.09178054332733154,0.04077868140940682,2.3519655646134323,weak
KDSB,BT-UNet,5,bs64,5,0,0.6064355850219727,0.5998343229293823,0.09330218239967959,0.0727595508098603,0.06751108169555664,0.055134984637984726,1.3196621217471654,noise
KDSB,BT-UNet,5,outsoftmax,5,0,0.6063613533973694,0.5762292146682739,0.06238817864315339,0.072685319185257,0.04390597343444824,0.04557701229571986,1.5947802526775738,noise
KDSB,BT-UNet,5,aug100,5,0,0.5986722826957702,0.5909633040428162,0.02539740285782854,0.06499624848365781,0.05864006280899048,0.03778640889667557,1.7200959387642725,noise
KDSB,BT-UNet,5,proj512,5,0,0.5976028084754944,0.601900577545166,0.028829963386549907,0.063926774263382,0.06957733631134033,0.03827584670123127,1.670159637809543,noise
KDSB,BT-UNet,5,d3,5,0,0.5964867353439331,0.6202473044395447,0.05732051284488723,0.06281070113182075,0.087924063205719,0.04422595755302955,1.4202225255723855,noise
KDSB,BT-UNet,5,frozen,5,0,0.5873845338821411,0.5947383046150208,0.052224059485528815,0.053708499670028664,0.06241506338119507,0.04294505280881379,1.2506329869736672,noise
KDSB,BT-UNet,5,outtanh,5,0,0.5866616725921631,0.5693820714950562,0.07372467977681864,0.05298563838005066,0.03705883026123047,0.048845396554446,1.084762170391834,noise
KDSB,BT-UNet,5,attn,5,0,0.585037910938263,0.5748079419136047,0.027023766623396502,0.05136187672615056,0.04248470067977905,0.03801136508237181,1.3512242092555153,noise
KDSB,BT-UNet,5,proj256,5,0,0.5844642877578735,0.5967323184013367,0.03858225351974223,0.05078825354576111,0.06440907716751099,0.03995654064423655,1.2710873545827586,noise
KDSB,BT-UNet,5,lossdice,5,0,0.5796325325965881,0.5661735534667969,0.037483053510555434,0.045956498384475686,0.03385031223297119,0.039746734998201146,1.1562332953022576,noise
KDSB,BT-UNet,5,outhard,5,0,0.5722766876220703,0.5688388347625732,0.044047460074969236,0.038600653409957886,0.03651559352874756,0.04107119222439734,0.939847404454651,noise
