Dataset,Model,Variant,Label Fraction (%),n,collapsed,collapse_rate,bimodal
ISIC2018,BT-UNet,aug025,5,5,0,0.0,False
ISIC2018,BT-UNet,aug100,5,5,0,0.0,False
ISIC2018,BT-UNet,base,1,5,0,0.0,False
ISIC2018,BT-UNet,base,5,5,0,0.0,False
ISIC2018,BT-UNet,base,10,5,0,0.0,False
ISIC2018,BT-UNet,base,20,5,0,0.0,False
ISIC2018,BT-UNet,base,50,5,0,0.0,False
ISIC2018,BT-UNet,bs32,5,5,0,0.0,False
ISIC2018,BT-UNet,bs64,5,5,0,0.0,False
ISIC2018,BT-UNet,cropflip,5,5,0,0.0,False
ISIC2018,BT-UNet,e0,5,5,5,1.0,False
ISIC2018,BT-UNet,e200,5,5,0,0.0,False
ISIC2018,BT-UNet,e25,5,5,0,0.0,False
ISIC2018,BT-UNet,e50,5,5,0,0.0,False
ISIC2018,BT-UNet,frozen,1,5,0,0.0,False
ISIC2018,BT-UNet,frozen,5,5,0,0.0,False
ISIC2018,BT-UNet,frozen,10,5,0,0.0,False
ISIC2018,BT-UNet,lambda0001,5,5,0,0.0,False
ISIC2018,BT-UNet,lambda002,5,5,0,0.0,False
ISIC2018,BT-UNet,lossbce,5,5,0,0.0,False
ISIC2018,BT-UNet,lossdice,5,5,0,0.0,False
ISIC2018,BT-UNet,proj2048,5,5,0,0.0,False
ISIC2018,BT-UNet,proj256,5,5,0,0.0,False
ISIC2018,BT-UNet,proj512,5,5,0,0.0,False
ISIC2018,BT-UNet,sslbudget20,20,5,0,0.0,False
ISIC2018,BT-UNet,sslbudget5,5,5,5,1.0,False
ISIC2018,Baseline,base,1,5,2,0.4,True
ISIC2018,Baseline,base,5,5,3,0.6,True
ISIC2018,Baseline,base,10,5,0,0.0,False
ISIC2018,Baseline,base,20,5,0,0.0,False
ISIC2018,Baseline,base,50,5,0,0.0,False
ISIC2018,Baseline,lossbce,5,5,4,0.8,False
ISIC2018,Baseline,lossdice,5,5,2,0.4,True
ISIC2018,SimSiam,aug025,5,5,0,0.0,False
ISIC2018,SimSiam,aug100,5,5,0,0.0,False
ISIC2018,SimSiam,base,1,5,0,0.0,False
ISIC2018,SimSiam,base,5,5,0,0.0,False
ISIC2018,SimSiam,base,10,5,0,0.0,False
ISIC2018,SimSiam,base,20,5,0,0.0,False
ISIC2018,SimSiam,base,50,5,0,0.0,False
ISIC2018,SimSiam,bs32,5,5,0,0.0,False
ISIC2018,SimSiam,bs64,5,5,0,0.0,False
