Dataset,Model,Variant,Label Fraction (%),n,mean,std,median,min,max,collapsed,collapse_rate,bimodal
ISIC2018,BT-UNet,aug025,5,5,0.5914522171020508,0.02345650235199437,0.5911732316017151,0.5630571842193604,0.6272152662277222,0,0.0,False
ISIC2018,BT-UNet,aug100,5,5,0.645857834815979,0.14699516950226732,0.554105818271637,0.5214199423789978,0.8087404370307922,0,0.0,False
ISIC2018,BT-UNet,base,1,5,0.5511434316635132,0.02165757964546768,0.5390065908432007,0.5349715948104858,0.5840829610824585,0,0.0,False
ISIC2018,BT-UNet,base,5,5,0.5689516067504883,0.047411842604008346,0.5574183464050293,0.5294941067695618,0.6511543989181519,0,0.0,False
ISIC2018,BT-UNet,base,10,5,0.7494518280029296,0.12709796175168434,0.7949851751327515,0.5238645672798157,0.8230531811714172,0,0.0,False
ISIC2018,BT-UNet,base,20,5,0.8303642868995667,0.0040681537371143345,0.8308842182159424,0.8248786330223083,0.8354600667953491,0,0.0,False
ISIC2018,BT-UNet,base,50,5,0.847833514213562,0.005920047488911567,0.8476561903953552,0.8415344953536987,0.8555325865745544,0,0.0,False
ISIC2018,BT-UNet,bs32,5,5,0.6236246347427368,0.11584616651775465,0.5666623711585999,0.5206977725028992,0.8062125444412231,0,0.0,False
ISIC2018,BT-UNet,bs64,5,5,0.6661668419837952,0.1260584281506439,0.5847121477127075,0.5618029236793518,0.8065382242202759,0,0.0,False
ISIC2018,BT-UNet,cropflip,5,5,0.5780209183692933,0.019174040316953203,0.5866180062294006,0.5464348793029785,0.5943371653556824,0,0.0,False
ISIC2018,BT-UNet,e0,5,5,0.02209828020131676,0.04908238345409304,0.0001120641973102,0.0001120641973102,0.1098994463682174,5,1.0,False
ISIC2018,BT-UNet,e200,5,5,0.6075931787490845,0.017134781025332727,0.6109998226165771,0.5873591303825378,0.6249812841415405,0,0.0,False
ISIC2018,BT-UNet,e25,5,5,0.5537349700927734,0.019455676828873492,0.5524374842643738,0.5252379179000854,0.5726416707038879,0,0.0,False
