Dataset,Model,Variant,Label Fraction (%),Folds run,Fold mean Test Dice,Fold std Test Dice,Fold median Test Dice,Collapsed folds,bimodal,Ensemble Test Dice (filtered),Folds combined (filtered),Ensemble Test Dice (unfiltered),Folds combined (unfiltered)
ISIC2018,BT-UNet,aug025,5,5,0.5914522171020508,0.02345650235199437,0.5911732316017151,0,False,0.6090039014816284,5.0,0.6090039014816284,5
ISIC2018,BT-UNet,aug100,5,5,0.645857834815979,0.14699516950226732,0.554105818271637,0,False,0.6962324380874634,5.0,0.6962324380874634,5
ISIC2018,BT-UNet,base,1,5,0.5511434316635132,0.02165757964546768,0.5390065908432007,0,False,0.5657573938369751,5.0,0.5657573938369751,5
ISIC2018,BT-UNet,base,5,5,0.5689516067504883,0.047411842604008346,0.5574183464050293,0,False,0.5657050013542175,5.0,0.5657050013542175,5
ISIC2018,BT-UNet,base,10,5,0.7494518280029296,0.12709796175168434,0.7949851751327515,0,False,0.8116726279258728,5.0,0.8116726279258728,5
ISIC2018,BT-UNet,base,20,5,0.8303642868995667,0.0040681537371143345,0.8308842182159424,0,False,0.8434730768203735,5.0,0.8434730768203735,5
ISIC2018,BT-UNet,base,50,5,0.847833514213562,0.005920047488911567,0.8476561903953552,0,False,0.8605533838272095,5.0,0.8605533838272095,5
ISIC2018,BT-UNet,bs32,5,5,0.6236246347427368,0.11584616651775465,0.5666623711585999,0,False,0.6025696992874146,5.0,0.6025696992874146,5
ISIC2018,BT-UNet,bs64,5,5,0.6661668419837952,0.1260584281506439,0.5847121477127075,0,False,0.6518914699554443,5.0,0.6518914699554443,5
ISIC2018,BT-UNet,cropflip,5,5,0.5780209183692933,0.019174040316953203,0.5866180062294006,0,False,0.5899710059165955,5.0,0.5899710059165955,5
ISIC2018,BT-UNet,e0,5,5,0.02209828020131676,0.04908238345409304,0.0001120641973102,5,False,,,0.0001120641973102,5
ISIC2018,BT-UNet,e200,5,5,0.6075931787490845,0.017134781025332727,0.6109998226165771,0,False,0.6157212257385254,5.0,0.6157212257385254,5
